 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0  -31.43         0.00        -146.86
  5   0  -33.61         0.00        -145.38
 10   0  -20.79         0.01        -144.64
 15   0  -16.71         0.02        -149.40
 20   0  -15.55         0.03        -147.60
 25   0  -13.35         0.05        -148.15
 30   0  -11.69         0.07        -146.53
 35   0  -10.68         0.09        -149.01
 40   0  -10.55         0.09        -146.03
 45   0   -9.33         0.12        -148.88
 50   0   -9.15         0.12        -148.12
 55   0   -8.77         0.13        -148.17
 60   0   -7.63         0.17        -148.68
 65   0   -6.63         0.22        -145.90
 70   0   -6.64         0.22        -146.40
 75   0   -4.87         0.33        -147.84
 80   0   -4.87         0.33        -147.77
 85   0   -4.42         0.36        -148.09
 90   0   -4.30         0.37        -148.13
 95   0   -4.61         0.35        -145.54
100   0   -4.66         0.34        -145.70
105   0   -5.68         0.27        -145.96
110   0   -6.31         0.23        -147.41
115   0   -6.64         0.22        -148.49
120   0   -7.31         0.19        -149.90
125   0   -8.77         0.13        -149.28
130   0   -8.77         0.13        -146.17
135   0   -9.50         0.11        -146.06
140   0   -9.87         0.10        -142.97
145   0  -11.28         0.07        -141.61
150   0  -11.13         0.08        -142.85
155   0  -13.02         0.05        -139.51
160   0  -14.82         0.03        -136.62
165   0  -17.69         0.02        -139.49
170   0  -19.55         0.01        -142.13
175   0  -30.19         0.00        -140.45
180   0  -28.76         0.00        -140.91
