 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0  -24.25         0.00         162.32
  5   0  -36.71         0.00         164.35
 10   0  -27.21         0.00         164.22
 15   0  -23.07         0.00         161.44
 20   0  -16.87         0.02         160.42
 25   0  -17.63         0.02         157.89
 30   0  -12.85         0.05         157.33
 35   0  -12.69         0.05         155.10
 40   0  -11.69         0.07         156.26
 45   0   -9.18         0.12         156.44
 50   0   -8.35         0.15         156.15
 55   0   -6.80         0.21         154.10
 60   0   -5.34         0.29         151.95
 65   0   -4.45         0.36         153.93
 70   0   -4.28         0.37         156.33
 75   0   -3.27         0.47         157.51
 80   0   -3.55         0.44         156.28
 85   0   -3.31         0.47         158.01
 90   0   -3.36         0.46         156.41
 95   0   -3.04         0.50         158.02
100   0   -3.10         0.49         155.42
105   0   -3.54         0.44         155.64
110   0   -3.86         0.41         155.40
115   0   -4.62         0.34         153.03
120   0   -5.40         0.29         153.49
125   0   -6.47         0.23         153.34
130   0   -7.42         0.18         155.35
135   0   -9.05         0.12         158.02
140   0  -10.93         0.08         156.96
145   0  -11.25         0.07         156.95
150   0  -14.34         0.04         158.25
155   0  -15.97         0.03         159.95
160   0  -16.75         0.02         157.80
165   0  -20.10         0.01         156.74
170   0  -28.85         0.00         155.80
175   0  -30.96         0.00         155.37
180   0  -28.87         0.00         150.90
