 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0  -23.86         0.00         179.55
  5   0  -23.80         0.00         179.20
 10   0  -19.69         0.01         175.17
 15   0  -18.25         0.01         177.29
 20   0  -14.92         0.03         174.19
 25   0  -12.64         0.05         175.28
 30   0  -10.79         0.08         172.07
 35   0   -9.43         0.11         172.76
 40   0   -8.38         0.15         171.92
 45   0   -6.78         0.21         173.14
 50   0   -6.90         0.20         172.32
 55   0   -5.37         0.29         169.76
 60   0   -4.95         0.32         169.50
 65   0   -4.67         0.34         171.28
 70   0   -4.16         0.38         170.73
 75   0   -4.12         0.39         169.04
 80   0   -3.84         0.41         168.06
 85   0   -3.63         0.43         170.22
 90   0   -2.95         0.51         171.60
 95   0   -3.45         0.45         169.77
100   0   -3.84         0.41         170.55
105   0   -4.16         0.38         171.62
110   0   -4.53         0.35         168.22
115   0   -4.62         0.35         168.59
120   0   -5.27         0.30         166.96
125   0   -5.80         0.26         165.70
130   0   -6.42         0.23         169.66
135   0   -6.82         0.21         171.27
140   0   -8.40         0.14         171.36
145   0   -8.80         0.13         173.04
150   0  -11.06         0.08         172.91
155   0  -12.65         0.05         170.38
160   0  -15.38         0.03         169.03
165   0  -17.07         0.02         168.96
170   0  -20.16         0.01         170.93
175   0  -23.48         0.00         172.71
180   0  -26.87         0.00         172.17
