 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0  -20.66         0.01         -28.77
  5   0  -27.37         0.00         -29.83
 10   0  -26.32         0.00         -28.50
 15   0  -19.57         0.01         -29.92
 20   0  -16.62         0.02         -26.95
 25   0  -13.52         0.04         -30.56
 30   0  -11.01         0.08         -31.36
 35   0   -9.86         0.10         -31.22
 40   0   -8.20         0.15         -29.77
 45   0   -7.18         0.19         -28.50
 50   0   -6.31         0.23         -29.12
 55   0   -5.47         0.28         -30.19
 60   0   -4.95         0.32         -29.56
 65   0   -4.25         0.38         -29.26
 70   0   -3.75         0.42         -30.35
 75   0   -3.58         0.44         -27.38
 80   0   -3.21         0.48         -26.73
 85   0   -2.96         0.51         -25.82
 90   0   -2.90         0.51         -28.68
 95   0   -2.95         0.51         -27.38
100   0   -3.05         0.50         -26.27
105   0   -3.43         0.45         -24.52
110   0   -3.69         0.43         -28.11
115   0   -4.27         0.37         -29.07
120   0   -4.59         0.35         -27.31
125   0   -5.41         0.29         -24.92
130   0   -6.24         0.24         -26.81
135   0   -6.90         0.20         -24.15
140   0   -7.86         0.16         -22.58
145   0   -9.30         0.12         -22.74
150   0  -10.88         0.08         -24.84
155   0  -12.97         0.05         -21.70
160   0  -15.74         0.03         -21.30
165   0  -18.84         0.01         -21.02
170   0  -26.15         0.00         -21.01
175   0  -32.26         0.00         -23.20
180   0  -21.79         0.01         -23.84
