freq : 850.00 MHz
SWR : 6.50
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -44.87        0.00           4.66 
5  0  -10.99        0.08           113.13 
10  0  -5.08        0.31           112.58 
15  0  -1.97        0.64           110.43 
20  0  -0.07        0.98           107.27 
25  0  1.60        1.45           104.97 
30  0  2.32        1.71           100.14 
35  0  2.95        1.97           96.60 
40  0  2.79        1.90           94.94 
45  0  0.83        1.21           76.91 
50  0  0.92        1.24           70.90 
55  0  0.06        1.01           62.57 
60  0  -1.03        0.79           55.58 
65  0  -2.13        0.61           55.09 
70  0  -2.96        0.51           64.06 
75  0  -2.82        0.52           80.10 
80  0  -1.68        0.68           94.51 
85  0  -0.55        0.88           102.62 
90  0  -0.11        0.97           105.11 
95  0  -0.55        0.88           102.71 
100  0  -1.69        0.68           94.69 
105  0  -2.83        0.52           80.37 
110  0  -2.99        0.50           64.38 
115  0  -2.16        0.61           55.42 
120  0  -1.06        0.78           55.93 
125  0  0.03        1.01           62.94 
130  0  0.91        1.23           71.29 
135  0  0.83        1.21           77.33 
140  0  2.80        1.91           95.30 
145  0  2.96        1.98           96.97 
150  0  2.33        1.71           100.57 
155  0  1.62        1.45           105.45 
160  0  -0.04        0.99           107.87 
165  0  -1.94        0.64           111.19 
170  0  -5.02        0.31           113.67 
175  0  -10.88        0.08           115.29 
180  0  -44.87        0.00           175.34 
0  5  -44.87        0.00           4.66 
5  5  -10.99        0.08           113.13 
10  5  -5.08        0.31           112.58 
15  5  -1.97        0.64           110.43 
20  5  -0.07        0.98           107.27 
25  5  1.60        1.45           104.97 
30  5  2.32        1.71           100.14 
35  5  2.95        1.97           96.60 
40  5  2.79        1.90           94.94 
45  5  0.83        1.21           76.91 
50  5  0.92        1.24           70.90 
55  5  0.06        1.01           62.57 
60  5  -1.03        0.79           55.58 
65  5  -2.13        0.61           55.09 
70  5  -2.96        0.51           64.06 
75  5  -2.82        0.52           80.10 
80  5  -1.68        0.68           94.51 
85  5  -0.55        0.88           102.62 
90  5  -0.11        0.97           105.11 
95  5  -0.55        0.88           102.71 
100  5  -1.69        0.68           94.69 
105  5  -2.83        0.52           80.37 
110  5  -2.99        0.50           64.38 
115  5  -2.16        0.61           55.42 
120  5  -1.06        0.78           55.93 
125  5  0.03        1.01           62.94 
130  5  0.91        1.23           71.29 
135  5  0.83        1.21           77.33 
140  5  2.80        1.91           95.30 
145  5  2.96        1.98           96.97 
150  5  2.33        1.71           100.57 
155  5  1.62        1.45           105.45 
160  5  -0.04        0.99           107.87 
165  5  -1.94        0.64           111.19 
170  5  -5.02        0.31           113.67 
175  5  -10.88        0.08           115.29 
180  5  -44.87        0.00           175.34 
0  10  -44.87        0.00           4.66 
5  10  -10.99        0.08           113.13 
10  10  -5.08        0.31           112.58 
15  10  -1.97        0.64           110.43 
20  10  -0.07        0.98           107.27 
25  10  1.60        1.45           104.97 
30  10  2.32        1.71           100.14 
35  10  2.95        1.97           96.60 
40  10  2.79        1.90           94.94 
45  10  0.83        1.21           76.91 
50  10  0.92        1.24           70.90 
55  10  0.06        1.01           62.57 
60  10  -1.03        0.79           55.58 
65  10  -2.13        0.61           55.09 
70  10  -2.96        0.51           64.06 
75  10  -2.82        0.52           80.10 
80  10  -1.68        0.68           94.51 
85  10  -0.55        0.88           102.62 
90  10  -0.11        0.97           105.11 
95  10  -0.55        0.88           102.71 
100  10  -1.69        0.68           94.69 
105  10  -2.83        0.52           80.37 
110  10  -2.99        0.50           64.38 
115  10  -2.16        0.61           55.42 
120  10  -1.06        0.78           55.93 
