freq : 850.00 MHz
SWR : 6.50
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
125  10  0.03        1.01           62.94 
130  10  0.91        1.23           71.29 
135  10  0.83        1.21           77.33 
140  10  2.80        1.91           95.30 
145  10  2.96        1.98           96.97 
150  10  2.33        1.71           100.57 
155  10  1.62        1.45           105.45 
160  10  -0.04        0.99           107.87 
165  10  -1.94        0.64           111.19 
170  10  -5.02        0.31           113.67 
175  10  -10.88        0.08           115.29 
180  10  -44.87        0.00           175.34 
0  15  -44.87        0.00           4.66 
5  15  -10.99        0.08           113.13 
10  15  -5.08        0.31           112.58 
15  15  -1.97        0.64           110.43 
20  15  -0.07        0.98           107.27 
25  15  1.60        1.45           104.97 
30  15  2.32        1.71           100.14 
35  15  2.95        1.97           96.60 
40  15  2.79        1.90           94.94 
45  15  0.83        1.21           76.91 
50  15  0.92        1.24           70.90 
55  15  0.06        1.01           62.57 
60  15  -1.03        0.79           55.58 
65  15  -2.13        0.61           55.09 
70  15  -2.96        0.51           64.06 
75  15  -2.82        0.52           80.10 
80  15  -1.68        0.68           94.51 
85  15  -0.55        0.88           102.62 
90  15  -0.11        0.97           105.11 
95  15  -0.55        0.88           102.71 
100  15  -1.69        0.68           94.69 
105  15  -2.83        0.52           80.37 
110  15  -2.99        0.50           64.38 
115  15  -2.16        0.61           55.42 
120  15  -1.06        0.78           55.93 
125  15  0.03        1.01           62.94 
130  15  0.91        1.23           71.29 
135  15  0.83        1.21           77.33 
140  15  2.80        1.91           95.30 
145  15  2.96        1.98           96.97 
150  15  2.33        1.71           100.57 
155  15  1.62        1.45           105.45 
160  15  -0.04        0.99           107.87 
165  15  -1.94        0.64           111.19 
170  15  -5.02        0.31           113.67 
175  15  -10.88        0.08           115.29 
180  15  -44.87        0.00           175.34 
0  20  -44.87        0.00           4.66 
5  20  -10.99        0.08           113.13 
10  20  -5.08        0.31           112.58 
15  20  -1.97        0.64           110.43 
20  20  -0.07        0.98           107.27 
25  20  1.60        1.45           104.97 
30  20  2.32        1.71           100.14 
35  20  2.95        1.97           96.60 
40  20  2.79        1.90           94.94 
45  20  0.83        1.21           76.91 
50  20  0.92        1.24           70.90 
55  20  0.06        1.01           62.57 
60  20  -1.03        0.79           55.58 
65  20  -2.13        0.61           55.09 
70  20  -2.96        0.51           64.06 
75  20  -2.82        0.52           80.10 
80  20  -1.68        0.68           94.51 
85  20  -0.55        0.88           102.62 
90  20  -0.11        0.97           105.11 
95  20  -0.55        0.88           102.71 
100  20  -1.69        0.68           94.69 
105  20  -2.83        0.52           80.37 
110  20  -2.99        0.50           64.38 
115  20  -2.16        0.61           55.42 
120  20  -1.06        0.78           55.93 
125  20  0.03        1.01           62.94 
130  20  0.91        1.23           71.29 
135  20  0.83        1.21           77.33 
140  20  2.80        1.91           95.30 
145  20  2.96        1.98           96.97 
150  20  2.33        1.71           100.57 
155  20  1.62        1.45           105.45 
160  20  -0.04        0.99           107.87 
165  20  -1.94        0.64           111.19 
170  20  -5.02        0.31           113.67 
175  20  -10.88        0.08           115.29 
180  20  -44.87        0.00           175.34 
0  25  -44.87        0.00           4.66 
5  25  -10.99        0.08           113.13 
10  25  -5.08        0.31           112.58 
15  25  -1.97        0.64           110.43 
20  25  -0.07        0.98           107.27 
25  25  1.60        1.45           104.97 
30  25  2.32        1.71           100.14 
35  25  2.95        1.97           96.60 
40  25  2.79        1.90           94.94 
45  25  0.83        1.21           76.91 
50  25  0.92        1.24           70.90 
55  25  0.06        1.01           62.57 
60  25  -1.03        0.79           55.58 
65  25  -2.13        0.61           55.09 
70  25  -2.96        0.51           64.06 
75  25  -2.82        0.52           80.10 
80  25  -1.68        0.68           94.51 
85  25  -0.55        0.88           102.62 
90  25  -0.11        0.97           105.11 
95  25  -0.55        0.88           102.71 
100  25  -1.69        0.68           94.69 
105  25  -2.83        0.52           80.37 
110  25  -2.99        0.50           64.38 
115  25  -2.16        0.61           55.42 
120  25  -1.06        0.78           55.93 
125  25  0.03        1.01           62.94 
130  25  0.91        1.23           71.29 
135  25  0.83        1.21           77.33 
140  25  2.80        1.91           95.30 
145  25  2.96        1.98           96.97 
150  25  2.33        1.71           100.57 
155  25  1.62        1.45           105.45 
160  25  -0.04        0.99           107.87 
165  25  -1.94        0.64           111.19 
170  25  -5.02        0.31           113.67 
175  25  -10.88        0.08           115.29 
180  25  -44.87        0.00           175.34 
0  30  -44.87        0.00           4.66 
5  30  -10.99        0.08           113.13 
10  30  -5.08        0.31           112.58 
15  30  -1.97        0.64           110.43 
20  30  -0.07        0.98           107.27 
25  30  1.60        1.45           104.97 
30  30  2.32        1.71           100.14 
35  30  2.95        1.97           96.60 
40  30  2.79        1.90           94.94 
45  30  0.83        1.21           76.91 
50  30  0.92        1.24           70.90 
55  30  0.06        1.01           62.57 
60  30  -1.03        0.79           55.58 
65  30  -2.13        0.61           55.09 
70  30  -2.96        0.51           64.06 
75  30  -2.82        0.52           80.10 
80  30  -1.68        0.68           94.51 
85  30  -0.55        0.88           102.62 
90  30  -0.11        0.97           105.11 
95  30  -0.55        0.88           102.71 
100  30  -1.69        0.68           94.69 
105  30  -2.83        0.52           80.37 
110  30  -2.99        0.50           64.38 
115  30  -2.16        0.61           55.42 
120  30  -1.06        0.78           55.93 
125  30  0.03        1.01           62.94 
130  30  0.91        1.23           71.29 
135  30  0.83        1.21           77.33 
140  30  2.80        1.91           95.30 
145  30  2.96        1.98           96.97 
150  30  2.33        1.71           100.57 
155  30  1.62        1.45           105.45 
160  30  -0.04        0.99           107.87 
165  30  -1.94        0.64           111.19 
170  30  -5.02        0.31           113.67 
175  30  -10.88        0.08           115.29 
180  30  -44.87        0.00           175.34 
0  35  -44.87        0.00           4.66 
5  35  -10.99        0.08           113.13 
10  35  -5.08        0.31           112.58 
15  35  -1.97        0.64           110.43 
20  35  -0.07        0.98           107.27 
25  35  1.60        1.45           104.97 
30  35  2.32        1.71           100.14 
35  35  2.95        1.97           96.60 
40  35  2.79        1.90           94.94 
45  35  0.83        1.21           76.91 
50  35  0.92        1.24           70.90 
55  35  0.06        1.01           62.57 
60  35  -1.03        0.79           55.58 
65  35  -2.13        0.61           55.09 
70  35  -2.96        0.51           64.06 
75  35  -2.82        0.52           80.10 
80  35  -1.68        0.68           94.51 
85  35  -0.55        0.88           102.62 
90  35  -0.11        0.97           105.11 
95  35  -0.55        0.88           102.71 
100  35  -1.69        0.68           94.69 
105  35  -2.83        0.52           80.37 
110  35  -2.99        0.50           64.38 
115  35  -2.16        0.61           55.42 
120  35  -1.06        0.78           55.93 
125  35  0.03        1.01           62.94 
130  35  0.91        1.23           71.29 
135  35  0.83        1.21           77.33 
140  35  2.80        1.91           95.30 
145  35  2.96        1.98           96.97 
150  35  2.33        1.71           100.57 
155  35  1.62        1.45           105.45 
160  35  -0.04        0.99           107.87 
165  35  -1.94        0.64           111.19 
170  35  -5.02        0.31           113.67 
175  35  -10.88        0.08           115.29 
180  35  -44.87        0.00           175.34 
0  40  -44.87        0.00           4.66 
5  40  -10.99        0.08           113.13 
10  40  -5.08        0.31           112.58 
15  40  -1.97        0.64           110.43 
20  40  -0.07        0.98           107.27 
25  40  1.60        1.45           104.97 
30  40  2.32        1.71           100.14 
35  40  2.95        1.97           96.60 
40  40  2.79        1.90           94.94 
45  40  0.83        1.21           76.91 
50  40  0.92        1.24           70.90 
55  40  0.06        1.01           62.57 
60  40  -1.03        0.79           55.58 
65  40  -2.13        0.61           55.09 
70  40  -2.96        0.51           64.06 
75  40  -2.82        0.52           80.10 
80  40  -1.68        0.68           94.51 
85  40  -0.55        0.88           102.62 
90  40  -0.11        0.97           105.11 
95  40  -0.55        0.88           102.71 
100  40  -1.69        0.68           94.69 
105  40  -2.83        0.52           80.37 
110  40  -2.99        0.50           64.38 
115  40  -2.16        0.61           55.42 
120  40  -1.06        0.78           55.93 
125  40  0.03        1.01           62.94 
130  40  0.91        1.23           71.29 
135  40  0.83        1.21           77.33 
140  40  2.80        1.91           95.30 
145  40  2.96        1.98           96.97 
150  40  2.33        1.71           100.57 
155  40  1.62        1.45           105.45 
160  40  -0.04        0.99           107.87 
165  40  -1.94        0.64           111.19 
170  40  -5.02        0.31           113.67 
175  40  -10.88        0.08           115.29 
180  40  -44.87        0.00           175.34 
0  45  -44.87        0.00           4.66 
5  45  -10.99        0.08           113.13 
10  45  -5.08        0.31           112.58 
15  45  -1.97        0.64           110.43 
20  45  -0.07        0.98           107.27 
25  45  1.60        1.45           104.97 
30  45  2.32        1.71           100.14 
35  45  2.95        1.97           96.60 
40  45  2.79        1.90           94.94 
45  45  0.83        1.21           76.91 
50  45  0.92        1.24           70.90 
55  45  0.06        1.01           62.57 
60  45  -1.03        0.79           55.58 
65  45  -2.13        0.61           55.09 
70  45  -2.96        0.51           64.06 
75  45  -2.82        0.52           80.10 
80  45  -1.68        0.68           94.51 
85  45  -0.55        0.88           102.62 
90  45  -0.11        0.97           105.11 
95  45  -0.55        0.88           102.71 
100  45  -1.69        0.68           94.69 
105  45  -2.83        0.52           80.37 
110  45  -2.99        0.50           64.38 
115  45  -2.16        0.61           55.42 
120  45  -1.06        0.78           55.93 
125  45  0.03        1.01           62.94 
130  45  0.91        1.23           71.29 
135  45  0.83        1.21           77.33 
140  45  2.80        1.91           95.30 
145  45  2.96        1.98           96.97 
150  45  2.33        1.71           100.57 
155  45  1.62        1.45           105.45 
160  45  -0.04        0.99           107.87 
165  45  -1.94        0.64           111.19 
170  45  -5.02        0.31           113.67 
175  45  -10.88        0.08           115.29 
180  45  -44.87        0.00           175.34 
0  50  -44.87        0.00           4.66 
5  50  -10.99        0.08           113.13 
10  50  -5.08        0.31           112.58 
15  50  -1.97        0.64           110.43 
20  50  -0.07        0.98           107.27 
25  50  1.60        1.45           104.97 
30  50  2.32        1.71           100.14 
35  50  2.95        1.97           96.60 
40  50  2.79        1.90           94.94 
45  50  0.83        1.21           76.91 
50  50  0.92        1.24           70.90 
55  50  0.06        1.01           62.57 
60  50  -1.03        0.79           55.58 
65  50  -2.13        0.61           55.09 
70  50  -2.96        0.51           64.06 
75  50  -2.82        0.52           80.10 
80  50  -1.68        0.68           94.51 
85  50  -0.55        0.88           102.62 
90  50  -0.11        0.97           105.11 
95  50  -0.55        0.88           102.71 
100  50  -1.69        0.68           94.69 
105  50  -2.83        0.52           80.37 
110  50  -2.99        0.50           64.38 
115  50  -2.16        0.61           55.42 
120  50  -1.06        0.78           55.93 
125  50  0.03        1.01           62.94 
130  50  0.91        1.23           71.29 
135  50  0.83        1.21           77.33 
140  50  2.80        1.91           95.30 
145  50  2.96        1.98           96.97 
150  50  2.33        1.71           100.57 
155  50  1.62        1.45           105.45 
160  50  -0.04        0.99           107.87 
165  50  -1.94        0.64           111.19 
170  50  -5.02        0.31           113.67 
175  50  -10.88        0.08           115.29 
180  50  -44.87        0.00           175.34 
0  55  -44.87        0.00           4.66 
5  55  -10.99        0.08           113.13 
10  55  -5.08        0.31           112.58 
15  55  -1.97        0.64           110.43 
20  55  -0.07        0.98           107.27 
25  55  1.60        1.45           104.97 
30  55  2.32        1.71           100.14 
35  55  2.95        1.97           96.60 
40  55  2.79        1.90           94.94 
45  55  0.83        1.21           76.91 
50  55  0.92        1.24           70.90 
55  55  0.06        1.01           62.57 
60  55  -1.03        0.79           55.58 
65  55  -2.13        0.61           55.09 
70  55  -2.96        0.51           64.06 
75  55  -2.82        0.52           80.10 
80  55  -1.68        0.68           94.51 
85  55  -0.55        0.88           102.62 
90  55  -0.11        0.97           105.11 
95  55  -0.55        0.88           102.71 
100  55  -1.69        0.68           94.69 
105  55  -2.83        0.52           80.37 
110  55  -2.99        0.50           64.38 
115  55  -2.16        0.61           55.42 
120  55  -1.06        0.78           55.93 
125  55  0.03        1.01           62.94 
130  55  0.91        1.23           71.29 
135  55  0.83        1.21           77.33 
140  55  2.80        1.91           95.30 
145  55  2.96        1.98           96.97 
150  55  2.33        1.71           100.57 
155  55  1.62        1.45           105.45 
160  55  -0.04        0.99           107.87 
165  55  -1.94        0.64           111.19 
170  55  -5.02        0.31           113.67 
175  55  -10.88        0.08           115.29 
180  55  -44.87        0.00           175.34 
0  60  -44.87        0.00           4.66 
5  60  -10.99        0.08           113.13 
10  60  -5.08        0.31           112.58 
15  60  -1.97        0.64           110.43 
20  60  -0.07        0.98           107.27 
25  60  1.60        1.45           104.97 
30  60  2.32        1.71           100.14 
35  60  2.95        1.97           96.60 
40  60  2.79        1.90           94.94 
45  60  0.83        1.21           76.91 
50  60  0.92        1.24           70.90 
55  60  0.06        1.01           62.57 
60  60  -1.03        0.79           55.58 
65  60  -2.13        0.61           55.09 
70  60  -2.96        0.51           64.06 
75  60  -2.82        0.52           80.10 
80  60  -1.68        0.68           94.51 
85  60  -0.55        0.88           102.62 
90  60  -0.11        0.97           105.11 
95  60  -0.55        0.88           102.71 
100  60  -1.69        0.68           94.69 
105  60  -2.83        0.52           80.37 
110  60  -2.99        0.50           64.38 
115  60  -2.16        0.61           55.42 
120  60  -1.06        0.78           55.93 
125  60  0.03        1.01           62.94 
130  60  0.91        1.23           71.29 
135  60  0.83        1.21           77.33 
140  60  2.80        1.91           95.30 
145  60  2.96        1.98           96.97 
150  60  2.33        1.71           100.57 
155  60  1.62        1.45           105.45 
160  60  -0.04        0.99           107.87 
165  60  -1.94        0.64           111.19 
170  60  -5.02        0.31           113.67 
175  60  -10.88        0.08           115.29 
180  60  -44.87        0.00           175.34 
0  65  -44.87        0.00           4.66 
5  65  -10.99        0.08           113.13 
10  65  -5.08        0.31           112.58 
15  65  -1.97        0.64           110.43 
20  65  -0.07        0.98           107.27 
25  65  1.60        1.45           104.97 
30  65  2.32        1.71           100.14 
35  65  2.95        1.97           96.60 
40  65  2.79        1.90           94.94 
45  65  0.83        1.21           76.91 
50  65  0.92        1.24           70.90 
55  65  0.06        1.01           62.57 
60  65  -1.03        0.79           55.58 
65  65  -2.13        0.61           55.09 
70  65  -2.96        0.51           64.06 
75  65  -2.82        0.52           80.10 
80  65  -1.68        0.68           94.51 
85  65  -0.55        0.88           102.62 
90  65  -0.11        0.97           105.11 
95  65  -0.55        0.88           102.71 
100  65  -1.69        0.68           94.69 
105  65  -2.83        0.52           80.37 
110  65  -2.99        0.50           64.38 
115  65  -2.16        0.61           55.42 
120  65  -1.06        0.78           55.93 
125  65  0.03        1.01           62.94 
130  65  0.91        1.23           71.29 
135  65  0.83        1.21           77.33 
140  65  2.80        1.91           95.30 
145  65  2.96        1.98           96.97 
150  65  2.33        1.71           100.57 
155  65  1.62        1.45           105.45 
160  65  -0.04        0.99           107.87 
165  65  -1.94        0.64           111.19 
170  65  -5.02        0.31           113.67 
175  65  -10.88        0.08           115.29 
180  65  -44.87        0.00           175.34 
0  70  -44.87        0.00           4.66 
5  70  -10.99        0.08           113.13 
10  70  -5.08        0.31           112.58 
15  70  -1.97        0.64           110.43 
20  70  -0.07        0.98           107.27 
25  70  1.60        1.45           104.97 
30  70  2.32        1.71           100.14 
35  70  2.95        1.97           96.60 
40  70  2.79        1.90           94.94 
45  70  0.83        1.21           76.91 
50  70  0.92        1.24           70.90 
55  70  0.06        1.01           62.57 
60  70  -1.03        0.79           55.58 
65  70  -2.13        0.61           55.09 
70  70  -2.96        0.51           64.06 
75  70  -2.82        0.52           80.10 
80  70  -1.68        0.68           94.51 
85  70  -0.55        0.88           102.62 
90  70  -0.11        0.97           105.11 
95  70  -0.55        0.88           102.71 
100  70  -1.69        0.68           94.69 
105  70  -2.83        0.52           80.37 
110  70  -2.99        0.50           64.38 
115  70  -2.16        0.61           55.42 
120  70  -1.06        0.78           55.93 
125  70  0.03        1.01           62.94 
130  70  0.91        1.23           71.29 
135  70  0.83        1.21           77.33 
140  70  2.80        1.91           95.30 
145  70  2.96        1.98           96.97 
150  70  2.33        1.71           100.57 
155  70  1.62        1.45           105.45 
160  70  -0.04        0.99           107.87 
165  70  -1.94        0.64           111.19 
170  70  -5.02        0.31           113.67 
175  70  -10.88        0.08           115.29 
180  70  -44.87        0.00           175.34 
0  75  -44.87        0.00           4.66 
5  75  -10.99        0.08           113.13 
10  75  -5.08        0.31           112.58 
15  75  -1.97        0.64           110.43 
20  75  -0.07        0.98           107.27 
25  75  1.60        1.45           104.97 
30  75  2.32        1.71           100.14 
35  75  2.95        1.97           96.60 
40  75  2.79        1.90           94.94 
45  75  0.83        1.21           76.91 
50  75  0.92        1.24           70.90 
55  75  0.06        1.01           62.57 
60  75  -1.03        0.79           55.58 
65  75  -2.13        0.61           55.09 
70  75  -2.96        0.51           64.06 
75  75  -2.82        0.52           80.10 
80  75  -1.68        0.68           94.51 
85  75  -0.55        0.88           102.62 
90  75  -0.11        0.97           105.11 
95  75  -0.55        0.88           102.71 
100  75  -1.69        0.68           94.69 
105  75  -2.83        0.52           80.37 
110  75  -2.99        0.50           64.38 
115  75  -2.16        0.61           55.42 
120  75  -1.06        0.78           55.93 
125  75  0.03        1.01           62.94 
130  75  0.91        1.23           71.29 
135  75  0.83        1.21           77.33 
140  75  2.80        1.91           95.30 
145  75  2.96        1.98           96.97 
150  75  2.33        1.71           100.57 
155  75  1.62        1.45           105.45 
160  75  -0.04        0.99           107.87 
165  75  -1.94        0.64           111.19 
170  75  -5.02        0.31           113.67 
175  75  -10.88        0.08           115.29 
180  75  -44.87        0.00           175.34 
0  80  -44.87        0.00           4.66 
5  80  -10.99        0.08           113.13 
10  80  -5.08        0.31           112.58 
15  80  -1.97        0.64           110.43 
20  80  -0.07        0.98           107.27 
25  80  1.60        1.45           104.97 
30  80  2.32        1.71           100.14 
35  80  2.95        1.97           96.60 
40  80  2.79        1.90           94.94 
45  80  0.83        1.21           76.91 
50  80  0.92        1.24           70.90 
55  80  0.06        1.01           62.57 
60  80  -1.03        0.79           55.58 
65  80  -2.13        0.61           55.09 
70  80  -2.96        0.51           64.06 
75  80  -2.82        0.52           80.10 
80  80  -1.68        0.68           94.51 
85  80  -0.55        0.88           102.62 
90  80  -0.11        0.97           105.11 
95  80  -0.55        0.88           102.71 
100  80  -1.69        0.68           94.69 
105  80  -2.83        0.52           80.37 
110  80  -2.99        0.50           64.38 
115  80  -2.16        0.61           55.42 
120  80  -1.06        0.78           55.93 
125  80  0.03        1.01           62.94 
130  80  0.91        1.23           71.29 
135  80  0.83        1.21           77.33 
140  80  2.80        1.91           95.30 
145  80  2.96        1.98           96.97 
150  80  2.33        1.71           100.57 
155  80  1.62        1.45           105.45 
160  80  -0.04        0.99           107.87 
165  80  -1.94        0.64           111.19 
170  80  -5.02        0.31           113.67 
175  80  -10.88        0.08           115.29 
180  80  -44.87        0.00           175.34 
0  85  -44.87        0.00           4.66 
5  85  -10.99        0.08           113.13 
10  85  -5.08        0.31           112.58 
15  85  -1.97        0.64           110.43 
20  85  -0.07        0.98           107.27 
25  85  1.60        1.45           104.97 
30  85  2.32        1.71           100.14 
35  85  2.95        1.97           96.60 
40  85  2.79        1.90           94.94 
45  85  0.83        1.21           76.91 
50  85  0.92        1.24           70.90 
55  85  0.06        1.01           62.57 
60  85  -1.03        0.79           55.58 
65  85  -2.13        0.61           55.09 
70  85  -2.96        0.51           64.06 
75  85  -2.82        0.52           80.10 
80  85  -1.68        0.68           94.51 
85  85  -0.55        0.88           102.62 
90  85  -0.11        0.97           105.11 
95  85  -0.55        0.88           102.71 
100  85  -1.69        0.68           94.69 
105  85  -2.83        0.52           80.37 
110  85  -2.99        0.50           64.38 
115  85  -2.16        0.61           55.42 
120  85  -1.06        0.78           55.93 
125  85  0.03        1.01           62.94 
130  85  0.91        1.23           71.29 
135  85  0.83        1.21           77.33 
140  85  2.80        1.91           95.30 
145  85  2.96        1.98           96.97 
150  85  2.33        1.71           100.57 
155  85  1.62        1.45           105.45 
160  85  -0.04        0.99           107.87 
165  85  -1.94        0.64           111.19 
170  85  -5.02        0.31           113.67 
175  85  -10.88        0.08           115.29 
180  85  -44.87        0.00           175.34 
0  90  -44.87        0.00           4.66 
5  90  -10.99        0.08           113.13 
10  90  -5.08        0.31           112.58 
15  90  -1.97        0.64           110.43 
20  90  -0.07        0.98           107.27 
25  90  1.60        1.45           104.97 
30  90  2.32        1.71           100.14 
35  90  2.95        1.97           96.60 
40  90  2.79        1.90           94.94 
45  90  0.83        1.21           76.91 
50  90  0.92        1.24           70.90 
55  90  0.06        1.01           62.57 
60  90  -1.03        0.79           55.58 
65  90  -2.13        0.61           55.09 
70  90  -2.96        0.51           64.06 
75  90  -2.82        0.52           80.10 
80  90  -1.68        0.68           94.51 
85  90  -0.55        0.88           102.62 
90  90  -0.11        0.97           105.11 
95  90  -0.55        0.88           102.71 
100  90  -1.69        0.68           94.69 
105  90  -2.83        0.52           80.37 
110  90  -2.99        0.50           64.38 
115  90  -2.16        0.61           55.42 
120  90  -1.06        0.78           55.93 
125  90  0.03        1.01           62.94 
130  90  0.91        1.23           71.29 
135  90  0.83        1.21           77.33 
140  90  2.80        1.91           95.30 
145  90  2.96        1.98           96.97 
150  90  2.33        1.71           100.57 
155  90  1.62        1.45           105.45 
160  90  -0.04        0.99           107.87 
165  90  -1.94        0.64           111.19 
170  90  -5.02        0.31           113.67 
175  90  -10.88        0.08           115.29 
180  90  -44.87        0.00           175.34 
0  95  -44.87        0.00           4.66 
5  95  -10.99        0.08           113.13 
10  95  -5.08        0.31           112.58 
15  95  -1.97        0.64           110.43 
20  95  -0.07        0.98           107.27 
25  95  1.60        1.45           104.97 
30  95  2.32        1.71           100.14 
35  95  2.95        1.97           96.60 
40  95  2.79        1.90           94.94 
45  95  0.83        1.21           76.91 
50  95  0.92        1.24           70.90 
55  95  0.06        1.01           62.57 
60  95  -1.03        0.79           55.58 
65  95  -2.13        0.61           55.09 
70  95  -2.96        0.51           64.06 
75  95  -2.82        0.52           80.10 
80  95  -1.68        0.68           94.51 
85  95  -0.55        0.88           102.62 
90  95  -0.11        0.97           105.11 
95  95  -0.55        0.88           102.71 
100  95  -1.69        0.68           94.69 
105  95  -2.83        0.52           80.37 
110  95  -2.99        0.50           64.38 
115  95  -2.16        0.61           55.42 
120  95  -1.06        0.78           55.93 
125  95  0.03        1.01           62.94 
130  95  0.91        1.23           71.29 
135  95  0.83        1.21           77.33 
140  95  2.80        1.91           95.30 
145  95  2.96        1.98           96.97 
150  95  2.33        1.71           100.57 
155  95  1.62        1.45           105.45 
160  95  -0.04        0.99           107.87 
165  95  -1.94        0.64           111.19 
170  95  -5.02        0.31           113.67 
175  95  -10.88        0.08           115.29 
180  95  -44.87        0.00           175.34 
0  100  -44.87        0.00           4.66 
5  100  -10.99        0.08           113.13 
10  100  -5.08        0.31           112.58 
15  100  -1.97        0.64           110.43 
20  100  -0.07        0.98           107.27 
25  100  1.60        1.45           104.97 
30  100  2.32        1.71           100.14 
35  100  2.95        1.97           96.60 
40  100  2.79        1.90           94.94 
45  100  0.83        1.21           76.91 
50  100  0.92        1.24           70.90 
55  100  0.06        1.01           62.57 
60  100  -1.03        0.79           55.58 
65  100  -2.13        0.61           55.09 
70  100  -2.96        0.51           64.06 
75  100  -2.82        0.52           80.10 
80  100  -1.68        0.68           94.51 
85  100  -0.55        0.88           102.62 
90  100  -0.11        0.97           105.11 
95  100  -0.55        0.88           102.71 
100  100  -1.69        0.68           94.69 
105  100  -2.83        0.52           80.37 
110  100  -2.99        0.50           64.38 
115  100  -2.16        0.61           55.42 
120  100  -1.06        0.78           55.93 
125  100  0.03        1.01           62.94 
130  100  0.91        1.23           71.29 
135  100  0.83        1.21           77.33 
140  100  2.80        1.91           95.30 
145  100  2.96        1.98           96.97 
150  100  2.33        1.71           100.57 
155  100  1.62        1.45           105.45 
160  100  -0.04        0.99           107.87 
165  100  -1.94        0.64           111.19 
170  100  -5.02        0.31           113.67 
175  100  -10.88        0.08           115.29 
180  100  -44.87        0.00           175.34 
0  105  -44.87        0.00           4.66 
5  105  -10.99        0.08           113.13 
10  105  -5.08        0.31           112.58 
15  105  -1.97        0.64           110.43 
20  105  -0.07        0.98           107.27 
25  105  1.60        1.45           104.97 
30  105  2.32        1.71           100.14 
35  105  2.95        1.97           96.60 
40  105  2.79        1.90           94.94 
45  105  0.83        1.21           76.91 
50  105  0.92        1.24           70.90 
