freq : 833.33 MHz
SWR : 6.24
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -45.01        0.00           4.71 
5  0  -11.37        0.07           120.94 
10  0  -5.29        0.30           120.24 
15  0  -1.76        0.67           118.48 
20  0  0.15        1.04           115.89 
25  0  1.14        1.30           112.29 
30  0  2.94        1.97           109.89 
35  0  1.83        1.52           105.62 
40  0  0.72        1.18           92.09 
45  0  1.75        1.50           85.05 
50  0  1.11        1.29           75.86 
55  0  0.25        1.06           66.33 
60  0  -0.51        0.89           60.46 
65  0  -1.45        0.72           60.38 
70  0  -2.42        0.57           68.42 
75  0  -2.72        0.53           84.10 
80  0  -1.96        0.64           99.91 
85  0  -0.97        0.80           109.45 
90  0  -0.56        0.88           112.43 
95  0  -0.97        0.80           109.53 
100  0  -1.96        0.64           100.09 
105  0  -2.73        0.53           84.37 
110  0  -2.45        0.57           68.72 
115  0  -1.48        0.71           60.70 
120  0  -0.54        0.88           60.79 
125  0  0.23        1.05           66.69 
130  0  1.10        1.29           76.24 
135  0  1.75        1.50           85.43 
140  0  0.72        1.18           92.55 
145  0  1.85        1.53           106.03 
150  0  2.96        1.98           110.27 
155  0  1.17        1.31           112.77 
160  0  0.18        1.04           116.44 
165  0  -1.71        0.67           119.17 
170  0  -5.21        0.30           121.28 
175  0  -11.21        0.08           123.03 
180  0  -45.01        0.00           175.29 
0  5  -45.01        0.00           4.71 
5  5  -11.37        0.07           120.94 
10  5  -5.29        0.30           120.24 
15  5  -1.76        0.67           118.48 
20  5  0.15        1.04           115.89 
25  5  1.14        1.30           112.29 
30  5  2.94        1.97           109.89 
35  5  1.83        1.52           105.62 
40  5  0.72        1.18           92.09 
45  5  1.75        1.50           85.05 
50  5  1.11        1.29           75.86 
55  5  0.25        1.06           66.33 
60  5  -0.51        0.89           60.46 
65  5  -1.45        0.72           60.38 
70  5  -2.42        0.57           68.42 
75  5  -2.72        0.53           84.10 
80  5  -1.96        0.64           99.91 
85  5  -0.97        0.80           109.45 
90  5  -0.56        0.88           112.43 
95  5  -0.97        0.80           109.53 
100  5  -1.96        0.64           100.09 
105  5  -2.73        0.53           84.37 
110  5  -2.45        0.57           68.72 
115  5  -1.48        0.71           60.70 
120  5  -0.54        0.88           60.79 
125  5  0.23        1.05           66.69 
130  5  1.10        1.29           76.24 
135  5  1.75        1.50           85.43 
140  5  0.72        1.18           92.55 
145  5  1.85        1.53           106.03 
150  5  2.96        1.98           110.27 
155  5  1.17        1.31           112.77 
160  5  0.18        1.04           116.44 
165  5  -1.71        0.67           119.17 
170  5  -5.21        0.30           121.28 
175  5  -11.21        0.08           123.03 
180  5  -45.01        0.00           175.29 
0  10  -45.01        0.00           4.71 
5  10  -11.37        0.07           120.94 
10  10  -5.29        0.30           120.24 
15  10  -1.76        0.67           118.48 
20  10  0.15        1.04           115.89 
25  10  1.14        1.30           112.29 
30  10  2.94        1.97           109.89 
35  10  1.83        1.52           105.62 
40  10  0.72        1.18           92.09 
45  10  1.75        1.50           85.05 
50  10  1.11        1.29           75.86 
55  10  0.25        1.06           66.33 
60  10  -0.51        0.89           60.46 
65  10  -1.45        0.72           60.38 
70  10  -2.42        0.57           68.42 
75  10  -2.72        0.53           84.10 
80  10  -1.96        0.64           99.91 
85  10  -0.97        0.80           109.45 
90  10  -0.56        0.88           112.43 
95  10  -0.97        0.80           109.53 
100  10  -1.96        0.64           100.09 
105  10  -2.73        0.53           84.37 
110  10  -2.45        0.57           68.72 
115  10  -1.48        0.71           60.70 
120  10  -0.54        0.88           60.79 
125  10  0.23        1.05           66.69 
