freq : 833.33 MHz
SWR : 6.24
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
130  10  1.10        1.29           76.24 
135  10  1.75        1.50           85.43 
140  10  0.72        1.18           92.55 
145  10  1.85        1.53           106.03 
150  10  2.96        1.98           110.27 
155  10  1.17        1.31           112.77 
160  10  0.18        1.04           116.44 
165  10  -1.71        0.67           119.17 
170  10  -5.21        0.30           121.28 
175  10  -11.21        0.08           123.03 
180  10  -45.01        0.00           175.29 
0  15  -45.01        0.00           4.71 
5  15  -11.37        0.07           120.94 
10  15  -5.29        0.30           120.24 
15  15  -1.76        0.67           118.48 
20  15  0.15        1.04           115.89 
25  15  1.14        1.30           112.29 
30  15  2.94        1.97           109.89 
35  15  1.83        1.52           105.62 
40  15  0.72        1.18           92.09 
45  15  1.75        1.50           85.05 
50  15  1.11        1.29           75.86 
55  15  0.25        1.06           66.33 
60  15  -0.51        0.89           60.46 
65  15  -1.45        0.72           60.38 
70  15  -2.42        0.57           68.42 
75  15  -2.72        0.53           84.10 
80  15  -1.96        0.64           99.91 
85  15  -0.97        0.80           109.45 
90  15  -0.56        0.88           112.43 
95  15  -0.97        0.80           109.53 
100  15  -1.96        0.64           100.09 
105  15  -2.73        0.53           84.37 
110  15  -2.45        0.57           68.72 
115  15  -1.48        0.71           60.70 
120  15  -0.54        0.88           60.79 
125  15  0.23        1.05           66.69 
130  15  1.10        1.29           76.24 
135  15  1.75        1.50           85.43 
140  15  0.72        1.18           92.55 
145  15  1.85        1.53           106.03 
150  15  2.96        1.98           110.27 
155  15  1.17        1.31           112.77 
160  15  0.18        1.04           116.44 
165  15  -1.71        0.67           119.17 
170  15  -5.21        0.30           121.28 
175  15  -11.21        0.08           123.03 
180  15  -45.01        0.00           175.29 
0  20  -45.01        0.00           4.71 
5  20  -11.37        0.07           120.94 
10  20  -5.29        0.30           120.24 
15  20  -1.76        0.67           118.48 
20  20  0.15        1.04           115.89 
25  20  1.14        1.30           112.29 
30  20  2.94        1.97           109.89 
35  20  1.83        1.52           105.62 
40  20  0.72        1.18           92.09 
45  20  1.75        1.50           85.05 
50  20  1.11        1.29           75.86 
55  20  0.25        1.06           66.33 
60  20  -0.51        0.89           60.46 
65  20  -1.45        0.72           60.38 
70  20  -2.42        0.57           68.42 
75  20  -2.72        0.53           84.10 
80  20  -1.96        0.64           99.91 
85  20  -0.97        0.80           109.45 
90  20  -0.56        0.88           112.43 
95  20  -0.97        0.80           109.53 
100  20  -1.96        0.64           100.09 
105  20  -2.73        0.53           84.37 
110  20  -2.45        0.57           68.72 
115  20  -1.48        0.71           60.70 
120  20  -0.54        0.88           60.79 
125  20  0.23        1.05           66.69 
130  20  1.10        1.29           76.24 
135  20  1.75        1.50           85.43 
140  20  0.72        1.18           92.55 
145  20  1.85        1.53           106.03 
150  20  2.96        1.98           110.27 
155  20  1.17        1.31           112.77 
160  20  0.18        1.04           116.44 
165  20  -1.71        0.67           119.17 
170  20  -5.21        0.30           121.28 
175  20  -11.21        0.08           123.03 
180  20  -45.01        0.00           175.29 
0  25  -45.01        0.00           4.71 
5  25  -11.37        0.07           120.94 
10  25  -5.29        0.30           120.24 
15  25  -1.76        0.67           118.48 
20  25  0.15        1.04           115.89 
25  25  1.14        1.30           112.29 
30  25  2.94        1.97           109.89 
35  25  1.83        1.52           105.62 
40  25  0.72        1.18           92.09 
45  25  1.75        1.50           85.05 
50  25  1.11        1.29           75.86 
55  25  0.25        1.06           66.33 
60  25  -0.51        0.89           60.46 
65  25  -1.45        0.72           60.38 
70  25  -2.42        0.57           68.42 
75  25  -2.72        0.53           84.10 
80  25  -1.96        0.64           99.91 
85  25  -0.97        0.80           109.45 
90  25  -0.56        0.88           112.43 
95  25  -0.97        0.80           109.53 
100  25  -1.96        0.64           100.09 
105  25  -2.73        0.53           84.37 
110  25  -2.45        0.57           68.72 
115  25  -1.48        0.71           60.70 
120  25  -0.54        0.88           60.79 
125  25  0.23        1.05           66.69 
130  25  1.10        1.29           76.24 
135  25  1.75        1.50           85.43 
140  25  0.72        1.18           92.55 
145  25  1.85        1.53           106.03 
150  25  2.96        1.98           110.27 
155  25  1.17        1.31           112.77 
160  25  0.18        1.04           116.44 
165  25  -1.71        0.67           119.17 
170  25  -5.21        0.30           121.28 
175  25  -11.21        0.08           123.03 
180  25  -45.01        0.00           175.29 
0  30  -45.01        0.00           4.71 
5  30  -11.37        0.07           120.94 
10  30  -5.29        0.30           120.24 
15  30  -1.76        0.67           118.48 
20  30  0.15        1.04           115.89 
25  30  1.14        1.30           112.29 
30  30  2.94        1.97           109.89 
35  30  1.83        1.52           105.62 
40  30  0.72        1.18           92.09 
45  30  1.75        1.50           85.05 
50  30  1.11        1.29           75.86 
55  30  0.25        1.06           66.33 
60  30  -0.51        0.89           60.46 
65  30  -1.45        0.72           60.38 
70  30  -2.42        0.57           68.42 
75  30  -2.72        0.53           84.10 
80  30  -1.96        0.64           99.91 
85  30  -0.97        0.80           109.45 
90  30  -0.56        0.88           112.43 
95  30  -0.97        0.80           109.53 
100  30  -1.96        0.64           100.09 
105  30  -2.73        0.53           84.37 
110  30  -2.45        0.57           68.72 
115  30  -1.48        0.71           60.70 
120  30  -0.54        0.88           60.79 
125  30  0.23        1.05           66.69 
130  30  1.10        1.29           76.24 
135  30  1.75        1.50           85.43 
140  30  0.72        1.18           92.55 
145  30  1.85        1.53           106.03 
150  30  2.96        1.98           110.27 
155  30  1.17        1.31           112.77 
160  30  0.18        1.04           116.44 
165  30  -1.71        0.67           119.17 
170  30  -5.21        0.30           121.28 
175  30  -11.21        0.08           123.03 
180  30  -45.01        0.00           175.29 
0  35  -45.01        0.00           4.71 
5  35  -11.37        0.07           120.94 
10  35  -5.29        0.30           120.24 
15  35  -1.76        0.67           118.48 
20  35  0.15        1.04           115.89 
25  35  1.14        1.30           112.29 
30  35  2.94        1.97           109.89 
35  35  1.83        1.52           105.62 
40  35  0.72        1.18           92.09 
45  35  1.75        1.50           85.05 
50  35  1.11        1.29           75.86 
55  35  0.25        1.06           66.33 
60  35  -0.51        0.89           60.46 
65  35  -1.45        0.72           60.38 
70  35  -2.42        0.57           68.42 
75  35  -2.72        0.53           84.10 
80  35  -1.96        0.64           99.91 
85  35  -0.97        0.80           109.45 
90  35  -0.56        0.88           112.43 
95  35  -0.97        0.80           109.53 
100  35  -1.96        0.64           100.09 
105  35  -2.73        0.53           84.37 
110  35  -2.45        0.57           68.72 
115  35  -1.48        0.71           60.70 
120  35  -0.54        0.88           60.79 
125  35  0.23        1.05           66.69 
130  35  1.10        1.29           76.24 
135  35  1.75        1.50           85.43 
140  35  0.72        1.18           92.55 
145  35  1.85        1.53           106.03 
150  35  2.96        1.98           110.27 
155  35  1.17        1.31           112.77 
160  35  0.18        1.04           116.44 
165  35  -1.71        0.67           119.17 
170  35  -5.21        0.30           121.28 
175  35  -11.21        0.08           123.03 
180  35  -45.01        0.00           175.29 
0  40  -45.01        0.00           4.71 
5  40  -11.37        0.07           120.94 
10  40  -5.29        0.30           120.24 
15  40  -1.76        0.67           118.48 
20  40  0.15        1.04           115.89 
25  40  1.14        1.30           112.29 
30  40  2.94        1.97           109.89 
35  40  1.83        1.52           105.62 
40  40  0.72        1.18           92.09 
45  40  1.75        1.50           85.05 
50  40  1.11        1.29           75.86 
55  40  0.25        1.06           66.33 
60  40  -0.51        0.89           60.46 
65  40  -1.45        0.72           60.38 
70  40  -2.42        0.57           68.42 
75  40  -2.72        0.53           84.10 
80  40  -1.96        0.64           99.91 
85  40  -0.97        0.80           109.45 
90  40  -0.56        0.88           112.43 
95  40  -0.97        0.80           109.53 
100  40  -1.96        0.64           100.09 
105  40  -2.73        0.53           84.37 
110  40  -2.45        0.57           68.72 
115  40  -1.48        0.71           60.70 
120  40  -0.54        0.88           60.79 
125  40  0.23        1.05           66.69 
130  40  1.10        1.29           76.24 
135  40  1.75        1.50           85.43 
140  40  0.72        1.18           92.55 
145  40  1.85        1.53           106.03 
150  40  2.96        1.98           110.27 
155  40  1.17        1.31           112.77 
160  40  0.18        1.04           116.44 
165  40  -1.71        0.67           119.17 
170  40  -5.21        0.30           121.28 
175  40  -11.21        0.08           123.03 
180  40  -45.01        0.00           175.29 
0  45  -45.01        0.00           4.71 
5  45  -11.37        0.07           120.94 
10  45  -5.29        0.30           120.24 
15  45  -1.76        0.67           118.48 
20  45  0.15        1.04           115.89 
25  45  1.14        1.30           112.29 
30  45  2.94        1.97           109.89 
35  45  1.83        1.52           105.62 
40  45  0.72        1.18           92.09 
45  45  1.75        1.50           85.05 
50  45  1.11        1.29           75.86 
55  45  0.25        1.06           66.33 
60  45  -0.51        0.89           60.46 
65  45  -1.45        0.72           60.38 
70  45  -2.42        0.57           68.42 
75  45  -2.72        0.53           84.10 
80  45  -1.96        0.64           99.91 
85  45  -0.97        0.80           109.45 
90  45  -0.56        0.88           112.43 
95  45  -0.97        0.80           109.53 
100  45  -1.96        0.64           100.09 
105  45  -2.73        0.53           84.37 
110  45  -2.45        0.57           68.72 
115  45  -1.48        0.71           60.70 
120  45  -0.54        0.88           60.79 
125  45  0.23        1.05           66.69 
130  45  1.10        1.29           76.24 
135  45  1.75        1.50           85.43 
140  45  0.72        1.18           92.55 
145  45  1.85        1.53           106.03 
150  45  2.96        1.98           110.27 
155  45  1.17        1.31           112.77 
160  45  0.18        1.04           116.44 
165  45  -1.71        0.67           119.17 
170  45  -5.21        0.30           121.28 
175  45  -11.21        0.08           123.03 
180  45  -45.01        0.00           175.29 
0  50  -45.01        0.00           4.71 
5  50  -11.37        0.07           120.94 
10  50  -5.29        0.30           120.24 
15  50  -1.76        0.67           118.48 
20  50  0.15        1.04           115.89 
25  50  1.14        1.30           112.29 
30  50  2.94        1.97           109.89 
35  50  1.83        1.52           105.62 
40  50  0.72        1.18           92.09 
45  50  1.75        1.50           85.05 
50  50  1.11        1.29           75.86 
55  50  0.25        1.06           66.33 
60  50  -0.51        0.89           60.46 
65  50  -1.45        0.72           60.38 
70  50  -2.42        0.57           68.42 
75  50  -2.72        0.53           84.10 
80  50  -1.96        0.64           99.91 
85  50  -0.97        0.80           109.45 
90  50  -0.56        0.88           112.43 
95  50  -0.97        0.80           109.53 
100  50  -1.96        0.64           100.09 
105  50  -2.73        0.53           84.37 
110  50  -2.45        0.57           68.72 
115  50  -1.48        0.71           60.70 
120  50  -0.54        0.88           60.79 
125  50  0.23        1.05           66.69 
130  50  1.10        1.29           76.24 
135  50  1.75        1.50           85.43 
140  50  0.72        1.18           92.55 
145  50  1.85        1.53           106.03 
150  50  2.96        1.98           110.27 
155  50  1.17        1.31           112.77 
160  50  0.18        1.04           116.44 
165  50  -1.71        0.67           119.17 
170  50  -5.21        0.30           121.28 
175  50  -11.21        0.08           123.03 
180  50  -45.01        0.00           175.29 
0  55  -45.01        0.00           4.71 
5  55  -11.37        0.07           120.94 
10  55  -5.29        0.30           120.24 
15  55  -1.76        0.67           118.48 
20  55  0.15        1.04           115.89 
25  55  1.14        1.30           112.29 
30  55  2.94        1.97           109.89 
35  55  1.83        1.52           105.62 
40  55  0.72        1.18           92.09 
45  55  1.75        1.50           85.05 
50  55  1.11        1.29           75.86 
55  55  0.25        1.06           66.33 
60  55  -0.51        0.89           60.46 
65  55  -1.45        0.72           60.38 
70  55  -2.42        0.57           68.42 
75  55  -2.72        0.53           84.10 
80  55  -1.96        0.64           99.91 
85  55  -0.97        0.80           109.45 
90  55  -0.56        0.88           112.43 
95  55  -0.97        0.80           109.53 
100  55  -1.96        0.64           100.09 
105  55  -2.73        0.53           84.37 
110  55  -2.45        0.57           68.72 
115  55  -1.48        0.71           60.70 
120  55  -0.54        0.88           60.79 
125  55  0.23        1.05           66.69 
130  55  1.10        1.29           76.24 
135  55  1.75        1.50           85.43 
140  55  0.72        1.18           92.55 
145  55  1.85        1.53           106.03 
150  55  2.96        1.98           110.27 
155  55  1.17        1.31           112.77 
160  55  0.18        1.04           116.44 
165  55  -1.71        0.67           119.17 
170  55  -5.21        0.30           121.28 
175  55  -11.21        0.08           123.03 
180  55  -45.01        0.00           175.29 
0  60  -45.01        0.00           4.71 
5  60  -11.37        0.07           120.94 
10  60  -5.29        0.30           120.24 
15  60  -1.76        0.67           118.48 
20  60  0.15        1.04           115.89 
25  60  1.14        1.30           112.29 
30  60  2.94        1.97           109.89 
35  60  1.83        1.52           105.62 
40  60  0.72        1.18           92.09 
45  60  1.75        1.50           85.05 
50  60  1.11        1.29           75.86 
55  60  0.25        1.06           66.33 
60  60  -0.51        0.89           60.46 
65  60  -1.45        0.72           60.38 
70  60  -2.42        0.57           68.42 
75  60  -2.72        0.53           84.10 
80  60  -1.96        0.64           99.91 
85  60  -0.97        0.80           109.45 
90  60  -0.56        0.88           112.43 
95  60  -0.97        0.80           109.53 
100  60  -1.96        0.64           100.09 
105  60  -2.73        0.53           84.37 
110  60  -2.45        0.57           68.72 
115  60  -1.48        0.71           60.70 
120  60  -0.54        0.88           60.79 
125  60  0.23        1.05           66.69 
130  60  1.10        1.29           76.24 
135  60  1.75        1.50           85.43 
140  60  0.72        1.18           92.55 
145  60  1.85        1.53           106.03 
150  60  2.96        1.98           110.27 
155  60  1.17        1.31           112.77 
160  60  0.18        1.04           116.44 
165  60  -1.71        0.67           119.17 
170  60  -5.21        0.30           121.28 
175  60  -11.21        0.08           123.03 
180  60  -45.01        0.00           175.29 
0  65  -45.01        0.00           4.71 
5  65  -11.37        0.07           120.94 
10  65  -5.29        0.30           120.24 
15  65  -1.76        0.67           118.48 
20  65  0.15        1.04           115.89 
25  65  1.14        1.30           112.29 
30  65  2.94        1.97           109.89 
35  65  1.83        1.52           105.62 
40  65  0.72        1.18           92.09 
45  65  1.75        1.50           85.05 
50  65  1.11        1.29           75.86 
55  65  0.25        1.06           66.33 
60  65  -0.51        0.89           60.46 
65  65  -1.45        0.72           60.38 
70  65  -2.42        0.57           68.42 
75  65  -2.72        0.53           84.10 
80  65  -1.96        0.64           99.91 
85  65  -0.97        0.80           109.45 
90  65  -0.56        0.88           112.43 
95  65  -0.97        0.80           109.53 
100  65  -1.96        0.64           100.09 
105  65  -2.73        0.53           84.37 
110  65  -2.45        0.57           68.72 
115  65  -1.48        0.71           60.70 
120  65  -0.54        0.88           60.79 
125  65  0.23        1.05           66.69 
130  65  1.10        1.29           76.24 
135  65  1.75        1.50           85.43 
140  65  0.72        1.18           92.55 
145  65  1.85        1.53           106.03 
150  65  2.96        1.98           110.27 
155  65  1.17        1.31           112.77 
160  65  0.18        1.04           116.44 
165  65  -1.71        0.67           119.17 
170  65  -5.21        0.30           121.28 
175  65  -11.21        0.08           123.03 
180  65  -45.01        0.00           175.29 
0  70  -45.01        0.00           4.71 
5  70  -11.37        0.07           120.94 
10  70  -5.29        0.30           120.24 
15  70  -1.76        0.67           118.48 
20  70  0.15        1.04           115.89 
25  70  1.14        1.30           112.29 
30  70  2.94        1.97           109.89 
35  70  1.83        1.52           105.62 
40  70  0.72        1.18           92.09 
45  70  1.75        1.50           85.05 
50  70  1.11        1.29           75.86 
55  70  0.25        1.06           66.33 
60  70  -0.51        0.89           60.46 
65  70  -1.45        0.72           60.38 
70  70  -2.42        0.57           68.42 
75  70  -2.72        0.53           84.10 
80  70  -1.96        0.64           99.91 
85  70  -0.97        0.80           109.45 
90  70  -0.56        0.88           112.43 
95  70  -0.97        0.80           109.53 
100  70  -1.96        0.64           100.09 
105  70  -2.73        0.53           84.37 
110  70  -2.45        0.57           68.72 
115  70  -1.48        0.71           60.70 
120  70  -0.54        0.88           60.79 
125  70  0.23        1.05           66.69 
130  70  1.10        1.29           76.24 
135  70  1.75        1.50           85.43 
140  70  0.72        1.18           92.55 
145  70  1.85        1.53           106.03 
150  70  2.96        1.98           110.27 
155  70  1.17        1.31           112.77 
160  70  0.18        1.04           116.44 
165  70  -1.71        0.67           119.17 
170  70  -5.21        0.30           121.28 
175  70  -11.21        0.08           123.03 
180  70  -45.01        0.00           175.29 
0  75  -45.01        0.00           4.71 
5  75  -11.37        0.07           120.94 
10  75  -5.29        0.30           120.24 
15  75  -1.76        0.67           118.48 
20  75  0.15        1.04           115.89 
25  75  1.14        1.30           112.29 
30  75  2.94        1.97           109.89 
35  75  1.83        1.52           105.62 
40  75  0.72        1.18           92.09 
45  75  1.75        1.50           85.05 
50  75  1.11        1.29           75.86 
55  75  0.25        1.06           66.33 
60  75  -0.51        0.89           60.46 
65  75  -1.45        0.72           60.38 
70  75  -2.42        0.57           68.42 
75  75  -2.72        0.53           84.10 
80  75  -1.96        0.64           99.91 
85  75  -0.97        0.80           109.45 
90  75  -0.56        0.88           112.43 
95  75  -0.97        0.80           109.53 
100  75  -1.96        0.64           100.09 
105  75  -2.73        0.53           84.37 
110  75  -2.45        0.57           68.72 
115  75  -1.48        0.71           60.70 
120  75  -0.54        0.88           60.79 
125  75  0.23        1.05           66.69 
130  75  1.10        1.29           76.24 
135  75  1.75        1.50           85.43 
140  75  0.72        1.18           92.55 
145  75  1.85        1.53           106.03 
150  75  2.96        1.98           110.27 
155  75  1.17        1.31           112.77 
160  75  0.18        1.04           116.44 
165  75  -1.71        0.67           119.17 
170  75  -5.21        0.30           121.28 
175  75  -11.21        0.08           123.03 
180  75  -45.01        0.00           175.29 
0  80  -45.01        0.00           4.71 
5  80  -11.37        0.07           120.94 
10  80  -5.29        0.30           120.24 
15  80  -1.76        0.67           118.48 
20  80  0.15        1.04           115.89 
25  80  1.14        1.30           112.29 
30  80  2.94        1.97           109.89 
35  80  1.83        1.52           105.62 
40  80  0.72        1.18           92.09 
45  80  1.75        1.50           85.05 
50  80  1.11        1.29           75.86 
55  80  0.25        1.06           66.33 
60  80  -0.51        0.89           60.46 
65  80  -1.45        0.72           60.38 
70  80  -2.42        0.57           68.42 
75  80  -2.72        0.53           84.10 
80  80  -1.96        0.64           99.91 
85  80  -0.97        0.80           109.45 
90  80  -0.56        0.88           112.43 
95  80  -0.97        0.80           109.53 
100  80  -1.96        0.64           100.09 
105  80  -2.73        0.53           84.37 
110  80  -2.45        0.57           68.72 
115  80  -1.48        0.71           60.70 
120  80  -0.54        0.88           60.79 
125  80  0.23        1.05           66.69 
130  80  1.10        1.29           76.24 
135  80  1.75        1.50           85.43 
140  80  0.72        1.18           92.55 
145  80  1.85        1.53           106.03 
150  80  2.96        1.98           110.27 
155  80  1.17        1.31           112.77 
160  80  0.18        1.04           116.44 
165  80  -1.71        0.67           119.17 
170  80  -5.21        0.30           121.28 
175  80  -11.21        0.08           123.03 
180  80  -45.01        0.00           175.29 
0  85  -45.01        0.00           4.71 
5  85  -11.37        0.07           120.94 
10  85  -5.29        0.30           120.24 
15  85  -1.76        0.67           118.48 
20  85  0.15        1.04           115.89 
25  85  1.14        1.30           112.29 
30  85  2.94        1.97           109.89 
35  85  1.83        1.52           105.62 
40  85  0.72        1.18           92.09 
45  85  1.75        1.50           85.05 
50  85  1.11        1.29           75.86 
55  85  0.25        1.06           66.33 
60  85  -0.51        0.89           60.46 
65  85  -1.45        0.72           60.38 
70  85  -2.42        0.57           68.42 
75  85  -2.72        0.53           84.10 
80  85  -1.96        0.64           99.91 
85  85  -0.97        0.80           109.45 
90  85  -0.56        0.88           112.43 
95  85  -0.97        0.80           109.53 
100  85  -1.96        0.64           100.09 
105  85  -2.73        0.53           84.37 
110  85  -2.45        0.57           68.72 
115  85  -1.48        0.71           60.70 
120  85  -0.54        0.88           60.79 
125  85  0.23        1.05           66.69 
130  85  1.10        1.29           76.24 
135  85  1.75        1.50           85.43 
140  85  0.72        1.18           92.55 
145  85  1.85        1.53           106.03 
150  85  2.96        1.98           110.27 
155  85  1.17        1.31           112.77 
160  85  0.18        1.04           116.44 
165  85  -1.71        0.67           119.17 
170  85  -5.21        0.30           121.28 
175  85  -11.21        0.08           123.03 
180  85  -45.01        0.00           175.29 
0  90  -45.01        0.00           4.71 
5  90  -11.37        0.07           120.94 
10  90  -5.29        0.30           120.24 
15  90  -1.76        0.67           118.48 
20  90  0.15        1.04           115.89 
25  90  1.14        1.30           112.29 
30  90  2.94        1.97           109.89 
35  90  1.83        1.52           105.62 
40  90  0.72        1.18           92.09 
45  90  1.75        1.50           85.05 
50  90  1.11        1.29           75.86 
55  90  0.25        1.06           66.33 
60  90  -0.51        0.89           60.46 
65  90  -1.45        0.72           60.38 
70  90  -2.42        0.57           68.42 
75  90  -2.72        0.53           84.10 
80  90  -1.96        0.64           99.91 
85  90  -0.97        0.80           109.45 
90  90  -0.56        0.88           112.43 
95  90  -0.97        0.80           109.53 
100  90  -1.96        0.64           100.09 
105  90  -2.73        0.53           84.37 
110  90  -2.45        0.57           68.72 
115  90  -1.48        0.71           60.70 
120  90  -0.54        0.88           60.79 
125  90  0.23        1.05           66.69 
130  90  1.10        1.29           76.24 
135  90  1.75        1.50           85.43 
140  90  0.72        1.18           92.55 
145  90  1.85        1.53           106.03 
150  90  2.96        1.98           110.27 
155  90  1.17        1.31           112.77 
160  90  0.18        1.04           116.44 
165  90  -1.71        0.67           119.17 
170  90  -5.21        0.30           121.28 
175  90  -11.21        0.08           123.03 
180  90  -45.01        0.00           175.29 
0  95  -45.01        0.00           4.71 
5  95  -11.37        0.07           120.94 
10  95  -5.29        0.30           120.24 
15  95  -1.76        0.67           118.48 
20  95  0.15        1.04           115.89 
25  95  1.14        1.30           112.29 
30  95  2.94        1.97           109.89 
35  95  1.83        1.52           105.62 
40  95  0.72        1.18           92.09 
45  95  1.75        1.50           85.05 
50  95  1.11        1.29           75.86 
55  95  0.25        1.06           66.33 
60  95  -0.51        0.89           60.46 
65  95  -1.45        0.72           60.38 
70  95  -2.42        0.57           68.42 
75  95  -2.72        0.53           84.10 
80  95  -1.96        0.64           99.91 
85  95  -0.97        0.80           109.45 
90  95  -0.56        0.88           112.43 
95  95  -0.97        0.80           109.53 
100  95  -1.96        0.64           100.09 
105  95  -2.73        0.53           84.37 
110  95  -2.45        0.57           68.72 
115  95  -1.48        0.71           60.70 
120  95  -0.54        0.88           60.79 
125  95  0.23        1.05           66.69 
130  95  1.10        1.29           76.24 
135  95  1.75        1.50           85.43 
140  95  0.72        1.18           92.55 
145  95  1.85        1.53           106.03 
150  95  2.96        1.98           110.27 
155  95  1.17        1.31           112.77 
160  95  0.18        1.04           116.44 
165  95  -1.71        0.67           119.17 
170  95  -5.21        0.30           121.28 
175  95  -11.21        0.08           123.03 
180  95  -45.01        0.00           175.29 
0  100  -45.01        0.00           4.71 
5  100  -11.37        0.07           120.94 
10  100  -5.29        0.30           120.24 
15  100  -1.76        0.67           118.48 
20  100  0.15        1.04           115.89 
25  100  1.14        1.30           112.29 
30  100  2.94        1.97           109.89 
35  100  1.83        1.52           105.62 
40  100  0.72        1.18           92.09 
45  100  1.75        1.50           85.05 
50  100  1.11        1.29           75.86 
55  100  0.25        1.06           66.33 
60  100  -0.51        0.89           60.46 
65  100  -1.45        0.72           60.38 
70  100  -2.42        0.57           68.42 
75  100  -2.72        0.53           84.10 
80  100  -1.96        0.64           99.91 
85  100  -0.97        0.80           109.45 
90  100  -0.56        0.88           112.43 
95  100  -0.97        0.80           109.53 
100  100  -1.96        0.64           100.09 
105  100  -2.73        0.53           84.37 
110  100  -2.45        0.57           68.72 
115  100  -1.48        0.71           60.70 
120  100  -0.54        0.88           60.79 
125  100  0.23        1.05           66.69 
130  100  1.10        1.29           76.24 
135  100  1.75        1.50           85.43 
140  100  0.72        1.18           92.55 
145  100  1.85        1.53           106.03 
150  100  2.96        1.98           110.27 
155  100  1.17        1.31           112.77 
160  100  0.18        1.04           116.44 
165  100  -1.71        0.67           119.17 
170  100  -5.21        0.30           121.28 
175  100  -11.21        0.08           123.03 
180  100  -45.01        0.00           175.29 
0  105  -45.01        0.00           4.71 
5  105  -11.37        0.07           120.94 
10  105  -5.29        0.30           120.24 
15  105  -1.76        0.67           118.48 
20  105  0.15        1.04           115.89 
25  105  1.14        1.30           112.29 
30  105  2.94        1.97           109.89 
35  105  1.83        1.52           105.62 
40  105  0.72        1.18           92.09 
45  105  1.75        1.50           85.05 
50  105  1.11        1.29           75.86 
55  105  0.25        1.06           66.33 
60  105  -0.51        0.89           60.46 
65  105  -1.45        0.72           60.38 
