freq : 900.00 MHz
SWR : 7.04
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -44.83        0.00           3.40 
5  0  -11.27        0.07           93.18 
10  0  -5.37        0.29           92.22 
15  0  -2.04        0.63           90.48 
20  0  0.18        1.04           88.66 
25  0  1.62        1.45           85.05 
30  0  2.52        1.79           81.39 
35  0  2.89        1.95           76.78 
40  0  2.83        1.92           72.07 
45  0  2.35        1.72           64.64 
50  0  0.98        1.25           66.71 
55  0  -0.77        0.84           49.10 
60  0  -2.20        0.60           44.85 
65  0  -3.59        0.44           46.12 
70  0  -4.13        0.39           56.02 
75  0  -3.17        0.48           70.03 
80  0  -1.44        0.72           80.14 
85  0  -0.09        0.98           85.11 
90  0  0.40        1.10           86.56 
95  0  -0.09        0.98           85.20 
100  0  -1.45        0.72           80.32 
105  0  -3.19        0.48           70.32 
110  0  -4.16        0.38           56.38 
115  0  -3.64        0.43           46.47 
120  0  -2.24        0.60           45.18 
125  0  -0.80        0.83           49.43 
130  0  0.97        1.25           67.04 
135  0  2.33        1.71           64.95 
140  0  2.81        1.91           72.40 
145  0  2.88        1.94           77.14 
150  0  2.51        1.78           81.80 
155  0  1.61        1.45           85.54 
160  0  0.17        1.04           89.26 
165  0  -2.04        0.63           91.29 
170  0  -5.37        0.29           93.42 
175  0  -11.26        0.07           95.58 
180  0  -44.83        0.00           176.60 
0  5  -44.83        0.00           3.40 
5  5  -11.27        0.07           93.18 
10  5  -5.37        0.29           92.22 
15  5  -2.04        0.63           90.48 
20  5  0.18        1.04           88.66 
25  5  1.62        1.45           85.05 
30  5  2.52        1.79           81.39 
35  5  2.89        1.95           76.78 
40  5  2.83        1.92           72.07 
45  5  2.35        1.72           64.64 
50  5  0.98        1.25           66.71 
55  5  -0.77        0.84           49.10 
60  5  -2.20        0.60           44.85 
65  5  -3.59        0.44           46.12 
70  5  -4.13        0.39           56.02 
75  5  -3.17        0.48           70.03 
80  5  -1.44        0.72           80.14 
85  5  -0.09        0.98           85.11 
90  5  0.40        1.10           86.56 
95  5  -0.09        0.98           85.20 
100  5  -1.45        0.72           80.32 
105  5  -3.19        0.48           70.32 
110  5  -4.16        0.38           56.38 
115  5  -3.64        0.43           46.47 
120  5  -2.24        0.60           45.18 
125  5  -0.80        0.83           49.43 
130  5  0.97        1.25           67.04 
135  5  2.33        1.71           64.95 
140  5  2.81        1.91           72.40 
145  5  2.88        1.94           77.14 
150  5  2.51        1.78           81.80 
155  5  1.61        1.45           85.54 
160  5  0.17        1.04           89.26 
165  5  -2.04        0.63           91.29 
170  5  -5.37        0.29           93.42 
175  5  -11.26        0.07           95.58 
180  5  -44.83        0.00           176.60 
0  10  -44.83        0.00           3.40 
5  10  -11.27        0.07           93.18 
10  10  -5.37        0.29           92.22 
