freq : 900.00 MHz
SWR : 7.04
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
15  10  -2.04        0.63           90.48 
20  10  0.18        1.04           88.66 
25  10  1.62        1.45           85.05 
30  10  2.52        1.79           81.39 
35  10  2.89        1.95           76.78 
40  10  2.83        1.92           72.07 
45  10  2.35        1.72           64.64 
50  10  0.98        1.25           66.71 
55  10  -0.77        0.84           49.10 
60  10  -2.20        0.60           44.85 
65  10  -3.59        0.44           46.12 
70  10  -4.13        0.39           56.02 
75  10  -3.17        0.48           70.03 
80  10  -1.44        0.72           80.14 
85  10  -0.09        0.98           85.11 
90  10  0.40        1.10           86.56 
95  10  -0.09        0.98           85.20 
100  10  -1.45        0.72           80.32 
105  10  -3.19        0.48           70.32 
110  10  -4.16        0.38           56.38 
115  10  -3.64        0.43           46.47 
120  10  -2.24        0.60           45.18 
125  10  -0.80        0.83           49.43 
130  10  0.97        1.25           67.04 
135  10  2.33        1.71           64.95 
140  10  2.81        1.91           72.40 
145  10  2.88        1.94           77.14 
150  10  2.51        1.78           81.80 
155  10  1.61        1.45           85.54 
160  10  0.17        1.04           89.26 
165  10  -2.04        0.63           91.29 
170  10  -5.37        0.29           93.42 
175  10  -11.26        0.07           95.58 
180  10  -44.83        0.00           176.60 
0  15  -44.83        0.00           3.40 
5  15  -11.27        0.07           93.18 
10  15  -5.37        0.29           92.22 
15  15  -2.04        0.63           90.48 
20  15  0.18        1.04           88.66 
25  15  1.62        1.45           85.05 
30  15  2.52        1.79           81.39 
35  15  2.89        1.95           76.78 
40  15  2.83        1.92           72.07 
45  15  2.35        1.72           64.64 
50  15  0.98        1.25           66.71 
55  15  -0.77        0.84           49.10 
60  15  -2.20        0.60           44.85 
65  15  -3.59        0.44           46.12 
70  15  -4.13        0.39           56.02 
75  15  -3.17        0.48           70.03 
80  15  -1.44        0.72           80.14 
85  15  -0.09        0.98           85.11 
90  15  0.40        1.10           86.56 
95  15  -0.09        0.98           85.20 
100  15  -1.45        0.72           80.32 
105  15  -3.19        0.48           70.32 
110  15  -4.16        0.38           56.38 
115  15  -3.64        0.43           46.47 
120  15  -2.24        0.60           45.18 
125  15  -0.80        0.83           49.43 
130  15  0.97        1.25           67.04 
135  15  2.33        1.71           64.95 
140  15  2.81        1.91           72.40 
145  15  2.88        1.94           77.14 
150  15  2.51        1.78           81.80 
155  15  1.61        1.45           85.54 
160  15  0.17        1.04           89.26 
165  15  -2.04        0.63           91.29 
170  15  -5.37        0.29           93.42 
175  15  -11.26        0.07           95.58 
180  15  -44.83        0.00           176.60 
0  20  -44.83        0.00           3.40 
5  20  -11.27        0.07           93.18 
10  20  -5.37        0.29           92.22 
15  20  -2.04        0.63           90.48 
20  20  0.18        1.04           88.66 
25  20  1.62        1.45           85.05 
30  20  2.52        1.79           81.39 
35  20  2.89        1.95           76.78 
40  20  2.83        1.92           72.07 
45  20  2.35        1.72           64.64 
50  20  0.98        1.25           66.71 
55  20  -0.77        0.84           49.10 
60  20  -2.20        0.60           44.85 
65  20  -3.59        0.44           46.12 
70  20  -4.13        0.39           56.02 
75  20  -3.17        0.48           70.03 
80  20  -1.44        0.72           80.14 
85  20  -0.09        0.98           85.11 
90  20  0.40        1.10           86.56 
95  20  -0.09        0.98           85.20 
100  20  -1.45        0.72           80.32 
105  20  -3.19        0.48           70.32 
110  20  -4.16        0.38           56.38 
115  20  -3.64        0.43           46.47 
120  20  -2.24        0.60           45.18 
125  20  -0.80        0.83           49.43 
130  20  0.97        1.25           67.04 
135  20  2.33        1.71           64.95 
140  20  2.81        1.91           72.40 
145  20  2.88        1.94           77.14 
150  20  2.51        1.78           81.80 
155  20  1.61        1.45           85.54 
160  20  0.17        1.04           89.26 
165  20  -2.04        0.63           91.29 
170  20  -5.37        0.29           93.42 
175  20  -11.26        0.07           95.58 
180  20  -44.83        0.00           176.60 
0  25  -44.83        0.00           3.40 
5  25  -11.27        0.07           93.18 
10  25  -5.37        0.29           92.22 
15  25  -2.04        0.63           90.48 
20  25  0.18        1.04           88.66 
25  25  1.62        1.45           85.05 
30  25  2.52        1.79           81.39 
35  25  2.89        1.95           76.78 
40  25  2.83        1.92           72.07 
45  25  2.35        1.72           64.64 
50  25  0.98        1.25           66.71 
55  25  -0.77        0.84           49.10 
60  25  -2.20        0.60           44.85 
65  25  -3.59        0.44           46.12 
70  25  -4.13        0.39           56.02 
75  25  -3.17        0.48           70.03 
80  25  -1.44        0.72           80.14 
85  25  -0.09        0.98           85.11 
90  25  0.40        1.10           86.56 
95  25  -0.09        0.98           85.20 
100  25  -1.45        0.72           80.32 
105  25  -3.19        0.48           70.32 
110  25  -4.16        0.38           56.38 
115  25  -3.64        0.43           46.47 
120  25  -2.24        0.60           45.18 
125  25  -0.80        0.83           49.43 
130  25  0.97        1.25           67.04 
135  25  2.33        1.71           64.95 
140  25  2.81        1.91           72.40 
145  25  2.88        1.94           77.14 
150  25  2.51        1.78           81.80 
155  25  1.61        1.45           85.54 
160  25  0.17        1.04           89.26 
165  25  -2.04        0.63           91.29 
170  25  -5.37        0.29           93.42 
175  25  -11.26        0.07           95.58 
180  25  -44.83        0.00           176.60 
0  30  -44.83        0.00           3.40 
5  30  -11.27        0.07           93.18 
10  30  -5.37        0.29           92.22 
15  30  -2.04        0.63           90.48 
20  30  0.18        1.04           88.66 
25  30  1.62        1.45           85.05 
30  30  2.52        1.79           81.39 
35  30  2.89        1.95           76.78 
40  30  2.83        1.92           72.07 
45  30  2.35        1.72           64.64 
50  30  0.98        1.25           66.71 
55  30  -0.77        0.84           49.10 
60  30  -2.20        0.60           44.85 
65  30  -3.59        0.44           46.12 
70  30  -4.13        0.39           56.02 
75  30  -3.17        0.48           70.03 
80  30  -1.44        0.72           80.14 
85  30  -0.09        0.98           85.11 
90  30  0.40        1.10           86.56 
95  30  -0.09        0.98           85.20 
100  30  -1.45        0.72           80.32 
105  30  -3.19        0.48           70.32 
110  30  -4.16        0.38           56.38 
115  30  -3.64        0.43           46.47 
120  30  -2.24        0.60           45.18 
125  30  -0.80        0.83           49.43 
130  30  0.97        1.25           67.04 
135  30  2.33        1.71           64.95 
140  30  2.81        1.91           72.40 
145  30  2.88        1.94           77.14 
150  30  2.51        1.78           81.80 
155  30  1.61        1.45           85.54 
160  30  0.17        1.04           89.26 
165  30  -2.04        0.63           91.29 
170  30  -5.37        0.29           93.42 
175  30  -11.26        0.07           95.58 
180  30  -44.83        0.00           176.60 
0  35  -44.83        0.00           3.40 
5  35  -11.27        0.07           93.18 
10  35  -5.37        0.29           92.22 
15  35  -2.04        0.63           90.48 
20  35  0.18        1.04           88.66 
25  35  1.62        1.45           85.05 
30  35  2.52        1.79           81.39 
35  35  2.89        1.95           76.78 
40  35  2.83        1.92           72.07 
45  35  2.35        1.72           64.64 
50  35  0.98        1.25           66.71 
55  35  -0.77        0.84           49.10 
60  35  -2.20        0.60           44.85 
65  35  -3.59        0.44           46.12 
70  35  -4.13        0.39           56.02 
75  35  -3.17        0.48           70.03 
80  35  -1.44        0.72           80.14 
85  35  -0.09        0.98           85.11 
90  35  0.40        1.10           86.56 
95  35  -0.09        0.98           85.20 
100  35  -1.45        0.72           80.32 
105  35  -3.19        0.48           70.32 
110  35  -4.16        0.38           56.38 
115  35  -3.64        0.43           46.47 
120  35  -2.24        0.60           45.18 
125  35  -0.80        0.83           49.43 
130  35  0.97        1.25           67.04 
135  35  2.33        1.71           64.95 
140  35  2.81        1.91           72.40 
145  35  2.88        1.94           77.14 
150  35  2.51        1.78           81.80 
155  35  1.61        1.45           85.54 
160  35  0.17        1.04           89.26 
165  35  -2.04        0.63           91.29 
170  35  -5.37        0.29           93.42 
175  35  -11.26        0.07           95.58 
180  35  -44.83        0.00           176.60 
0  40  -44.83        0.00           3.40 
5  40  -11.27        0.07           93.18 
10  40  -5.37        0.29           92.22 
15  40  -2.04        0.63           90.48 
20  40  0.18        1.04           88.66 
25  40  1.62        1.45           85.05 
30  40  2.52        1.79           81.39 
35  40  2.89        1.95           76.78 
40  40  2.83        1.92           72.07 
45  40  2.35        1.72           64.64 
50  40  0.98        1.25           66.71 
55  40  -0.77        0.84           49.10 
60  40  -2.20        0.60           44.85 
65  40  -3.59        0.44           46.12 
70  40  -4.13        0.39           56.02 
75  40  -3.17        0.48           70.03 
80  40  -1.44        0.72           80.14 
85  40  -0.09        0.98           85.11 
90  40  0.40        1.10           86.56 
95  40  -0.09        0.98           85.20 
100  40  -1.45        0.72           80.32 
105  40  -3.19        0.48           70.32 
110  40  -4.16        0.38           56.38 
115  40  -3.64        0.43           46.47 
120  40  -2.24        0.60           45.18 
125  40  -0.80        0.83           49.43 
130  40  0.97        1.25           67.04 
135  40  2.33        1.71           64.95 
140  40  2.81        1.91           72.40 
145  40  2.88        1.94           77.14 
150  40  2.51        1.78           81.80 
155  40  1.61        1.45           85.54 
160  40  0.17        1.04           89.26 
165  40  -2.04        0.63           91.29 
170  40  -5.37        0.29           93.42 
175  40  -11.26        0.07           95.58 
180  40  -44.83        0.00           176.60 
0  45  -44.83        0.00           3.40 
5  45  -11.27        0.07           93.18 
10  45  -5.37        0.29           92.22 
15  45  -2.04        0.63           90.48 
20  45  0.18        1.04           88.66 
25  45  1.62        1.45           85.05 
30  45  2.52        1.79           81.39 
35  45  2.89        1.95           76.78 
40  45  2.83        1.92           72.07 
45  45  2.35        1.72           64.64 
50  45  0.98        1.25           66.71 
55  45  -0.77        0.84           49.10 
60  45  -2.20        0.60           44.85 
65  45  -3.59        0.44           46.12 
70  45  -4.13        0.39           56.02 
75  45  -3.17        0.48           70.03 
80  45  -1.44        0.72           80.14 
85  45  -0.09        0.98           85.11 
90  45  0.40        1.10           86.56 
95  45  -0.09        0.98           85.20 
100  45  -1.45        0.72           80.32 
105  45  -3.19        0.48           70.32 
110  45  -4.16        0.38           56.38 
115  45  -3.64        0.43           46.47 
120  45  -2.24        0.60           45.18 
125  45  -0.80        0.83           49.43 
130  45  0.97        1.25           67.04 
135  45  2.33        1.71           64.95 
140  45  2.81        1.91           72.40 
145  45  2.88        1.94           77.14 
150  45  2.51        1.78           81.80 
155  45  1.61        1.45           85.54 
160  45  0.17        1.04           89.26 
165  45  -2.04        0.63           91.29 
170  45  -5.37        0.29           93.42 
175  45  -11.26        0.07           95.58 
180  45  -44.83        0.00           176.60 
0  50  -44.83        0.00           3.40 
5  50  -11.27        0.07           93.18 
10  50  -5.37        0.29           92.22 
15  50  -2.04        0.63           90.48 
20  50  0.18        1.04           88.66 
25  50  1.62        1.45           85.05 
30  50  2.52        1.79           81.39 
35  50  2.89        1.95           76.78 
40  50  2.83        1.92           72.07 
45  50  2.35        1.72           64.64 
50  50  0.98        1.25           66.71 
55  50  -0.77        0.84           49.10 
60  50  -2.20        0.60           44.85 
65  50  -3.59        0.44           46.12 
70  50  -4.13        0.39           56.02 
75  50  -3.17        0.48           70.03 
80  50  -1.44        0.72           80.14 
85  50  -0.09        0.98           85.11 
90  50  0.40        1.10           86.56 
95  50  -0.09        0.98           85.20 
100  50  -1.45        0.72           80.32 
105  50  -3.19        0.48           70.32 
110  50  -4.16        0.38           56.38 
115  50  -3.64        0.43           46.47 
120  50  -2.24        0.60           45.18 
125  50  -0.80        0.83           49.43 
130  50  0.97        1.25           67.04 
135  50  2.33        1.71           64.95 
140  50  2.81        1.91           72.40 
145  50  2.88        1.94           77.14 
150  50  2.51        1.78           81.80 
155  50  1.61        1.45           85.54 
160  50  0.17        1.04           89.26 
165  50  -2.04        0.63           91.29 
170  50  -5.37        0.29           93.42 
175  50  -11.26        0.07           95.58 
180  50  -44.83        0.00           176.60 
0  55  -44.83        0.00           3.40 
5  55  -11.27        0.07           93.18 
10  55  -5.37        0.29           92.22 
15  55  -2.04        0.63           90.48 
20  55  0.18        1.04           88.66 
25  55  1.62        1.45           85.05 
30  55  2.52        1.79           81.39 
35  55  2.89        1.95           76.78 
40  55  2.83        1.92           72.07 
45  55  2.35        1.72           64.64 
50  55  0.98        1.25           66.71 
55  55  -0.77        0.84           49.10 
60  55  -2.20        0.60           44.85 
65  55  -3.59        0.44           46.12 
70  55  -4.13        0.39           56.02 
75  55  -3.17        0.48           70.03 
80  55  -1.44        0.72           80.14 
85  55  -0.09        0.98           85.11 
90  55  0.40        1.10           86.56 
95  55  -0.09        0.98           85.20 
100  55  -1.45        0.72           80.32 
105  55  -3.19        0.48           70.32 
110  55  -4.16        0.38           56.38 
115  55  -3.64        0.43           46.47 
120  55  -2.24        0.60           45.18 
125  55  -0.80        0.83           49.43 
130  55  0.97        1.25           67.04 
135  55  2.33        1.71           64.95 
140  55  2.81        1.91           72.40 
145  55  2.88        1.94           77.14 
150  55  2.51        1.78           81.80 
155  55  1.61        1.45           85.54 
160  55  0.17        1.04           89.26 
165  55  -2.04        0.63           91.29 
170  55  -5.37        0.29           93.42 
175  55  -11.26        0.07           95.58 
180  55  -44.83        0.00           176.60 
0  60  -44.83        0.00           3.40 
5  60  -11.27        0.07           93.18 
10  60  -5.37        0.29           92.22 
15  60  -2.04        0.63           90.48 
20  60  0.18        1.04           88.66 
25  60  1.62        1.45           85.05 
30  60  2.52        1.79           81.39 
35  60  2.89        1.95           76.78 
40  60  2.83        1.92           72.07 
45  60  2.35        1.72           64.64 
50  60  0.98        1.25           66.71 
55  60  -0.77        0.84           49.10 
60  60  -2.20        0.60           44.85 
65  60  -3.59        0.44           46.12 
70  60  -4.13        0.39           56.02 
75  60  -3.17        0.48           70.03 
80  60  -1.44        0.72           80.14 
85  60  -0.09        0.98           85.11 
90  60  0.40        1.10           86.56 
95  60  -0.09        0.98           85.20 
100  60  -1.45        0.72           80.32 
105  60  -3.19        0.48           70.32 
110  60  -4.16        0.38           56.38 
115  60  -3.64        0.43           46.47 
120  60  -2.24        0.60           45.18 
125  60  -0.80        0.83           49.43 
130  60  0.97        1.25           67.04 
135  60  2.33        1.71           64.95 
140  60  2.81        1.91           72.40 
145  60  2.88        1.94           77.14 
150  60  2.51        1.78           81.80 
155  60  1.61        1.45           85.54 
160  60  0.17        1.04           89.26 
165  60  -2.04        0.63           91.29 
170  60  -5.37        0.29           93.42 
175  60  -11.26        0.07           95.58 
180  60  -44.83        0.00           176.60 
0  65  -44.83        0.00           3.40 
5  65  -11.27        0.07           93.18 
10  65  -5.37        0.29           92.22 
15  65  -2.04        0.63           90.48 
20  65  0.18        1.04           88.66 
25  65  1.62        1.45           85.05 
30  65  2.52        1.79           81.39 
35  65  2.89        1.95           76.78 
40  65  2.83        1.92           72.07 
45  65  2.35        1.72           64.64 
50  65  0.98        1.25           66.71 
55  65  -0.77        0.84           49.10 
60  65  -2.20        0.60           44.85 
65  65  -3.59        0.44           46.12 
70  65  -4.13        0.39           56.02 
75  65  -3.17        0.48           70.03 
80  65  -1.44        0.72           80.14 
85  65  -0.09        0.98           85.11 
90  65  0.40        1.10           86.56 
95  65  -0.09        0.98           85.20 
100  65  -1.45        0.72           80.32 
105  65  -3.19        0.48           70.32 
110  65  -4.16        0.38           56.38 
115  65  -3.64        0.43           46.47 
120  65  -2.24        0.60           45.18 
125  65  -0.80        0.83           49.43 
130  65  0.97        1.25           67.04 
135  65  2.33        1.71           64.95 
140  65  2.81        1.91           72.40 
145  65  2.88        1.94           77.14 
150  65  2.51        1.78           81.80 
155  65  1.61        1.45           85.54 
160  65  0.17        1.04           89.26 
165  65  -2.04        0.63           91.29 
170  65  -5.37        0.29           93.42 
175  65  -11.26        0.07           95.58 
180  65  -44.83        0.00           176.60 
0  70  -44.83        0.00           3.40 
5  70  -11.27        0.07           93.18 
10  70  -5.37        0.29           92.22 
15  70  -2.04        0.63           90.48 
20  70  0.18        1.04           88.66 
25  70  1.62        1.45           85.05 
30  70  2.52        1.79           81.39 
35  70  2.89        1.95           76.78 
40  70  2.83        1.92           72.07 
45  70  2.35        1.72           64.64 
50  70  0.98        1.25           66.71 
55  70  -0.77        0.84           49.10 
60  70  -2.20        0.60           44.85 
65  70  -3.59        0.44           46.12 
70  70  -4.13        0.39           56.02 
75  70  -3.17        0.48           70.03 
80  70  -1.44        0.72           80.14 
85  70  -0.09        0.98           85.11 
90  70  0.40        1.10           86.56 
95  70  -0.09        0.98           85.20 
100  70  -1.45        0.72           80.32 
105  70  -3.19        0.48           70.32 
110  70  -4.16        0.38           56.38 
115  70  -3.64        0.43           46.47 
120  70  -2.24        0.60           45.18 
125  70  -0.80        0.83           49.43 
130  70  0.97        1.25           67.04 
135  70  2.33        1.71           64.95 
140  70  2.81        1.91           72.40 
145  70  2.88        1.94           77.14 
150  70  2.51        1.78           81.80 
155  70  1.61        1.45           85.54 
160  70  0.17        1.04           89.26 
165  70  -2.04        0.63           91.29 
170  70  -5.37        0.29           93.42 
175  70  -11.26        0.07           95.58 
180  70  -44.83        0.00           176.60 
0  75  -44.83        0.00           3.40 
5  75  -11.27        0.07           93.18 
10  75  -5.37        0.29           92.22 
15  75  -2.04        0.63           90.48 
20  75  0.18        1.04           88.66 
25  75  1.62        1.45           85.05 
30  75  2.52        1.79           81.39 
35  75  2.89        1.95           76.78 
40  75  2.83        1.92           72.07 
45  75  2.35        1.72           64.64 
50  75  0.98        1.25           66.71 
55  75  -0.77        0.84           49.10 
60  75  -2.20        0.60           44.85 
65  75  -3.59        0.44           46.12 
70  75  -4.13        0.39           56.02 
75  75  -3.17        0.48           70.03 
80  75  -1.44        0.72           80.14 
85  75  -0.09        0.98           85.11 
90  75  0.40        1.10           86.56 
95  75  -0.09        0.98           85.20 
100  75  -1.45        0.72           80.32 
105  75  -3.19        0.48           70.32 
110  75  -4.16        0.38           56.38 
115  75  -3.64        0.43           46.47 
120  75  -2.24        0.60           45.18 
125  75  -0.80        0.83           49.43 
130  75  0.97        1.25           67.04 
135  75  2.33        1.71           64.95 
140  75  2.81        1.91           72.40 
145  75  2.88        1.94           77.14 
150  75  2.51        1.78           81.80 
155  75  1.61        1.45           85.54 
160  75  0.17        1.04           89.26 
165  75  -2.04        0.63           91.29 
170  75  -5.37        0.29           93.42 
175  75  -11.26        0.07           95.58 
180  75  -44.83        0.00           176.60 
0  80  -44.83        0.00           3.40 
5  80  -11.27        0.07           93.18 
10  80  -5.37        0.29           92.22 
15  80  -2.04        0.63           90.48 
20  80  0.18        1.04           88.66 
25  80  1.62        1.45           85.05 
30  80  2.52        1.79           81.39 
35  80  2.89        1.95           76.78 
40  80  2.83        1.92           72.07 
45  80  2.35        1.72           64.64 
50  80  0.98        1.25           66.71 
55  80  -0.77        0.84           49.10 
60  80  -2.20        0.60           44.85 
65  80  -3.59        0.44           46.12 
70  80  -4.13        0.39           56.02 
75  80  -3.17        0.48           70.03 
80  80  -1.44        0.72           80.14 
85  80  -0.09        0.98           85.11 
90  80  0.40        1.10           86.56 
95  80  -0.09        0.98           85.20 
100  80  -1.45        0.72           80.32 
105  80  -3.19        0.48           70.32 
110  80  -4.16        0.38           56.38 
115  80  -3.64        0.43           46.47 
120  80  -2.24        0.60           45.18 
125  80  -0.80        0.83           49.43 
130  80  0.97        1.25           67.04 
135  80  2.33        1.71           64.95 
140  80  2.81        1.91           72.40 
145  80  2.88        1.94           77.14 
150  80  2.51        1.78           81.80 
155  80  1.61        1.45           85.54 
160  80  0.17        1.04           89.26 
165  80  -2.04        0.63           91.29 
170  80  -5.37        0.29           93.42 
175  80  -11.26        0.07           95.58 
180  80  -44.83        0.00           176.60 
0  85  -44.83        0.00           3.40 
5  85  -11.27        0.07           93.18 
10  85  -5.37        0.29           92.22 
15  85  -2.04        0.63           90.48 
20  85  0.18        1.04           88.66 
25  85  1.62        1.45           85.05 
30  85  2.52        1.79           81.39 
35  85  2.89        1.95           76.78 
40  85  2.83        1.92           72.07 
45  85  2.35        1.72           64.64 
50  85  0.98        1.25           66.71 
55  85  -0.77        0.84           49.10 
60  85  -2.20        0.60           44.85 
65  85  -3.59        0.44           46.12 
70  85  -4.13        0.39           56.02 
75  85  -3.17        0.48           70.03 
80  85  -1.44        0.72           80.14 
85  85  -0.09        0.98           85.11 
90  85  0.40        1.10           86.56 
95  85  -0.09        0.98           85.20 
100  85  -1.45        0.72           80.32 
105  85  -3.19        0.48           70.32 
110  85  -4.16        0.38           56.38 
115  85  -3.64        0.43           46.47 
120  85  -2.24        0.60           45.18 
125  85  -0.80        0.83           49.43 
130  85  0.97        1.25           67.04 
135  85  2.33        1.71           64.95 
140  85  2.81        1.91           72.40 
145  85  2.88        1.94           77.14 
150  85  2.51        1.78           81.80 
155  85  1.61        1.45           85.54 
160  85  0.17        1.04           89.26 
165  85  -2.04        0.63           91.29 
170  85  -5.37        0.29           93.42 
175  85  -11.26        0.07           95.58 
180  85  -44.83        0.00           176.60 
0  90  -44.83        0.00           3.40 
5  90  -11.27        0.07           93.18 
10  90  -5.37        0.29           92.22 
15  90  -2.04        0.63           90.48 
20  90  0.18        1.04           88.66 
25  90  1.62        1.45           85.05 
30  90  2.52        1.79           81.39 
35  90  2.89        1.95           76.78 
40  90  2.83        1.92           72.07 
45  90  2.35        1.72           64.64 
50  90  0.98        1.25           66.71 
55  90  -0.77        0.84           49.10 
60  90  -2.20        0.60           44.85 
65  90  -3.59        0.44           46.12 
70  90  -4.13        0.39           56.02 
75  90  -3.17        0.48           70.03 
80  90  -1.44        0.72           80.14 
85  90  -0.09        0.98           85.11 
90  90  0.40        1.10           86.56 
95  90  -0.09        0.98           85.20 
100  90  -1.45        0.72           80.32 
105  90  -3.19        0.48           70.32 
110  90  -4.16        0.38           56.38 
115  90  -3.64        0.43           46.47 
120  90  -2.24        0.60           45.18 
125  90  -0.80        0.83           49.43 
130  90  0.97        1.25           67.04 
135  90  2.33        1.71           64.95 
140  90  2.81        1.91           72.40 
145  90  2.88        1.94           77.14 
150  90  2.51        1.78           81.80 
155  90  1.61        1.45           85.54 
160  90  0.17        1.04           89.26 
165  90  -2.04        0.63           91.29 
170  90  -5.37        0.29           93.42 
175  90  -11.26        0.07           95.58 
180  90  -44.83        0.00           176.60 
0  95  -44.83        0.00           3.40 
5  95  -11.27        0.07           93.18 
10  95  -5.37        0.29           92.22 
15  95  -2.04        0.63           90.48 
20  95  0.18        1.04           88.66 
25  95  1.62        1.45           85.05 
30  95  2.52        1.79           81.39 
35  95  2.89        1.95           76.78 
40  95  2.83        1.92           72.07 
45  95  2.35        1.72           64.64 
50  95  0.98        1.25           66.71 
55  95  -0.77        0.84           49.10 
60  95  -2.20        0.60           44.85 
65  95  -3.59        0.44           46.12 
70  95  -4.13        0.39           56.02 
75  95  -3.17        0.48           70.03 
80  95  -1.44        0.72           80.14 
85  95  -0.09        0.98           85.11 
90  95  0.40        1.10           86.56 
95  95  -0.09        0.98           85.20 
100  95  -1.45        0.72           80.32 
105  95  -3.19        0.48           70.32 
110  95  -4.16        0.38           56.38 
115  95  -3.64        0.43           46.47 
120  95  -2.24        0.60           45.18 
125  95  -0.80        0.83           49.43 
130  95  0.97        1.25           67.04 
135  95  2.33        1.71           64.95 
140  95  2.81        1.91           72.40 
145  95  2.88        1.94           77.14 
150  95  2.51        1.78           81.80 
155  95  1.61        1.45           85.54 
160  95  0.17        1.04           89.26 
165  95  -2.04        0.63           91.29 
170  95  -5.37        0.29           93.42 
175  95  -11.26        0.07           95.58 
180  95  -44.83        0.00           176.60 
0  100  -44.83        0.00           3.40 
5  100  -11.27        0.07           93.18 
10  100  -5.37        0.29           92.22 
15  100  -2.04        0.63           90.48 
20  100  0.18        1.04           88.66 
25  100  1.62        1.45           85.05 
30  100  2.52        1.79           81.39 
35  100  2.89        1.95           76.78 
40  100  2.83        1.92           72.07 
45  100  2.35        1.72           64.64 
50  100  0.98        1.25           66.71 
55  100  -0.77        0.84           49.10 
60  100  -2.20        0.60           44.85 
65  100  -3.59        0.44           46.12 
70  100  -4.13        0.39           56.02 
75  100  -3.17        0.48           70.03 
80  100  -1.44        0.72           80.14 
85  100  -0.09        0.98           85.11 
90  100  0.40        1.10           86.56 
95  100  -0.09        0.98           85.20 
100  100  -1.45        0.72           80.32 
105  100  -3.19        0.48           70.32 
110  100  -4.16        0.38           56.38 
115  100  -3.64        0.43           46.47 
120  100  -2.24        0.60           45.18 
125  100  -0.80        0.83           49.43 
130  100  0.97        1.25           67.04 
135  100  2.33        1.71           64.95 
140  100  2.81        1.91           72.40 
145  100  2.88        1.94           77.14 
150  100  2.51        1.78           81.80 
155  100  1.61        1.45           85.54 
160  100  0.17        1.04           89.26 
165  100  -2.04        0.63           91.29 
170  100  -5.37        0.29           93.42 
175  100  -11.26        0.07           95.58 
180  100  -44.83        0.00           176.60 
0  105  -44.83        0.00           3.40 
5  105  -11.27        0.07           93.18 
10  105  -5.37        0.29           92.22 
15  105  -2.04        0.63           90.48 
20  105  0.18        1.04           88.66 
25  105  1.62        1.45           85.05 
30  105  2.52        1.79           81.39 
35  105  2.89        1.95           76.78 
40  105  2.83        1.92           72.07 
45  105  2.35        1.72           64.64 
50  105  0.98        1.25           66.71 
55  105  -0.77        0.84           49.10 
