Frequency (MHz),VSWR
129.59677419354838,3.1891891891891895
132.98387096774192,3.0067567567567566
134.67741935483872,2.85472972972973
144.83870967741933,2.444256756756757
146.53225806451613,2.3986486486486487
148.22580645161293,2.322635135135135
149.91935483870967,2.2618243243243246
151.61290322580646,2.1858108108108105
153.30645161290323,2.1173986486486487
155.0,2.0489864864864864
156.69354838709677,2.0185810810810807
158.38709677419354,1.9425675675675675
160.0806451612903,1.912162162162162
161.77419354838707,1.820945945945946
163.46774193548387,1.775337837837838
165.16129032258067,1.714527027027027
166.85483870967744,1.6537162162162162
168.5483870967742,1.5929054054054055
170.24193548387098,1.5016891891891893
171.93548387096774,1.4560810810810811
173.6290322580645,1.410472972972973
175.32258064516128,1.4256756756756757
177.01612903225805,1.3141891891891893
178.7096774193548,1.3040540540540542
180.40322580645162,1.2736486486486487
182.09677419354838,1.258445945945946
183.79032258064515,1.258445945945946
187.17741935483872,1.304054054054054
188.8709677419355,1.3344594594594594
190.56451612903226,1.364864864864865
192.25806451612905,1.3952702702702702
193.9516129032258,1.4104729729729728
202.4193548387097,1.5625
204.11290322580643,1.6081081081081081
205.8064516129032,1.6182432432432432
207.5,1.6689189189189189
209.19354838709677,1.6993243243243243
210.88709677419354,1.6993243243243243
212.58064516129033,1.7297297297297298
214.2741935483871,1.760135135135135
215.96774193548384,1.7297297297297298
217.66129032258064,1.760135135135135
231.20967741935485,1.760135135135135
232.90322580645162,1.760135135135135
236.29032258064518,1.7905405405405406
237.98387096774195,1.7905405405405406
239.6774193548387,1.8361486486486487
241.3709677419355,1.8513513513513513
243.06451612903226,1.8817567567567568
244.75806451612902,1.9121621621621623
251.53225806451613,2.1554054054054053
253.2258064516129,2.1858108108108105
254.91935483870967,2.2314189189189193
256.61290322580646,2.277027027027027
258.30645161290323,2.3074324324324325
260.0,2.337837837837838
261.69354838709677,2.3783783783783785
263.38709677419354,2.444256756756757
265.0806451612903,2.47972972972973
266.7741935483871,2.5405405405405403
268.4677419354839,2.581081081081081
270.1612903225806,2.6418918918918917
271.85483870967744,2.672297297297297
273.54838709677415,2.702702702702703
275.241935483871,2.7331081081081083
276.93548387096774,2.733108108108108
278.6290322580645,2.7939189189189193
280.32258064516134,2.8243243243243246
282.01612903225805,2.85472972972973
283.7096774193549,2.8699324324324325
285.4032258064516,2.885135135135135
287.0967741935484,2.885135135135135
288.7903225806451,2.9003378378378377
290.48387096774195,2.930743243243243
292.1774193548387,2.930743243243243
293.8709677419355,2.930743243243243
295.56451612903226,2.930743243243243
297.258064516129,2.945945945945946
298.9516129032258,2.930743243243243
300.64516129032256,2.945945945945946
302.3387096774194,2.9611486486486487
304.0322580645161,2.945945945945946
305.7258064516129,2.9763513513513513
307.41935483870964,2.991554054054054
309.11290322580646,2.991554054054054
310.80645161290323,2.9763513513513513
312.5,2.991554054054054
314.19354838709677,3.0219594594594597
315.88709677419354,3.0219594594594597
317.5806451612903,3.0371621621621623
319.27419354838713,3.0219594594594597
320.96774193548384,3.0219594594594597
322.66129032258067,3.0219594594594597
