freq : 750.00 MHz
SWR : 5.76
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -46.49        0.00           2.73 
5  0  -13.49        0.04           143.67 
10  0  -7.57        0.17           142.30 
15  0  -4.34        0.37           139.43 
20  0  -2.28        0.59           135.28 
25  0  -0.90        0.81           129.85 
30  0  0.05        1.01           123.13 
35  0  0.70        1.17           115.23 
40  0  1.17        1.31           106.57 
45  0  1.53        1.42           97.84 
50  0  1.75        1.50           90.04 
55  0  1.74        1.49           84.19 
60  0  1.36        1.37           81.22 
65  0  0.53        1.13           82.17 
70  0  -0.70        0.85           88.38 
75  0  -1.97        0.64           100.80 
80  0  -2.61        0.55           116.78 
85  0  -2.54        0.56           129.32 
90  0  -2.40        0.58           133.80 
95  0  -2.54        0.56           129.39 
100  0  -2.61        0.55           116.91 
105  0  -1.97        0.64           100.97 
110  0  -0.71        0.85           88.57 
115  0  0.52        1.13           82.38 
120  0  1.35        1.36           81.47 
125  0  1.73        1.49           84.47 
130  0  1.75        1.50           90.36 
135  0  1.54        1.43           98.19 
140  0  1.20        1.32           106.94 
145  0  0.73        1.18           115.62 
150  0  0.09        1.02           123.54 
155  0  -0.84        0.82           130.28 
160  0  -2.20        0.60           135.75 
165  0  -4.24        0.38           140.01 
170  0  -7.42        0.18           143.10 
175  0  -13.19        0.05           145.23 
180  0  -46.49        0.00           177.27 
0  5  -46.49        0.00           2.73 
5  5  -13.49        0.04           143.67 
10  5  -7.57        0.17           142.30 
15  5  -4.34        0.37           139.43 
20  5  -2.28        0.59           135.28 
25  5  -0.90        0.81           129.85 
30  5  0.05        1.01           123.13 
35  5  0.70        1.17           115.23 
40  5  1.17        1.31           106.57 
45  5  1.53        1.42           97.84 
50  5  1.75        1.50           90.04 
55  5  1.74        1.49           84.19 
60  5  1.36        1.37           81.22 
65  5  0.53        1.13           82.17 
70  5  -0.70        0.85           88.38 
75  5  -1.97        0.64           100.80 
80  5  -2.61        0.55           116.78 
85  5  -2.54        0.56           129.32 
90  5  -2.40        0.58           133.80 
95  5  -2.54        0.56           129.39 
100  5  -2.61        0.55           116.91 
105  5  -1.97        0.64           100.97 
110  5  -0.71        0.85           88.57 
115  5  0.52        1.13           82.38 
120  5  1.35        1.36           81.47 
125  5  1.73        1.49           84.47 
130  5  1.75        1.50           90.36 
135  5  1.54        1.43           98.19 
140  5  1.20        1.32           106.94 
145  5  0.73        1.18           115.62 
150  5  0.09        1.02           123.54 
155  5  -0.84        0.82           130.28 
160  5  -2.20        0.60           135.75 
165  5  -4.24        0.38           140.01 
170  5  -7.42        0.18           143.10 
175  5  -13.19        0.05           145.23 
180  5  -46.49        0.00           177.27 
0  10  -46.49        0.00           2.73 
5  10  -13.49        0.04           143.67 
10  10  -7.57        0.17           142.30 
15  10  -4.34        0.37           139.43 
20  10  -2.28        0.59           135.28 
25  10  -0.90        0.81           129.85 
30  10  0.05        1.01           123.13 
35  10  0.70        1.17           115.23 
40  10  1.17        1.31           106.57 
45  10  1.53        1.42           97.84 
50  10  1.75        1.50           90.04 
55  10  1.74        1.49           84.19 
60  10  1.36        1.37           81.22 
65  10  0.53        1.13           82.17 
70  10  -0.70        0.85           88.38 
75  10  -1.97        0.64           100.80 
80  10  -2.61        0.55           116.78 
85  10  -2.54        0.56           129.32 
90  10  -2.40        0.58           133.80 
95  10  -2.54        0.56           129.39 
100  10  -2.61        0.55           116.91 
105  10  -1.97        0.64           100.97 
110  10  -0.71        0.85           88.57 
115  10  0.52        1.13           82.38 
120  10  1.35        1.36           81.47 
125  10  1.73        1.49           84.47 
130  10  1.75        1.50           90.36 
135  10  1.54        1.43           98.19 
140  10  1.20        1.32           106.94 
145  10  0.73        1.18           115.62 
150  10  0.09        1.02           123.54 
155  10  -0.84        0.82           130.28 
160  10  -2.20        0.60           135.75 
165  10  -4.24        0.38           140.01 
170  10  -7.42        0.18           143.10 
175  10  -13.19        0.05           145.23 
180  10  -46.49        0.00           177.27 
0  15  -46.49        0.00           2.73 
5  15  -13.49        0.04           143.67 
10  15  -7.57        0.17           142.30 
15  15  -4.34        0.37           139.43 
20  15  -2.28        0.59           135.28 
25  15  -0.90        0.81           129.85 
30  15  0.05        1.01           123.13 
35  15  0.70        1.17           115.23 
40  15  1.17        1.31           106.57 
45  15  1.53        1.42           97.84 
50  15  1.75        1.50           90.04 
55  15  1.74        1.49           84.19 
60  15  1.36        1.37           81.22 
65  15  0.53        1.13           82.17 
70  15  -0.70        0.85           88.38 
75  15  -1.97        0.64           100.80 
80  15  -2.61        0.55           116.78 
85  15  -2.54        0.56           129.32 
90  15  -2.40        0.58           133.80 
95  15  -2.54        0.56           129.39 
100  15  -2.61        0.55           116.91 
105  15  -1.97        0.64           100.97 
110  15  -0.71        0.85           88.57 
115  15  0.52        1.13           82.38 
120  15  1.35        1.36           81.47 
125  15  1.73        1.49           84.47 
130  15  1.75        1.50           90.36 
135  15  1.54        1.43           98.19 
140  15  1.20        1.32           106.94 
145  15  0.73        1.18           115.62 
150  15  0.09        1.02           123.54 
155  15  -0.84        0.82           130.28 
160  15  -2.20        0.60           135.75 
165  15  -4.24        0.38           140.01 
170  15  -7.42        0.18           143.10 
175  15  -13.19        0.05           145.23 
180  15  -46.49        0.00           177.27 
0  20  -46.49        0.00           2.73 
5  20  -13.49        0.04           143.67 
10  20  -7.57        0.17           142.30 
15  20  -4.34        0.37           139.43 
20  20  -2.28        0.59           135.28 
25  20  -0.90        0.81           129.85 
30  20  0.05        1.01           123.13 
35  20  0.70        1.17           115.23 
40  20  1.17        1.31           106.57 
45  20  1.53        1.42           97.84 
50  20  1.75        1.50           90.04 
55  20  1.74        1.49           84.19 
60  20  1.36        1.37           81.22 
65  20  0.53        1.13           82.17 
70  20  -0.70        0.85           88.38 
75  20  -1.97        0.64           100.80 
80  20  -2.61        0.55           116.78 
85  20  -2.54        0.56           129.32 
90  20  -2.40        0.58           133.80 
95  20  -2.54        0.56           129.39 
100  20  -2.61        0.55           116.91 
105  20  -1.97        0.64           100.97 
110  20  -0.71        0.85           88.57 
115  20  0.52        1.13           82.38 
120  20  1.35        1.36           81.47 
125  20  1.73        1.49           84.47 
130  20  1.75        1.50           90.36 
135  20  1.54        1.43           98.19 
140  20  1.20        1.32           106.94 
145  20  0.73        1.18           115.62 
150  20  0.09        1.02           123.54 
155  20  -0.84        0.82           130.28 
160  20  -2.20        0.60           135.75 
165  20  -4.24        0.38           140.01 
170  20  -7.42        0.18           143.10 
175  20  -13.19        0.05           145.23 
180  20  -46.49        0.00           177.27 
0  25  -46.49        0.00           2.73 
5  25  -13.49        0.04           143.67 
10  25  -7.57        0.17           142.30 
15  25  -4.34        0.37           139.43 
20  25  -2.28        0.59           135.28 
25  25  -0.90        0.81           129.85 
30  25  0.05        1.01           123.13 
35  25  0.70        1.17           115.23 
40  25  1.17        1.31           106.57 
45  25  1.53        1.42           97.84 
50  25  1.75        1.50           90.04 
55  25  1.74        1.49           84.19 
60  25  1.36        1.37           81.22 
65  25  0.53        1.13           82.17 
70  25  -0.70        0.85           88.38 
75  25  -1.97        0.64           100.80 
80  25  -2.61        0.55           116.78 
85  25  -2.54        0.56           129.32 
90  25  -2.40        0.58           133.80 
95  25  -2.54        0.56           129.39 
100  25  -2.61        0.55           116.91 
105  25  -1.97        0.64           100.97 
110  25  -0.71        0.85           88.57 
115  25  0.52        1.13           82.38 
120  25  1.35        1.36           81.47 
125  25  1.73        1.49           84.47 
130  25  1.75        1.50           90.36 
135  25  1.54        1.43           98.19 
140  25  1.20        1.32           106.94 
145  25  0.73        1.18           115.62 
150  25  0.09        1.02           123.54 
155  25  -0.84        0.82           130.28 
160  25  -2.20        0.60           135.75 
165  25  -4.24        0.38           140.01 
170  25  -7.42        0.18           143.10 
175  25  -13.19        0.05           145.23 
180  25  -46.49        0.00           177.27 
0  30  -46.49        0.00           2.73 
5  30  -13.49        0.04           143.67 
10  30  -7.57        0.17           142.30 
15  30  -4.34        0.37           139.43 
20  30  -2.28        0.59           135.28 
25  30  -0.90        0.81           129.85 
30  30  0.05        1.01           123.13 
35  30  0.70        1.17           115.23 
40  30  1.17        1.31           106.57 
45  30  1.53        1.42           97.84 
50  30  1.75        1.50           90.04 
55  30  1.74        1.49           84.19 
60  30  1.36        1.37           81.22 
65  30  0.53        1.13           82.17 
70  30  -0.70        0.85           88.38 
75  30  -1.97        0.64           100.80 
80  30  -2.61        0.55           116.78 
85  30  -2.54        0.56           129.32 
90  30  -2.40        0.58           133.80 
95  30  -2.54        0.56           129.39 
100  30  -2.61        0.55           116.91 
105  30  -1.97        0.64           100.97 
110  30  -0.71        0.85           88.57 
115  30  0.52        1.13           82.38 
120  30  1.35        1.36           81.47 
125  30  1.73        1.49           84.47 
130  30  1.75        1.50           90.36 
135  30  1.54        1.43           98.19 
140  30  1.20        1.32           106.94 
145  30  0.73        1.18           115.62 
150  30  0.09        1.02           123.54 
155  30  -0.84        0.82           130.28 
160  30  -2.20        0.60           135.75 
165  30  -4.24        0.38           140.01 
170  30  -7.42        0.18           143.10 
175  30  -13.19        0.05           145.23 
180  30  -46.49        0.00           177.27 
0  35  -46.49        0.00           2.73 
5  35  -13.49        0.04           143.67 
10  35  -7.57        0.17           142.30 
15  35  -4.34        0.37           139.43 
20  35  -2.28        0.59           135.28 
25  35  -0.90        0.81           129.85 
30  35  0.05        1.01           123.13 
35  35  0.70        1.17           115.23 
40  35  1.17        1.31           106.57 
45  35  1.53        1.42           97.84 
50  35  1.75        1.50           90.04 
55  35  1.74        1.49           84.19 
60  35  1.36        1.37           81.22 
