freq : 500.00 MHz
SWR : 3.52
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -58.77        0.00           2.99 
5  0  -14.20        0.04           -97.99 
10  0  -8.25        0.15           -98.74 
15  0  -4.85        0.33           -99.75 
20  0  -2.56        0.55           101.09 
25  0  -0.91        0.81           102.74 
30  0  0.27        1.06           104.72 
35  0  1.07        1.28           107.13 
40  0  1.53        1.42           110.08 
45  0  1.67        1.47           113.71 
50  0  1.50        1.41           118.32 
55  0  1.03        1.27           124.32 
60  0  0.33        1.08           132.17 
65  0  -0.46        0.90           142.34 
70  0  -1.14        0.77           154.55 
75  0  -1.48        0.71           167.32 
80  0  -1.47        0.71           178.11 
85  0  -1.32        0.74           174.92 
90  0  -1.24        0.75           172.58 
95  0  -1.32        0.74           174.92 
100  0  -1.46        0.71           178.11 
105  0  -1.47        0.71           167.32 
110  0  -1.13        0.77           154.58 
115  0  -0.45        0.90           142.38 
120  0  0.34        1.08           132.23 
125  0  1.04        1.27           124.38 
130  0  1.51        1.42           118.40 
135  0  1.68        1.47           113.79 
140  0  1.54        1.43           110.17 
145  0  1.08        1.28           107.23 
150  0  0.27        1.06           104.83 
155  0  -0.91        0.81           102.87 
160  0  -2.55        0.56           101.25 
165  0  -4.85        0.33           -99.97 
170  0  -8.24        0.15           -99.07 
175  0  -14.18        0.04           -98.65 
180  0  -58.77        0.00           177.01 
0  5  -58.77        0.00           2.99 
5  5  -14.20        0.04           -97.99 
10  5  -8.25        0.15           -98.74 
15  5  -4.85        0.33           -99.75 
20  5  -2.56        0.55           101.09 
25  5  -0.91        0.81           102.74 
30  5  0.27        1.06           104.72 
35  5  1.07        1.28           107.13 
40  5  1.53        1.42           110.08 
45  5  1.67        1.47           113.71 
50  5  1.50        1.41           118.32 
55  5  1.03        1.27           124.32 
60  5  0.33        1.08           132.17 
65  5  -0.46        0.90           142.34 
70  5  -1.14        0.77           154.55 
75  5  -1.48        0.71           167.32 
80  5  -1.47        0.71           178.11 
85  5  -1.32        0.74           174.92 
90  5  -1.24        0.75           172.58 
95  5  -1.32        0.74           174.92 
100  5  -1.46        0.71           178.11 
105  5  -1.47        0.71           167.32 
110  5  -1.13        0.77           154.58 
115  5  -0.45        0.90           142.38 
120  5  0.34        1.08           132.23 
125  5  1.04        1.27           124.38 
130  5  1.51        1.42           118.40 
135  5  1.68        1.47           113.79 
140  5  1.54        1.43           110.17 
145  5  1.08        1.28           107.23 
150  5  0.27        1.06           104.83 
155  5  -0.91        0.81           102.87 
160  5  -2.55        0.56           101.25 
165  5  -4.85        0.33           -99.97 
170  5  -8.24        0.15           -99.07 
175  5  -14.18        0.04           -98.65 
180  5  -58.77        0.00           177.01 
0  10  -58.77        0.00           2.99 
5  10  -14.20        0.04           -97.99 
10  10  -8.25        0.15           -98.74 
15  10  -4.85        0.33           -99.75 
20  10  -2.56        0.55           101.09 
25  10  -0.91        0.81           102.74 
30  10  0.27        1.06           104.72 
35  10  1.07        1.28           107.13 
40  10  1.53        1.42           110.08 
45  10  1.67        1.47           113.71 
50  10  1.50        1.41           118.32 
55  10  1.03        1.27           124.32 
60  10  0.33        1.08           132.17 
65  10  -0.46        0.90           142.34 
70  10  -1.14        0.77           154.55 
75  10  -1.48        0.71           167.32 
80  10  -1.47        0.71           178.11 
85  10  -1.32        0.74           174.92 
90  10  -1.24        0.75           172.58 
95  10  -1.32        0.74           174.92 
100  10  -1.46        0.71           178.11 
105  10  -1.47        0.71           167.32 
110  10  -1.13        0.77           154.58 
115  10  -0.45        0.90           142.38 
120  10  0.34        1.08           132.23 
125  10  1.04        1.27           124.38 
130  10  1.51        1.42           118.40 
135  10  1.68        1.47           113.79 
140  10  1.54        1.43           110.17 
145  10  1.08        1.28           107.23 
150  10  0.27        1.06           104.83 
155  10  -0.91        0.81           102.87 
160  10  -2.55        0.56           101.25 
165  10  -4.85        0.33           -99.97 
170  10  -8.24        0.15           -99.07 
175  10  -14.18        0.04           -98.65 
180  10  -58.77        0.00           177.01 
0  15  -58.77        0.00           2.99 
5  15  -14.20        0.04           -97.99 
10  15  -8.25        0.15           -98.74 
15  15  -4.85        0.33           -99.75 
20  15  -2.56        0.55           101.09 
25  15  -0.91        0.81           102.74 
30  15  0.27        1.06           104.72 
35  15  1.07        1.28           107.13 
40  15  1.53        1.42           110.08 
45  15  1.67        1.47           113.71 
50  15  1.50        1.41           118.32 
55  15  1.03        1.27           124.32 
60  15  0.33        1.08           132.17 
65  15  -0.46        0.90           142.34 
70  15  -1.14        0.77           154.55 
75  15  -1.48        0.71           167.32 
80  15  -1.47        0.71           178.11 
85  15  -1.32        0.74           174.92 
90  15  -1.24        0.75           172.58 
95  15  -1.32        0.74           174.92 
100  15  -1.46        0.71           178.11 
105  15  -1.47        0.71           167.32 
110  15  -1.13        0.77           154.58 
115  15  -0.45        0.90           142.38 
120  15  0.34        1.08           132.23 
125  15  1.04        1.27           124.38 
130  15  1.51        1.42           118.40 
135  15  1.68        1.47           113.79 
140  15  1.54        1.43           110.17 
145  15  1.08        1.28           107.23 
150  15  0.27        1.06           104.83 
155  15  -0.91        0.81           102.87 
160  15  -2.55        0.56           101.25 
165  15  -4.85        0.33           -99.97 
170  15  -8.24        0.15           -99.07 
175  15  -14.18        0.04           -98.65 
180  15  -58.77        0.00           177.01 
0  20  -58.77        0.00           2.99 
5  20  -14.20        0.04           -97.99 
10  20  -8.25        0.15           -98.74 
15  20  -4.85        0.33           -99.75 
20  20  -2.56        0.55           101.09 
25  20  -0.91        0.81           102.74 
30  20  0.27        1.06           104.72 
35  20  1.07        1.28           107.13 
40  20  1.53        1.42           110.08 
45  20  1.67        1.47           113.71 
50  20  1.50        1.41           118.32 
55  20  1.03        1.27           124.32 
60  20  0.33        1.08           132.17 
65  20  -0.46        0.90           142.34 
70  20  -1.14        0.77           154.55 
75  20  -1.48        0.71           167.32 
80  20  -1.47        0.71           178.11 
85  20  -1.32        0.74           174.92 
90  20  -1.24        0.75           172.58 
95  20  -1.32        0.74           174.92 
100  20  -1.46        0.71           178.11 
105  20  -1.47        0.71           167.32 
110  20  -1.13        0.77           154.58 
115  20  -0.45        0.90           142.38 
120  20  0.34        1.08           132.23 
125  20  1.04        1.27           124.38 
130  20  1.51        1.42           118.40 
135  20  1.68        1.47           113.79 
140  20  1.54        1.43           110.17 
145  20  1.08        1.28           107.23 
150  20  0.27        1.06           104.83 
155  20  -0.91        0.81           102.87 
160  20  -2.55        0.56           101.25 
165  20  -4.85        0.33           -99.97 
170  20  -8.24        0.15           -99.07 
175  20  -14.18        0.04           -98.65 
180  20  -58.77        0.00           177.01 
0  25  -58.77        0.00           2.99 
5  25  -14.20        0.04           -97.99 
10  25  -8.25        0.15           -98.74 
15  25  -4.85        0.33           -99.75 
20  25  -2.56        0.55           101.09 
25  25  -0.91        0.81           102.74 
30  25  0.27        1.06           104.72 
35  25  1.07        1.28           107.13 
40  25  1.53        1.42           110.08 
45  25  1.67        1.47           113.71 
50  25  1.50        1.41           118.32 
55  25  1.03        1.27           124.32 
60  25  0.33        1.08           132.17 
65  25  -0.46        0.90           142.34 
70  25  -1.14        0.77           154.55 
75  25  -1.48        0.71           167.32 
80  25  -1.47        0.71           178.11 
85  25  -1.32        0.74           174.92 
90  25  -1.24        0.75           172.58 
95  25  -1.32        0.74           174.92 
100  25  -1.46        0.71           178.11 
105  25  -1.47        0.71           167.32 
110  25  -1.13        0.77           154.58 
115  25  -0.45        0.90           142.38 
120  25  0.34        1.08           132.23 
125  25  1.04        1.27           124.38 
130  25  1.51        1.42           118.40 
135  25  1.68        1.47           113.79 
140  25  1.54        1.43           110.17 
145  25  1.08        1.28           107.23 
150  25  0.27        1.06           104.83 
155  25  -0.91        0.81           102.87 
160  25  -2.55        0.56           101.25 
165  25  -4.85        0.33           -99.97 
170  25  -8.24        0.15           -99.07 
175  25  -14.18        0.04           -98.65 
180  25  -58.77        0.00           177.01 
0  30  -58.77        0.00           2.99 
5  30  -14.20        0.04           -97.99 
10  30  -8.25        0.15           -98.74 
15  30  -4.85        0.33           -99.75 
20  30  -2.56        0.55           101.09 
25  30  -0.91        0.81           102.74 
30  30  0.27        1.06           104.72 
35  30  1.07        1.28           107.13 
40  30  1.53        1.42           110.08 
45  30  1.67        1.47           113.71 
50  30  1.50        1.41           118.32 
55  30  1.03        1.27           124.32 
60  30  0.33        1.08           132.17 
65  30  -0.46        0.90           142.34 
70  30  -1.14        0.77           154.55 
75  30  -1.48        0.71           167.32 
80  30  -1.47        0.71           178.11 
85  30  -1.32        0.74           174.92 
90  30  -1.24        0.75           172.58 
95  30  -1.32        0.74           174.92 
100  30  -1.46        0.71           178.11 
105  30  -1.47        0.71           167.32 
110  30  -1.13        0.77           154.58 
115  30  -0.45        0.90           142.38 
120  30  0.34        1.08           132.23 
125  30  1.04        1.27           124.38 
130  30  1.51        1.42           118.40 
135  30  1.68        1.47           113.79 
140  30  1.54        1.43           110.17 
145  30  1.08        1.28           107.23 
150  30  0.27        1.06           104.83 
155  30  -0.91        0.81           102.87 
160  30  -2.55        0.56           101.25 
165  30  -4.85        0.33           -99.97 
170  30  -8.24        0.15           -99.07 
175  30  -14.18        0.04           -98.65 
180  30  -58.77        0.00           177.01 
0  35  -58.77        0.00           2.99 
5  35  -14.20        0.04           -97.99 
10  35  -8.25        0.15           -98.74 
15  35  -4.85        0.33           -99.75 
20  35  -2.56        0.55           101.09 
25  35  -0.91        0.81           102.74 
30  35  0.27        1.06           104.72 
35  35  1.07        1.28           107.13 
40  35  1.53        1.42           110.08 
45  35  1.67        1.47           113.71 
50  35  1.50        1.41           118.32 
55  35  1.03        1.27           124.32 
60  35  0.33        1.08           132.17 
65  35  -0.46        0.90           142.34 
70  35  -1.14        0.77           154.55 
75  35  -1.48        0.71           167.32 
80  35  -1.47        0.71           178.11 
85  35  -1.32        0.74           174.92 
90  35  -1.24        0.75           172.58 
95  35  -1.32        0.74           174.92 
100  35  -1.46        0.71           178.11 
105  35  -1.47        0.71           167.32 
110  35  -1.13        0.77           154.58 
115  35  -0.45        0.90           142.38 
120  35  0.34        1.08           132.23 
125  35  1.04        1.27           124.38 
130  35  1.51        1.42           118.40 
135  35  1.68        1.47           113.79 
140  35  1.54        1.43           110.17 
145  35  1.08        1.28           107.23 
150  35  0.27        1.06           104.83 
155  35  -0.91        0.81           102.87 
160  35  -2.55        0.56           101.25 
165  35  -4.85        0.33           -99.97 
170  35  -8.24        0.15           -99.07 
175  35  -14.18        0.04           -98.65 
180  35  -58.77        0.00           177.01 
0  40  -58.77        0.00           2.99 
5  40  -14.20        0.04           -97.99 
10  40  -8.25        0.15           -98.74 
15  40  -4.85        0.33           -99.75 
20  40  -2.56        0.55           101.09 
25  40  -0.91        0.81           102.74 
30  40  0.27        1.06           104.72 
35  40  1.07        1.28           107.13 
40  40  1.53        1.42           110.08 
45  40  1.67        1.47           113.71 
50  40  1.50        1.41           118.32 
55  40  1.03        1.27           124.32 
60  40  0.33        1.08           132.17 
65  40  -0.46        0.90           142.34 
70  40  -1.14        0.77           154.55 
75  40  -1.48        0.71           167.32 
80  40  -1.47        0.71           178.11 
85  40  -1.32        0.74           174.92 
90  40  -1.24        0.75           172.58 
95  40  -1.32        0.74           174.92 
100  40  -1.46        0.71           178.11 
105  40  -1.47        0.71           167.32 
110  40  -1.13        0.77           154.58 
115  40  -0.45        0.90           142.38 
