freq : 816.66 MHz
SWR : 6.24
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -45.06        0.00           4.65 
5  0  -11.60        0.07           129.36 
10  0  -5.98        0.25           128.40 
15  0  -2.61        0.55           126.54 
20  0  0.41        1.10           124.95 
25  0  1.54        1.43           122.83 
30  0  -0.55        0.88           114.35 
35  0  1.01        1.26           105.02 
40  0  1.92        1.56           99.11 
45  0  1.64        1.46           90.33 
50  0  1.12        1.29           80.12 
55  0  0.76        1.19           71.88 
60  0  0.09        1.02           65.91 
65  0  -0.89        0.81           64.92 
70  0  -2.01        0.63           72.12 
75  0  -2.62        0.55           87.68 
80  0  -2.17        0.61           104.70 
85  0  -1.32        0.74           115.55 
90  0  -0.94        0.81           119.02 
95  0  -1.32        0.74           115.63 
100  0  -2.18        0.61           104.87 
105  0  -2.63        0.55           87.94 
110  0  -2.03        0.63           72.41 
115  0  -0.92        0.81           65.23 
120  0  0.07        1.02           66.24 
125  0  0.74        1.19           72.24 
130  0  1.12        1.29           80.51 
135  0  1.65        1.46           90.72 
140  0  1.93        1.56           99.51 
145  0  1.03        1.27           105.48 
150  0  -0.51        0.89           114.89 
155  0  1.58        1.44           123.25 
160  0  0.46        1.11           125.44 
165  0  -2.54        0.56           127.23 
170  0  -5.88        0.26           129.42 
175  0  -11.39        0.07           131.30 
180  0  -45.06        0.00           175.35 
0  5  -45.06        0.00           4.65 
5  5  -11.60        0.07           129.36 
10  5  -5.98        0.25           128.40 
15  5  -2.61        0.55           126.54 
20  5  0.41        1.10           124.95 
25  5  1.54        1.43           122.83 
30  5  -0.55        0.88           114.35 
35  5  1.01        1.26           105.02 
40  5  1.92        1.56           99.11 
45  5  1.64        1.46           90.33 
50  5  1.12        1.29           80.12 
55  5  0.76        1.19           71.88 
60  5  0.09        1.02           65.91 
65  5  -0.89        0.81           64.92 
70  5  -2.01        0.63           72.12 
75  5  -2.62        0.55           87.68 
80  5  -2.17        0.61           104.70 
85  5  -1.32        0.74           115.55 
90  5  -0.94        0.81           119.02 
95  5  -1.32        0.74           115.63 
100  5  -2.18        0.61           104.87 
105  5  -2.63        0.55           87.94 
110  5  -2.03        0.63           72.41 
115  5  -0.92        0.81           65.23 
120  5  0.07        1.02           66.24 
125  5  0.74        1.19           72.24 
130  5  1.12        1.29           80.51 
135  5  1.65        1.46           90.72 
140  5  1.93        1.56           99.51 
145  5  1.03        1.27           105.48 
150  5  -0.51        0.89           114.89 
155  5  1.58        1.44           123.25 
