freq : 866.66 MHz
SWR : 6.50
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -44.80        0.00           4.49 
5  0  -11.11        0.08           105.62 
10  0  -5.20        0.30           104.13 
15  0  -1.92        0.64           101.83 
20  0  0.19        1.04           100.90 
25  0  1.59        1.44           97.79 
30  0  2.49        1.77           92.18 
35  0  2.84        1.92           89.58 
40  0  3.06        2.02           82.66 
45  0  1.34        1.36           87.94 
50  0  0.84        1.21           63.15 
55  0  -0.20        0.95           57.34 
60  0  -1.49        0.71           52.50 
65  0  -2.68        0.54           52.47 
70  0  -3.39        0.46           61.40 
75  0  -2.96        0.51           76.76 
80  0  -1.59        0.69           89.76 
85  0  -0.36        0.92           96.78 
90  0  0.11        1.03           98.89 
95  0  -0.36        0.92           96.86 
100  0  -1.60        0.69           89.94 
105  0  -2.98        0.50           77.04 
110  0  -3.42        0.45           61.74 
115  0  -2.72        0.53           52.82 
120  0  -1.53        0.70           52.85 
125  0  -0.23        0.95           57.70 
130  0  0.82        1.21           63.52 
135  0  1.35        1.36           88.33 
140  0  3.05        2.02           83.01 
145  0  2.84        1.92           89.96 
150  0  2.49        1.77           92.60 
155  0  1.60        1.45           98.28 
160  0  0.20        1.05           101.50 
165  0  -1.90        0.65           102.61 
170  0  -5.17        0.30           105.29 
175  0  -11.03        0.08           107.92 
180  0  -44.80        0.00           175.51 
0  5  -44.80        0.00           4.49 
5  5  -11.11        0.08           105.62 
10  5  -5.20        0.30           104.13 
15  5  -1.92        0.64           101.83 
20  5  0.19        1.04           100.90 
25  5  1.59        1.44           97.79 
30  5  2.49        1.77           92.18 
35  5  2.84        1.92           89.58 
40  5  3.06        2.02           82.66 
45  5  1.34        1.36           87.94 
50  5  0.84        1.21           63.15 
55  5  -0.20        0.95           57.34 
60  5  -1.49        0.71           52.50 
65  5  -2.68        0.54           52.47 
70  5  -3.39        0.46           61.40 
75  5  -2.96        0.51           76.76 
80  5  -1.59        0.69           89.76 
85  5  -0.36        0.92           96.78 
90  5  0.11        1.03           98.89 
95  5  -0.36        0.92           96.86 
100  5  -1.60        0.69           89.94 
105  5  -2.98        0.50           77.04 
110  5  -3.42        0.45           61.74 
115  5  -2.72        0.53           52.82 
120  5  -1.53        0.70           52.85 
125  5  -0.23        0.95           57.70 
130  5  0.82        1.21           63.52 
135  5  1.35        1.36           88.33 
140  5  3.05        2.02           83.01 
145  5  2.84        1.92           89.96 
150  5  2.49        1.77           92.60 
155  5  1.60        1.45           98.28 
160  5  0.20        1.05           101.50 
165  5  -1.90        0.65           102.61 
