freq : 866.66 MHz
SWR : 6.50
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
170  5  -5.17        0.30           105.29 
175  5  -11.03        0.08           107.92 
180  5  -44.80        0.00           175.51 
0  10  -44.80        0.00           4.49 
5  10  -11.11        0.08           105.62 
10  10  -5.20        0.30           104.13 
15  10  -1.92        0.64           101.83 
20  10  0.19        1.04           100.90 
25  10  1.59        1.44           97.79 
30  10  2.49        1.77           92.18 
35  10  2.84        1.92           89.58 
40  10  3.06        2.02           82.66 
45  10  1.34        1.36           87.94 
50  10  0.84        1.21           63.15 
55  10  -0.20        0.95           57.34 
60  10  -1.49        0.71           52.50 
65  10  -2.68        0.54           52.47 
70  10  -3.39        0.46           61.40 
75  10  -2.96        0.51           76.76 
80  10  -1.59        0.69           89.76 
85  10  -0.36        0.92           96.78 
90  10  0.11        1.03           98.89 
95  10  -0.36        0.92           96.86 
100  10  -1.60        0.69           89.94 
105  10  -2.98        0.50           77.04 
110  10  -3.42        0.45           61.74 
115  10  -2.72        0.53           52.82 
120  10  -1.53        0.70           52.85 
125  10  -0.23        0.95           57.70 
130  10  0.82        1.21           63.52 
135  10  1.35        1.36           88.33 
140  10  3.05        2.02           83.01 
145  10  2.84        1.92           89.96 
150  10  2.49        1.77           92.60 
155  10  1.60        1.45           98.28 
160  10  0.20        1.05           101.50 
165  10  -1.90        0.65           102.61 
170  10  -5.17        0.30           105.29 
175  10  -11.03        0.08           107.92 
180  10  -44.80        0.00           175.51 
0  15  -44.80        0.00           4.49 
5  15  -11.11        0.08           105.62 
10  15  -5.20        0.30           104.13 
15  15  -1.92        0.64           101.83 
20  15  0.19        1.04           100.90 
25  15  1.59        1.44           97.79 
30  15  2.49        1.77           92.18 
35  15  2.84        1.92           89.58 
40  15  3.06        2.02           82.66 
45  15  1.34        1.36           87.94 
50  15  0.84        1.21           63.15 
55  15  -0.20        0.95           57.34 
60  15  -1.49        0.71           52.50 
65  15  -2.68        0.54           52.47 
70  15  -3.39        0.46           61.40 
75  15  -2.96        0.51           76.76 
80  15  -1.59        0.69           89.76 
85  15  -0.36        0.92           96.78 
90  15  0.11        1.03           98.89 
95  15  -0.36        0.92           96.86 
100  15  -1.60        0.69           89.94 
105  15  -2.98        0.50           77.04 
110  15  -3.42        0.45           61.74 
115  15  -2.72        0.53           52.82 
120  15  -1.53        0.70           52.85 
125  15  -0.23        0.95           57.70 
130  15  0.82        1.21           63.52 
135  15  1.35        1.36           88.33 
140  15  3.05        2.02           83.01 
145  15  2.84        1.92           89.96 
150  15  2.49        1.77           92.60 
155  15  1.60        1.45           98.28 
160  15  0.20        1.05           101.50 
165  15  -1.90        0.65           102.61 
170  15  -5.17        0.30           105.29 
175  15  -11.03        0.08           107.92 
180  15  -44.80        0.00           175.51 
0  20  -44.80        0.00           4.49 
5  20  -11.11        0.08           105.62 
10  20  -5.20        0.30           104.13 
15  20  -1.92        0.64           101.83 
20  20  0.19        1.04           100.90 
25  20  1.59        1.44           97.79 
30  20  2.49        1.77           92.18 
35  20  2.84        1.92           89.58 
40  20  3.06        2.02           82.66 
45  20  1.34        1.36           87.94 
50  20  0.84        1.21           63.15 
55  20  -0.20        0.95           57.34 
60  20  -1.49        0.71           52.50 
65  20  -2.68        0.54           52.47 
70  20  -3.39        0.46           61.40 
75  20  -2.96        0.51           76.76 
80  20  -1.59        0.69           89.76 
85  20  -0.36        0.92           96.78 
90  20  0.11        1.03           98.89 
95  20  -0.36        0.92           96.86 
100  20  -1.60        0.69           89.94 
105  20  -2.98        0.50           77.04 
110  20  -3.42        0.45           61.74 
115  20  -2.72        0.53           52.82 
120  20  -1.53        0.70           52.85 
125  20  -0.23        0.95           57.70 
130  20  0.82        1.21           63.52 
135  20  1.35        1.36           88.33 
140  20  3.05        2.02           83.01 
145  20  2.84        1.92           89.96 
150  20  2.49        1.77           92.60 
155  20  1.60        1.45           98.28 
160  20  0.20        1.05           101.50 
165  20  -1.90        0.65           102.61 
170  20  -5.17        0.30           105.29 
175  20  -11.03        0.08           107.92 
180  20  -44.80        0.00           175.51 
0  25  -44.80        0.00           4.49 
5  25  -11.11        0.08           105.62 
10  25  -5.20        0.30           104.13 
15  25  -1.92        0.64           101.83 
20  25  0.19        1.04           100.90 
25  25  1.59        1.44           97.79 
30  25  2.49        1.77           92.18 
35  25  2.84        1.92           89.58 
40  25  3.06        2.02           82.66 
45  25  1.34        1.36           87.94 
50  25  0.84        1.21           63.15 
55  25  -0.20        0.95           57.34 
60  25  -1.49        0.71           52.50 
65  25  -2.68        0.54           52.47 
70  25  -3.39        0.46           61.40 
75  25  -2.96        0.51           76.76 
80  25  -1.59        0.69           89.76 
85  25  -0.36        0.92           96.78 
90  25  0.11        1.03           98.89 
95  25  -0.36        0.92           96.86 
100  25  -1.60        0.69           89.94 
105  25  -2.98        0.50           77.04 
110  25  -3.42        0.45           61.74 
115  25  -2.72        0.53           52.82 
120  25  -1.53        0.70           52.85 
125  25  -0.23        0.95           57.70 
130  25  0.82        1.21           63.52 
135  25  1.35        1.36           88.33 
140  25  3.05        2.02           83.01 
145  25  2.84        1.92           89.96 
150  25  2.49        1.77           92.60 
155  25  1.60        1.45           98.28 
160  25  0.20        1.05           101.50 
165  25  -1.90        0.65           102.61 
170  25  -5.17        0.30           105.29 
175  25  -11.03        0.08           107.92 
180  25  -44.80        0.00           175.51 
0  30  -44.80        0.00           4.49 
5  30  -11.11        0.08           105.62 
10  30  -5.20        0.30           104.13 
15  30  -1.92        0.64           101.83 
20  30  0.19        1.04           100.90 
25  30  1.59        1.44           97.79 
30  30  2.49        1.77           92.18 
35  30  2.84        1.92           89.58 
40  30  3.06        2.02           82.66 
45  30  1.34        1.36           87.94 
50  30  0.84        1.21           63.15 
55  30  -0.20        0.95           57.34 
60  30  -1.49        0.71           52.50 
65  30  -2.68        0.54           52.47 
70  30  -3.39        0.46           61.40 
75  30  -2.96        0.51           76.76 
80  30  -1.59        0.69           89.76 
85  30  -0.36        0.92           96.78 
90  30  0.11        1.03           98.89 
95  30  -0.36        0.92           96.86 
100  30  -1.60        0.69           89.94 
105  30  -2.98        0.50           77.04 
110  30  -3.42        0.45           61.74 
115  30  -2.72        0.53           52.82 
120  30  -1.53        0.70           52.85 
125  30  -0.23        0.95           57.70 
130  30  0.82        1.21           63.52 
135  30  1.35        1.36           88.33 
140  30  3.05        2.02           83.01 
145  30  2.84        1.92           89.96 
150  30  2.49        1.77           92.60 
155  30  1.60        1.45           98.28 
160  30  0.20        1.05           101.50 
165  30  -1.90        0.65           102.61 
170  30  -5.17        0.30           105.29 
175  30  -11.03        0.08           107.92 
180  30  -44.80        0.00           175.51 
0  35  -44.80        0.00           4.49 
5  35  -11.11        0.08           105.62 
10  35  -5.20        0.30           104.13 
15  35  -1.92        0.64           101.83 
20  35  0.19        1.04           100.90 
25  35  1.59        1.44           97.79 
30  35  2.49        1.77           92.18 
35  35  2.84        1.92           89.58 
40  35  3.06        2.02           82.66 
45  35  1.34        1.36           87.94 
50  35  0.84        1.21           63.15 
55  35  -0.20        0.95           57.34 
60  35  -1.49        0.71           52.50 
65  35  -2.68        0.54           52.47 
70  35  -3.39        0.46           61.40 
75  35  -2.96        0.51           76.76 
80  35  -1.59        0.69           89.76 
85  35  -0.36        0.92           96.78 
90  35  0.11        1.03           98.89 
95  35  -0.36        0.92           96.86 
100  35  -1.60        0.69           89.94 
105  35  -2.98        0.50           77.04 
110  35  -3.42        0.45           61.74 
115  35  -2.72        0.53           52.82 
120  35  -1.53        0.70           52.85 
125  35  -0.23        0.95           57.70 
130  35  0.82        1.21           63.52 
135  35  1.35        1.36           88.33 
140  35  3.05        2.02           83.01 
145  35  2.84        1.92           89.96 
150  35  2.49        1.77           92.60 
155  35  1.60        1.45           98.28 
160  35  0.20        1.05           101.50 
165  35  -1.90        0.65           102.61 
170  35  -5.17        0.30           105.29 
175  35  -11.03        0.08           107.92 
180  35  -44.80        0.00           175.51 
0  40  -44.80        0.00           4.49 
5  40  -11.11        0.08           105.62 
10  40  -5.20        0.30           104.13 
15  40  -1.92        0.64           101.83 
20  40  0.19        1.04           100.90 
25  40  1.59        1.44           97.79 
30  40  2.49        1.77           92.18 
35  40  2.84        1.92           89.58 
40  40  3.06        2.02           82.66 
45  40  1.34        1.36           87.94 
50  40  0.84        1.21           63.15 
55  40  -0.20        0.95           57.34 
60  40  -1.49        0.71           52.50 
65  40  -2.68        0.54           52.47 
70  40  -3.39        0.46           61.40 
75  40  -2.96        0.51           76.76 
80  40  -1.59        0.69           89.76 
85  40  -0.36        0.92           96.78 
90  40  0.11        1.03           98.89 
95  40  -0.36        0.92           96.86 
100  40  -1.60        0.69           89.94 
105  40  -2.98        0.50           77.04 
110  40  -3.42        0.45           61.74 
115  40  -2.72        0.53           52.82 
120  40  -1.53        0.70           52.85 
125  40  -0.23        0.95           57.70 
130  40  0.82        1.21           63.52 
135  40  1.35        1.36           88.33 
140  40  3.05        2.02           83.01 
145  40  2.84        1.92           89.96 
150  40  2.49        1.77           92.60 
155  40  1.60        1.45           98.28 
160  40  0.20        1.05           101.50 
165  40  -1.90        0.65           102.61 
170  40  -5.17        0.30           105.29 
175  40  -11.03        0.08           107.92 
180  40  -44.80        0.00           175.51 
0  45  -44.80        0.00           4.49 
5  45  -11.11        0.08           105.62 
10  45  -5.20        0.30           104.13 
15  45  -1.92        0.64           101.83 
20  45  0.19        1.04           100.90 
25  45  1.59        1.44           97.79 
30  45  2.49        1.77           92.18 
35  45  2.84        1.92           89.58 
40  45  3.06        2.02           82.66 
45  45  1.34        1.36           87.94 
50  45  0.84        1.21           63.15 
55  45  -0.20        0.95           57.34 
60  45  -1.49        0.71           52.50 
65  45  -2.68        0.54           52.47 
70  45  -3.39        0.46           61.40 
75  45  -2.96        0.51           76.76 
80  45  -1.59        0.69           89.76 
85  45  -0.36        0.92           96.78 
90  45  0.11        1.03           98.89 
95  45  -0.36        0.92           96.86 
100  45  -1.60        0.69           89.94 
105  45  -2.98        0.50           77.04 
110  45  -3.42        0.45           61.74 
115  45  -2.72        0.53           52.82 
120  45  -1.53        0.70           52.85 
125  45  -0.23        0.95           57.70 
130  45  0.82        1.21           63.52 
135  45  1.35        1.36           88.33 
140  45  3.05        2.02           83.01 
145  45  2.84        1.92           89.96 
150  45  2.49        1.77           92.60 
155  45  1.60        1.45           98.28 
160  45  0.20        1.05           101.50 
165  45  -1.90        0.65           102.61 
170  45  -5.17        0.30           105.29 
175  45  -11.03        0.08           107.92 
180  45  -44.80        0.00           175.51 
0  50  -44.80        0.00           4.49 
5  50  -11.11        0.08           105.62 
10  50  -5.20        0.30           104.13 
15  50  -1.92        0.64           101.83 
20  50  0.19        1.04           100.90 
25  50  1.59        1.44           97.79 
30  50  2.49        1.77           92.18 
35  50  2.84        1.92           89.58 
40  50  3.06        2.02           82.66 
45  50  1.34        1.36           87.94 
50  50  0.84        1.21           63.15 
55  50  -0.20        0.95           57.34 
60  50  -1.49        0.71           52.50 
65  50  -2.68        0.54           52.47 
70  50  -3.39        0.46           61.40 
75  50  -2.96        0.51           76.76 
80  50  -1.59        0.69           89.76 
85  50  -0.36        0.92           96.78 
90  50  0.11        1.03           98.89 
95  50  -0.36        0.92           96.86 
100  50  -1.60        0.69           89.94 
105  50  -2.98        0.50           77.04 
110  50  -3.42        0.45           61.74 
115  50  -2.72        0.53           52.82 
120  50  -1.53        0.70           52.85 
125  50  -0.23        0.95           57.70 
130  50  0.82        1.21           63.52 
135  50  1.35        1.36           88.33 
140  50  3.05        2.02           83.01 
145  50  2.84        1.92           89.96 
150  50  2.49        1.77           92.60 
155  50  1.60        1.45           98.28 
160  50  0.20        1.05           101.50 
165  50  -1.90        0.65           102.61 
170  50  -5.17        0.30           105.29 
175  50  -11.03        0.08           107.92 
180  50  -44.80        0.00           175.51 
0  55  -44.80        0.00           4.49 
5  55  -11.11        0.08           105.62 
10  55  -5.20        0.30           104.13 
15  55  -1.92        0.64           101.83 
20  55  0.19        1.04           100.90 
25  55  1.59        1.44           97.79 
30  55  2.49        1.77           92.18 
35  55  2.84        1.92           89.58 
40  55  3.06        2.02           82.66 
45  55  1.34        1.36           87.94 
50  55  0.84        1.21           63.15 
55  55  -0.20        0.95           57.34 
60  55  -1.49        0.71           52.50 
65  55  -2.68        0.54           52.47 
70  55  -3.39        0.46           61.40 
75  55  -2.96        0.51           76.76 
80  55  -1.59        0.69           89.76 
85  55  -0.36        0.92           96.78 
90  55  0.11        1.03           98.89 
95  55  -0.36        0.92           96.86 
100  55  -1.60        0.69           89.94 
105  55  -2.98        0.50           77.04 
110  55  -3.42        0.45           61.74 
115  55  -2.72        0.53           52.82 
120  55  -1.53        0.70           52.85 
125  55  -0.23        0.95           57.70 
130  55  0.82        1.21           63.52 
135  55  1.35        1.36           88.33 
140  55  3.05        2.02           83.01 
145  55  2.84        1.92           89.96 
150  55  2.49        1.77           92.60 
155  55  1.60        1.45           98.28 
160  55  0.20        1.05           101.50 
165  55  -1.90        0.65           102.61 
170  55  -5.17        0.30           105.29 
175  55  -11.03        0.08           107.92 
180  55  -44.80        0.00           175.51 
0  60  -44.80        0.00           4.49 
5  60  -11.11        0.08           105.62 
10  60  -5.20        0.30           104.13 
15  60  -1.92        0.64           101.83 
20  60  0.19        1.04           100.90 
25  60  1.59        1.44           97.79 
30  60  2.49        1.77           92.18 
35  60  2.84        1.92           89.58 
40  60  3.06        2.02           82.66 
45  60  1.34        1.36           87.94 
50  60  0.84        1.21           63.15 
55  60  -0.20        0.95           57.34 
60  60  -1.49        0.71           52.50 
65  60  -2.68        0.54           52.47 
70  60  -3.39        0.46           61.40 
75  60  -2.96        0.51           76.76 
80  60  -1.59        0.69           89.76 
85  60  -0.36        0.92           96.78 
90  60  0.11        1.03           98.89 
95  60  -0.36        0.92           96.86 
100  60  -1.60        0.69           89.94 
105  60  -2.98        0.50           77.04 
110  60  -3.42        0.45           61.74 
115  60  -2.72        0.53           52.82 
120  60  -1.53        0.70           52.85 
125  60  -0.23        0.95           57.70 
130  60  0.82        1.21           63.52 
135  60  1.35        1.36           88.33 
140  60  3.05        2.02           83.01 
145  60  2.84        1.92           89.96 
150  60  2.49        1.77           92.60 
155  60  1.60        1.45           98.28 
160  60  0.20        1.05           101.50 
165  60  -1.90        0.65           102.61 
170  60  -5.17        0.30           105.29 
175  60  -11.03        0.08           107.92 
180  60  -44.80        0.00           175.51 
0  65  -44.80        0.00           4.49 
5  65  -11.11        0.08           105.62 
10  65  -5.20        0.30           104.13 
15  65  -1.92        0.64           101.83 
20  65  0.19        1.04           100.90 
25  65  1.59        1.44           97.79 
30  65  2.49        1.77           92.18 
35  65  2.84        1.92           89.58 
40  65  3.06        2.02           82.66 
45  65  1.34        1.36           87.94 
50  65  0.84        1.21           63.15 
55  65  -0.20        0.95           57.34 
60  65  -1.49        0.71           52.50 
65  65  -2.68        0.54           52.47 
70  65  -3.39        0.46           61.40 
75  65  -2.96        0.51           76.76 
80  65  -1.59        0.69           89.76 
85  65  -0.36        0.92           96.78 
90  65  0.11        1.03           98.89 
95  65  -0.36        0.92           96.86 
100  65  -1.60        0.69           89.94 
105  65  -2.98        0.50           77.04 
110  65  -3.42        0.45           61.74 
115  65  -2.72        0.53           52.82 
120  65  -1.53        0.70           52.85 
125  65  -0.23        0.95           57.70 
130  65  0.82        1.21           63.52 
135  65  1.35        1.36           88.33 
140  65  3.05        2.02           83.01 
145  65  2.84        1.92           89.96 
150  65  2.49        1.77           92.60 
155  65  1.60        1.45           98.28 
160  65  0.20        1.05           101.50 
165  65  -1.90        0.65           102.61 
170  65  -5.17        0.30           105.29 
175  65  -11.03        0.08           107.92 
180  65  -44.80        0.00           175.51 
0  70  -44.80        0.00           4.49 
5  70  -11.11        0.08           105.62 
10  70  -5.20        0.30           104.13 
15  70  -1.92        0.64           101.83 
20  70  0.19        1.04           100.90 
25  70  1.59        1.44           97.79 
30  70  2.49        1.77           92.18 
35  70  2.84        1.92           89.58 
40  70  3.06        2.02           82.66 
45  70  1.34        1.36           87.94 
50  70  0.84        1.21           63.15 
55  70  -0.20        0.95           57.34 
60  70  -1.49        0.71           52.50 
65  70  -2.68        0.54           52.47 
70  70  -3.39        0.46           61.40 
75  70  -2.96        0.51           76.76 
80  70  -1.59        0.69           89.76 
85  70  -0.36        0.92           96.78 
90  70  0.11        1.03           98.89 
95  70  -0.36        0.92           96.86 
100  70  -1.60        0.69           89.94 
105  70  -2.98        0.50           77.04 
110  70  -3.42        0.45           61.74 
115  70  -2.72        0.53           52.82 
120  70  -1.53        0.70           52.85 
125  70  -0.23        0.95           57.70 
130  70  0.82        1.21           63.52 
135  70  1.35        1.36           88.33 
140  70  3.05        2.02           83.01 
145  70  2.84        1.92           89.96 
150  70  2.49        1.77           92.60 
155  70  1.60        1.45           98.28 
160  70  0.20        1.05           101.50 
165  70  -1.90        0.65           102.61 
170  70  -5.17        0.30           105.29 
175  70  -11.03        0.08           107.92 
180  70  -44.80        0.00           175.51 
0  75  -44.80        0.00           4.49 
5  75  -11.11        0.08           105.62 
10  75  -5.20        0.30           104.13 
15  75  -1.92        0.64           101.83 
20  75  0.19        1.04           100.90 
25  75  1.59        1.44           97.79 
30  75  2.49        1.77           92.18 
35  75  2.84        1.92           89.58 
40  75  3.06        2.02           82.66 
45  75  1.34        1.36           87.94 
50  75  0.84        1.21           63.15 
55  75  -0.20        0.95           57.34 
60  75  -1.49        0.71           52.50 
65  75  -2.68        0.54           52.47 
70  75  -3.39        0.46           61.40 
75  75  -2.96        0.51           76.76 
80  75  -1.59        0.69           89.76 
85  75  -0.36        0.92           96.78 
90  75  0.11        1.03           98.89 
95  75  -0.36        0.92           96.86 
100  75  -1.60        0.69           89.94 
105  75  -2.98        0.50           77.04 
110  75  -3.42        0.45           61.74 
115  75  -2.72        0.53           52.82 
120  75  -1.53        0.70           52.85 
125  75  -0.23        0.95           57.70 
130  75  0.82        1.21           63.52 
135  75  1.35        1.36           88.33 
140  75  3.05        2.02           83.01 
145  75  2.84        1.92           89.96 
150  75  2.49        1.77           92.60 
155  75  1.60        1.45           98.28 
160  75  0.20        1.05           101.50 
165  75  -1.90        0.65           102.61 
170  75  -5.17        0.30           105.29 
175  75  -11.03        0.08           107.92 
180  75  -44.80        0.00           175.51 
0  80  -44.80        0.00           4.49 
5  80  -11.11        0.08           105.62 
10  80  -5.20        0.30           104.13 
15  80  -1.92        0.64           101.83 
20  80  0.19        1.04           100.90 
25  80  1.59        1.44           97.79 
30  80  2.49        1.77           92.18 
35  80  2.84        1.92           89.58 
40  80  3.06        2.02           82.66 
45  80  1.34        1.36           87.94 
50  80  0.84        1.21           63.15 
55  80  -0.20        0.95           57.34 
60  80  -1.49        0.71           52.50 
65  80  -2.68        0.54           52.47 
70  80  -3.39        0.46           61.40 
75  80  -2.96        0.51           76.76 
80  80  -1.59        0.69           89.76 
85  80  -0.36        0.92           96.78 
90  80  0.11        1.03           98.89 
95  80  -0.36        0.92           96.86 
100  80  -1.60        0.69           89.94 
105  80  -2.98        0.50           77.04 
110  80  -3.42        0.45           61.74 
115  80  -2.72        0.53           52.82 
120  80  -1.53        0.70           52.85 
125  80  -0.23        0.95           57.70 
130  80  0.82        1.21           63.52 
135  80  1.35        1.36           88.33 
140  80  3.05        2.02           83.01 
145  80  2.84        1.92           89.96 
150  80  2.49        1.77           92.60 
155  80  1.60        1.45           98.28 
160  80  0.20        1.05           101.50 
165  80  -1.90        0.65           102.61 
170  80  -5.17        0.30           105.29 
175  80  -11.03        0.08           107.92 
180  80  -44.80        0.00           175.51 
0  85  -44.80        0.00           4.49 
5  85  -11.11        0.08           105.62 
10  85  -5.20        0.30           104.13 
15  85  -1.92        0.64           101.83 
20  85  0.19        1.04           100.90 
25  85  1.59        1.44           97.79 
30  85  2.49        1.77           92.18 
35  85  2.84        1.92           89.58 
40  85  3.06        2.02           82.66 
45  85  1.34        1.36           87.94 
50  85  0.84        1.21           63.15 
55  85  -0.20        0.95           57.34 
60  85  -1.49        0.71           52.50 
65  85  -2.68        0.54           52.47 
70  85  -3.39        0.46           61.40 
75  85  -2.96        0.51           76.76 
80  85  -1.59        0.69           89.76 
85  85  -0.36        0.92           96.78 
90  85  0.11        1.03           98.89 
95  85  -0.36        0.92           96.86 
100  85  -1.60        0.69           89.94 
105  85  -2.98        0.50           77.04 
110  85  -3.42        0.45           61.74 
115  85  -2.72        0.53           52.82 
120  85  -1.53        0.70           52.85 
125  85  -0.23        0.95           57.70 
130  85  0.82        1.21           63.52 
135  85  1.35        1.36           88.33 
140  85  3.05        2.02           83.01 
145  85  2.84        1.92           89.96 
150  85  2.49        1.77           92.60 
155  85  1.60        1.45           98.28 
160  85  0.20        1.05           101.50 
165  85  -1.90        0.65           102.61 
170  85  -5.17        0.30           105.29 
175  85  -11.03        0.08           107.92 
180  85  -44.80        0.00           175.51 
0  90  -44.80        0.00           4.49 
5  90  -11.11        0.08           105.62 
10  90  -5.20        0.30           104.13 
15  90  -1.92        0.64           101.83 
20  90  0.19        1.04           100.90 
25  90  1.59        1.44           97.79 
30  90  2.49        1.77           92.18 
35  90  2.84        1.92           89.58 
40  90  3.06        2.02           82.66 
45  90  1.34        1.36           87.94 
50  90  0.84        1.21           63.15 
55  90  -0.20        0.95           57.34 
60  90  -1.49        0.71           52.50 
65  90  -2.68        0.54           52.47 
70  90  -3.39        0.46           61.40 
75  90  -2.96        0.51           76.76 
80  90  -1.59        0.69           89.76 
85  90  -0.36        0.92           96.78 
90  90  0.11        1.03           98.89 
95  90  -0.36        0.92           96.86 
100  90  -1.60        0.69           89.94 
105  90  -2.98        0.50           77.04 
110  90  -3.42        0.45           61.74 
115  90  -2.72        0.53           52.82 
120  90  -1.53        0.70           52.85 
125  90  -0.23        0.95           57.70 
130  90  0.82        1.21           63.52 
135  90  1.35        1.36           88.33 
140  90  3.05        2.02           83.01 
145  90  2.84        1.92           89.96 
150  90  2.49        1.77           92.60 
155  90  1.60        1.45           98.28 
160  90  0.20        1.05           101.50 
165  90  -1.90        0.65           102.61 
170  90  -5.17        0.30           105.29 
175  90  -11.03        0.08           107.92 
180  90  -44.80        0.00           175.51 
0  95  -44.80        0.00           4.49 
5  95  -11.11        0.08           105.62 
10  95  -5.20        0.30           104.13 
15  95  -1.92        0.64           101.83 
20  95  0.19        1.04           100.90 
25  95  1.59        1.44           97.79 
30  95  2.49        1.77           92.18 
35  95  2.84        1.92           89.58 
40  95  3.06        2.02           82.66 
45  95  1.34        1.36           87.94 
50  95  0.84        1.21           63.15 
55  95  -0.20        0.95           57.34 
60  95  -1.49        0.71           52.50 
65  95  -2.68        0.54           52.47 
70  95  -3.39        0.46           61.40 
75  95  -2.96        0.51           76.76 
80  95  -1.59        0.69           89.76 
85  95  -0.36        0.92           96.78 
90  95  0.11        1.03           98.89 
95  95  -0.36        0.92           96.86 
100  95  -1.60        0.69           89.94 
105  95  -2.98        0.50           77.04 
110  95  -3.42        0.45           61.74 
115  95  -2.72        0.53           52.82 
120  95  -1.53        0.70           52.85 
125  95  -0.23        0.95           57.70 
130  95  0.82        1.21           63.52 
135  95  1.35        1.36           88.33 
140  95  3.05        2.02           83.01 
145  95  2.84        1.92           89.96 
150  95  2.49        1.77           92.60 
155  95  1.60        1.45           98.28 
160  95  0.20        1.05           101.50 
165  95  -1.90        0.65           102.61 
170  95  -5.17        0.30           105.29 
175  95  -11.03        0.08           107.92 
180  95  -44.80        0.00           175.51 
0  100  -44.80        0.00           4.49 
5  100  -11.11        0.08           105.62 
10  100  -5.20        0.30           104.13 
15  100  -1.92        0.64           101.83 
20  100  0.19        1.04           100.90 
25  100  1.59        1.44           97.79 
30  100  2.49        1.77           92.18 
35  100  2.84        1.92           89.58 
40  100  3.06        2.02           82.66 
45  100  1.34        1.36           87.94 
50  100  0.84        1.21           63.15 
55  100  -0.20        0.95           57.34 
60  100  -1.49        0.71           52.50 
65  100  -2.68        0.54           52.47 
70  100  -3.39        0.46           61.40 
75  100  -2.96        0.51           76.76 
80  100  -1.59        0.69           89.76 
85  100  -0.36        0.92           96.78 
90  100  0.11        1.03           98.89 
95  100  -0.36        0.92           96.86 
100  100  -1.60        0.69           89.94 
105  100  -2.98        0.50           77.04 
110  100  -3.42        0.45           61.74 
115  100  -2.72        0.53           52.82 
120  100  -1.53        0.70           52.85 
125  100  -0.23        0.95           57.70 
130  100  0.82        1.21           63.52 
135  100  1.35        1.36           88.33 
140  100  3.05        2.02           83.01 
145  100  2.84        1.92           89.96 
150  100  2.49        1.77           92.60 
155  100  1.60        1.45           98.28 
160  100  0.20        1.05           101.50 
165  100  -1.90        0.65           102.61 
170  100  -5.17        0.30           105.29 
175  100  -11.03        0.08           107.92 
180  100  -44.80        0.00           175.51 
0  105  -44.80        0.00           4.49 
5  105  -11.11        0.08           105.62 
10  105  -5.20        0.30           104.13 
15  105  -1.92        0.64           101.83 
20  105  0.19        1.04           100.90 
25  105  1.59        1.44           97.79 
30  105  2.49        1.77           92.18 
35  105  2.84        1.92           89.58 
40  105  3.06        2.02           82.66 
45  105  1.34        1.36           87.94 
50  105  0.84        1.21           63.15 
55  105  -0.20        0.95           57.34 
