freq : 766.66 MHz
SWR : 6.00
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -45.93        0.00           3.56 
5  0  -12.99        0.05           140.89 
10  0  -7.08        0.20           139.62 
15  0  -3.86        0.41           136.90 
20  0  -1.83        0.66           132.94 
25  0  -0.50        0.89           127.81 
30  0  0.37        1.09           121.41 
35  0  0.91        1.23           113.76 
40  0  1.25        1.33           105.09 
45  0  1.47        1.40           95.98 
50  0  1.58        1.44           87.49 
55  0  1.51        1.42           80.85 
60  0  1.12        1.29           77.21 
65  0  0.31        1.07           77.82 
70  0  -0.86        0.82           84.12 
75  0  -1.98        0.63           96.90 
80  0  -2.43        0.57           112.90 
85  0  -2.21        0.60           125.02 
90  0  -2.03        0.63           129.27 
95  0  -2.21        0.60           125.09 
100  0  -2.43        0.57           113.05 
105  0  -1.99        0.63           97.10 
110  0  -0.87        0.82           84.35 
115  0  0.30        1.07           78.06 
120  0  1.11        1.29           77.48 
125  0  1.50        1.41           81.15 
130  0  1.59        1.44           87.84 
135  0  1.48        1.41           96.35 
140  0  1.27        1.34           105.48 
145  0  0.94        1.24           114.16 
150  0  0.41        1.10           121.83 
155  0  -0.45        0.90           128.25 
160  0  -1.76        0.67           133.45 
165  0  -3.77        0.42           137.52 
170  0  -6.94        0.20           140.50 
175  0  -12.70        0.05           142.57 
180  0  -45.93        0.00           176.44 
0  5  -45.93        0.00           3.56 
5  5  -12.99        0.05           140.89 
10  5  -7.08        0.20           139.62 
15  5  -3.86        0.41           136.90 
20  5  -1.83        0.66           132.94 
25  5  -0.50        0.89           127.81 
30  5  0.37        1.09           121.41 
35  5  0.91        1.23           113.76 
40  5  1.25        1.33           105.09 
45  5  1.47        1.40           95.98 
50  5  1.58        1.44           87.49 
55  5  1.51        1.42           80.85 
60  5  1.12        1.29           77.21 
65  5  0.31        1.07           77.82 
70  5  -0.86        0.82           84.12 
75  5  -1.98        0.63           96.90 
80  5  -2.43        0.57           112.90 
85  5  -2.21        0.60           125.02 
90  5  -2.03        0.63           129.27 
95  5  -2.21        0.60           125.09 
100  5  -2.43        0.57           113.05 
105  5  -1.99        0.63           97.10 
110  5  -0.87        0.82           84.35 
115  5  0.30        1.07           78.06 
120  5  1.11        1.29           77.48 
125  5  1.50        1.41           81.15 
130  5  1.59        1.44           87.84 
135  5  1.48        1.41           96.35 
140  5  1.27        1.34           105.48 
145  5  0.94        1.24           114.16 
150  5  0.41        1.10           121.83 
155  5  -0.45        0.90           128.25 
160  5  -1.76        0.67           133.45 
165  5  -3.77        0.42           137.52 
170  5  -6.94        0.20           140.50 
175  5  -12.70        0.05           142.57 
180  5  -45.93        0.00           176.44 
0  10  -45.93        0.00           3.56 
5  10  -12.99        0.05           140.89 
10  10  -7.08        0.20           139.62 
15  10  -3.86        0.41           136.90 
