freq : 766.66 MHz
SWR : 6.00
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
20  10  -1.83        0.66           132.94 
25  10  -0.50        0.89           127.81 
30  10  0.37        1.09           121.41 
35  10  0.91        1.23           113.76 
40  10  1.25        1.33           105.09 
45  10  1.47        1.40           95.98 
50  10  1.58        1.44           87.49 
55  10  1.51        1.42           80.85 
60  10  1.12        1.29           77.21 
65  10  0.31        1.07           77.82 
70  10  -0.86        0.82           84.12 
75  10  -1.98        0.63           96.90 
80  10  -2.43        0.57           112.90 
85  10  -2.21        0.60           125.02 
90  10  -2.03        0.63           129.27 
95  10  -2.21        0.60           125.09 
100  10  -2.43        0.57           113.05 
105  10  -1.99        0.63           97.10 
110  10  -0.87        0.82           84.35 
115  10  0.30        1.07           78.06 
120  10  1.11        1.29           77.48 
125  10  1.50        1.41           81.15 
130  10  1.59        1.44           87.84 
135  10  1.48        1.41           96.35 
140  10  1.27        1.34           105.48 
145  10  0.94        1.24           114.16 
150  10  0.41        1.10           121.83 
155  10  -0.45        0.90           128.25 
160  10  -1.76        0.67           133.45 
165  10  -3.77        0.42           137.52 
170  10  -6.94        0.20           140.50 
175  10  -12.70        0.05           142.57 
180  10  -45.93        0.00           176.44 
0  15  -45.93        0.00           3.56 
5  15  -12.99        0.05           140.89 
10  15  -7.08        0.20           139.62 
15  15  -3.86        0.41           136.90 
20  15  -1.83        0.66           132.94 
25  15  -0.50        0.89           127.81 
30  15  0.37        1.09           121.41 
35  15  0.91        1.23           113.76 
40  15  1.25        1.33           105.09 
45  15  1.47        1.40           95.98 
50  15  1.58        1.44           87.49 
55  15  1.51        1.42           80.85 
60  15  1.12        1.29           77.21 
65  15  0.31        1.07           77.82 
70  15  -0.86        0.82           84.12 
75  15  -1.98        0.63           96.90 
80  15  -2.43        0.57           112.90 
85  15  -2.21        0.60           125.02 
90  15  -2.03        0.63           129.27 
95  15  -2.21        0.60           125.09 
100  15  -2.43        0.57           113.05 
105  15  -1.99        0.63           97.10 
110  15  -0.87        0.82           84.35 
115  15  0.30        1.07           78.06 
120  15  1.11        1.29           77.48 
125  15  1.50        1.41           81.15 
130  15  1.59        1.44           87.84 
135  15  1.48        1.41           96.35 
140  15  1.27        1.34           105.48 
145  15  0.94        1.24           114.16 
150  15  0.41        1.10           121.83 
155  15  -0.45        0.90           128.25 
160  15  -1.76        0.67           133.45 
165  15  -3.77        0.42           137.52 
170  15  -6.94        0.20           140.50 
175  15  -12.70        0.05           142.57 
180  15  -45.93        0.00           176.44 
0  20  -45.93        0.00           3.56 
5  20  -12.99        0.05           140.89 
10  20  -7.08        0.20           139.62 
15  20  -3.86        0.41           136.90 
20  20  -1.83        0.66           132.94 
25  20  -0.50        0.89           127.81 
30  20  0.37        1.09           121.41 
35  20  0.91        1.23           113.76 
40  20  1.25        1.33           105.09 
45  20  1.47        1.40           95.98 
50  20  1.58        1.44           87.49 
55  20  1.51        1.42           80.85 
60  20  1.12        1.29           77.21 
65  20  0.31        1.07           77.82 
70  20  -0.86        0.82           84.12 
75  20  -1.98        0.63           96.90 
80  20  -2.43        0.57           112.90 
85  20  -2.21        0.60           125.02 
90  20  -2.03        0.63           129.27 
95  20  -2.21        0.60           125.09 
100  20  -2.43        0.57           113.05 
105  20  -1.99        0.63           97.10 
110  20  -0.87        0.82           84.35 
115  20  0.30        1.07           78.06 
120  20  1.11        1.29           77.48 
125  20  1.50        1.41           81.15 
130  20  1.59        1.44           87.84 
135  20  1.48        1.41           96.35 
140  20  1.27        1.34           105.48 
145  20  0.94        1.24           114.16 
150  20  0.41        1.10           121.83 
155  20  -0.45        0.90           128.25 
160  20  -1.76        0.67           133.45 
165  20  -3.77        0.42           137.52 
170  20  -6.94        0.20           140.50 
175  20  -12.70        0.05           142.57 
180  20  -45.93        0.00           176.44 
0  25  -45.93        0.00           3.56 
5  25  -12.99        0.05           140.89 
10  25  -7.08        0.20           139.62 
15  25  -3.86        0.41           136.90 
20  25  -1.83        0.66           132.94 
25  25  -0.50        0.89           127.81 
30  25  0.37        1.09           121.41 
35  25  0.91        1.23           113.76 
40  25  1.25        1.33           105.09 
45  25  1.47        1.40           95.98 
50  25  1.58        1.44           87.49 
55  25  1.51        1.42           80.85 
60  25  1.12        1.29           77.21 
65  25  0.31        1.07           77.82 
70  25  -0.86        0.82           84.12 
75  25  -1.98        0.63           96.90 
80  25  -2.43        0.57           112.90 
85  25  -2.21        0.60           125.02 
90  25  -2.03        0.63           129.27 
95  25  -2.21        0.60           125.09 
100  25  -2.43        0.57           113.05 
105  25  -1.99        0.63           97.10 
110  25  -0.87        0.82           84.35 
115  25  0.30        1.07           78.06 
120  25  1.11        1.29           77.48 
125  25  1.50        1.41           81.15 
130  25  1.59        1.44           87.84 
135  25  1.48        1.41           96.35 
140  25  1.27        1.34           105.48 
145  25  0.94        1.24           114.16 
150  25  0.41        1.10           121.83 
155  25  -0.45        0.90           128.25 
160  25  -1.76        0.67           133.45 
165  25  -3.77        0.42           137.52 
170  25  -6.94        0.20           140.50 
175  25  -12.70        0.05           142.57 
180  25  -45.93        0.00           176.44 
0  30  -45.93        0.00           3.56 
5  30  -12.99        0.05           140.89 
10  30  -7.08        0.20           139.62 
15  30  -3.86        0.41           136.90 
20  30  -1.83        0.66           132.94 
25  30  -0.50        0.89           127.81 
30  30  0.37        1.09           121.41 
35  30  0.91        1.23           113.76 
40  30  1.25        1.33           105.09 
45  30  1.47        1.40           95.98 
50  30  1.58        1.44           87.49 
55  30  1.51        1.42           80.85 
60  30  1.12        1.29           77.21 
65  30  0.31        1.07           77.82 
70  30  -0.86        0.82           84.12 
75  30  -1.98        0.63           96.90 
80  30  -2.43        0.57           112.90 
85  30  -2.21        0.60           125.02 
90  30  -2.03        0.63           129.27 
95  30  -2.21        0.60           125.09 
100  30  -2.43        0.57           113.05 
105  30  -1.99        0.63           97.10 
110  30  -0.87        0.82           84.35 
115  30  0.30        1.07           78.06 
120  30  1.11        1.29           77.48 
125  30  1.50        1.41           81.15 
130  30  1.59        1.44           87.84 
135  30  1.48        1.41           96.35 
140  30  1.27        1.34           105.48 
145  30  0.94        1.24           114.16 
150  30  0.41        1.10           121.83 
155  30  -0.45        0.90           128.25 
160  30  -1.76        0.67           133.45 
165  30  -3.77        0.42           137.52 
170  30  -6.94        0.20           140.50 
175  30  -12.70        0.05           142.57 
180  30  -45.93        0.00           176.44 
0  35  -45.93        0.00           3.56 
5  35  -12.99        0.05           140.89 
10  35  -7.08        0.20           139.62 
15  35  -3.86        0.41           136.90 
20  35  -1.83        0.66           132.94 
25  35  -0.50        0.89           127.81 
30  35  0.37        1.09           121.41 
35  35  0.91        1.23           113.76 
40  35  1.25        1.33           105.09 
45  35  1.47        1.40           95.98 
50  35  1.58        1.44           87.49 
55  35  1.51        1.42           80.85 
60  35  1.12        1.29           77.21 
65  35  0.31        1.07           77.82 
70  35  -0.86        0.82           84.12 
75  35  -1.98        0.63           96.90 
80  35  -2.43        0.57           112.90 
85  35  -2.21        0.60           125.02 
90  35  -2.03        0.63           129.27 
95  35  -2.21        0.60           125.09 
100  35  -2.43        0.57           113.05 
105  35  -1.99        0.63           97.10 
110  35  -0.87        0.82           84.35 
115  35  0.30        1.07           78.06 
120  35  1.11        1.29           77.48 
125  35  1.50        1.41           81.15 
130  35  1.59        1.44           87.84 
135  35  1.48        1.41           96.35 
140  35  1.27        1.34           105.48 
145  35  0.94        1.24           114.16 
150  35  0.41        1.10           121.83 
155  35  -0.45        0.90           128.25 
160  35  -1.76        0.67           133.45 
165  35  -3.77        0.42           137.52 
170  35  -6.94        0.20           140.50 
175  35  -12.70        0.05           142.57 
180  35  -45.93        0.00           176.44 
0  40  -45.93        0.00           3.56 
5  40  -12.99        0.05           140.89 
10  40  -7.08        0.20           139.62 
15  40  -3.86        0.41           136.90 
20  40  -1.83        0.66           132.94 
25  40  -0.50        0.89           127.81 
30  40  0.37        1.09           121.41 
35  40  0.91        1.23           113.76 
40  40  1.25        1.33           105.09 
45  40  1.47        1.40           95.98 
50  40  1.58        1.44           87.49 
55  40  1.51        1.42           80.85 
60  40  1.12        1.29           77.21 
65  40  0.31        1.07           77.82 
70  40  -0.86        0.82           84.12 
75  40  -1.98        0.63           96.90 
80  40  -2.43        0.57           112.90 
85  40  -2.21        0.60           125.02 
90  40  -2.03        0.63           129.27 
95  40  -2.21        0.60           125.09 
100  40  -2.43        0.57           113.05 
105  40  -1.99        0.63           97.10 
110  40  -0.87        0.82           84.35 
115  40  0.30        1.07           78.06 
120  40  1.11        1.29           77.48 
125  40  1.50        1.41           81.15 
130  40  1.59        1.44           87.84 
135  40  1.48        1.41           96.35 
140  40  1.27        1.34           105.48 
145  40  0.94        1.24           114.16 
150  40  0.41        1.10           121.83 
155  40  -0.45        0.90           128.25 
160  40  -1.76        0.67           133.45 
165  40  -3.77        0.42           137.52 
170  40  -6.94        0.20           140.50 
175  40  -12.70        0.05           142.57 
180  40  -45.93        0.00           176.44 
0  45  -45.93        0.00           3.56 
5  45  -12.99        0.05           140.89 
10  45  -7.08        0.20           139.62 
15  45  -3.86        0.41           136.90 
20  45  -1.83        0.66           132.94 
25  45  -0.50        0.89           127.81 
30  45  0.37        1.09           121.41 
35  45  0.91        1.23           113.76 
40  45  1.25        1.33           105.09 
45  45  1.47        1.40           95.98 
50  45  1.58        1.44           87.49 
55  45  1.51        1.42           80.85 
60  45  1.12        1.29           77.21 
65  45  0.31        1.07           77.82 
70  45  -0.86        0.82           84.12 
75  45  -1.98        0.63           96.90 
80  45  -2.43        0.57           112.90 
85  45  -2.21        0.60           125.02 
90  45  -2.03        0.63           129.27 
95  45  -2.21        0.60           125.09 
100  45  -2.43        0.57           113.05 
105  45  -1.99        0.63           97.10 
110  45  -0.87        0.82           84.35 
115  45  0.30        1.07           78.06 
120  45  1.11        1.29           77.48 
125  45  1.50        1.41           81.15 
130  45  1.59        1.44           87.84 
135  45  1.48        1.41           96.35 
140  45  1.27        1.34           105.48 
145  45  0.94        1.24           114.16 
150  45  0.41        1.10           121.83 
155  45  -0.45        0.90           128.25 
160  45  -1.76        0.67           133.45 
165  45  -3.77        0.42           137.52 
170  45  -6.94        0.20           140.50 
175  45  -12.70        0.05           142.57 
180  45  -45.93        0.00           176.44 
0  50  -45.93        0.00           3.56 
5  50  -12.99        0.05           140.89 
10  50  -7.08        0.20           139.62 
15  50  -3.86        0.41           136.90 
20  50  -1.83        0.66           132.94 
25  50  -0.50        0.89           127.81 
30  50  0.37        1.09           121.41 
35  50  0.91        1.23           113.76 
40  50  1.25        1.33           105.09 
45  50  1.47        1.40           95.98 
50  50  1.58        1.44           87.49 
55  50  1.51        1.42           80.85 
60  50  1.12        1.29           77.21 
65  50  0.31        1.07           77.82 
70  50  -0.86        0.82           84.12 
75  50  -1.98        0.63           96.90 
80  50  -2.43        0.57           112.90 
85  50  -2.21        0.60           125.02 
90  50  -2.03        0.63           129.27 
95  50  -2.21        0.60           125.09 
100  50  -2.43        0.57           113.05 
105  50  -1.99        0.63           97.10 
110  50  -0.87        0.82           84.35 
115  50  0.30        1.07           78.06 
120  50  1.11        1.29           77.48 
125  50  1.50        1.41           81.15 
130  50  1.59        1.44           87.84 
135  50  1.48        1.41           96.35 
140  50  1.27        1.34           105.48 
145  50  0.94        1.24           114.16 
150  50  0.41        1.10           121.83 
155  50  -0.45        0.90           128.25 
160  50  -1.76        0.67           133.45 
165  50  -3.77        0.42           137.52 
170  50  -6.94        0.20           140.50 
175  50  -12.70        0.05           142.57 
180  50  -45.93        0.00           176.44 
0  55  -45.93        0.00           3.56 
5  55  -12.99        0.05           140.89 
10  55  -7.08        0.20           139.62 
15  55  -3.86        0.41           136.90 
20  55  -1.83        0.66           132.94 
25  55  -0.50        0.89           127.81 
30  55  0.37        1.09           121.41 
35  55  0.91        1.23           113.76 
40  55  1.25        1.33           105.09 
45  55  1.47        1.40           95.98 
50  55  1.58        1.44           87.49 
55  55  1.51        1.42           80.85 
60  55  1.12        1.29           77.21 
65  55  0.31        1.07           77.82 
70  55  -0.86        0.82           84.12 
75  55  -1.98        0.63           96.90 
80  55  -2.43        0.57           112.90 
85  55  -2.21        0.60           125.02 
90  55  -2.03        0.63           129.27 
95  55  -2.21        0.60           125.09 
100  55  -2.43        0.57           113.05 
105  55  -1.99        0.63           97.10 
110  55  -0.87        0.82           84.35 
115  55  0.30        1.07           78.06 
120  55  1.11        1.29           77.48 
125  55  1.50        1.41           81.15 
130  55  1.59        1.44           87.84 
135  55  1.48        1.41           96.35 
140  55  1.27        1.34           105.48 
145  55  0.94        1.24           114.16 
150  55  0.41        1.10           121.83 
155  55  -0.45        0.90           128.25 
160  55  -1.76        0.67           133.45 
165  55  -3.77        0.42           137.52 
170  55  -6.94        0.20           140.50 
175  55  -12.70        0.05           142.57 
180  55  -45.93        0.00           176.44 
0  60  -45.93        0.00           3.56 
5  60  -12.99        0.05           140.89 
10  60  -7.08        0.20           139.62 
15  60  -3.86        0.41           136.90 
20  60  -1.83        0.66           132.94 
25  60  -0.50        0.89           127.81 
30  60  0.37        1.09           121.41 
35  60  0.91        1.23           113.76 
40  60  1.25        1.33           105.09 
45  60  1.47        1.40           95.98 
50  60  1.58        1.44           87.49 
55  60  1.51        1.42           80.85 
60  60  1.12        1.29           77.21 
65  60  0.31        1.07           77.82 
70  60  -0.86        0.82           84.12 
75  60  -1.98        0.63           96.90 
80  60  -2.43        0.57           112.90 
85  60  -2.21        0.60           125.02 
90  60  -2.03        0.63           129.27 
95  60  -2.21        0.60           125.09 
100  60  -2.43        0.57           113.05 
105  60  -1.99        0.63           97.10 
110  60  -0.87        0.82           84.35 
115  60  0.30        1.07           78.06 
120  60  1.11        1.29           77.48 
125  60  1.50        1.41           81.15 
130  60  1.59        1.44           87.84 
135  60  1.48        1.41           96.35 
140  60  1.27        1.34           105.48 
145  60  0.94        1.24           114.16 
150  60  0.41        1.10           121.83 
155  60  -0.45        0.90           128.25 
160  60  -1.76        0.67           133.45 
165  60  -3.77        0.42           137.52 
170  60  -6.94        0.20           140.50 
175  60  -12.70        0.05           142.57 
180  60  -45.93        0.00           176.44 
0  65  -45.93        0.00           3.56 
5  65  -12.99        0.05           140.89 
10  65  -7.08        0.20           139.62 
15  65  -3.86        0.41           136.90 
20  65  -1.83        0.66           132.94 
25  65  -0.50        0.89           127.81 
30  65  0.37        1.09           121.41 
35  65  0.91        1.23           113.76 
40  65  1.25        1.33           105.09 
45  65  1.47        1.40           95.98 
50  65  1.58        1.44           87.49 
55  65  1.51        1.42           80.85 
60  65  1.12        1.29           77.21 
65  65  0.31        1.07           77.82 
70  65  -0.86        0.82           84.12 
75  65  -1.98        0.63           96.90 
80  65  -2.43        0.57           112.90 
85  65  -2.21        0.60           125.02 
90  65  -2.03        0.63           129.27 
95  65  -2.21        0.60           125.09 
100  65  -2.43        0.57           113.05 
105  65  -1.99        0.63           97.10 
110  65  -0.87        0.82           84.35 
115  65  0.30        1.07           78.06 
120  65  1.11        1.29           77.48 
125  65  1.50        1.41           81.15 
130  65  1.59        1.44           87.84 
135  65  1.48        1.41           96.35 
140  65  1.27        1.34           105.48 
145  65  0.94        1.24           114.16 
150  65  0.41        1.10           121.83 
155  65  -0.45        0.90           128.25 
160  65  -1.76        0.67           133.45 
165  65  -3.77        0.42           137.52 
170  65  -6.94        0.20           140.50 
175  65  -12.70        0.05           142.57 
180  65  -45.93        0.00           176.44 
0  70  -45.93        0.00           3.56 
5  70  -12.99        0.05           140.89 
10  70  -7.08        0.20           139.62 
15  70  -3.86        0.41           136.90 
20  70  -1.83        0.66           132.94 
25  70  -0.50        0.89           127.81 
30  70  0.37        1.09           121.41 
35  70  0.91        1.23           113.76 
40  70  1.25        1.33           105.09 
45  70  1.47        1.40           95.98 
50  70  1.58        1.44           87.49 
55  70  1.51        1.42           80.85 
60  70  1.12        1.29           77.21 
65  70  0.31        1.07           77.82 
70  70  -0.86        0.82           84.12 
75  70  -1.98        0.63           96.90 
80  70  -2.43        0.57           112.90 
85  70  -2.21        0.60           125.02 
90  70  -2.03        0.63           129.27 
95  70  -2.21        0.60           125.09 
100  70  -2.43        0.57           113.05 
105  70  -1.99        0.63           97.10 
110  70  -0.87        0.82           84.35 
115  70  0.30        1.07           78.06 
120  70  1.11        1.29           77.48 
125  70  1.50        1.41           81.15 
130  70  1.59        1.44           87.84 
135  70  1.48        1.41           96.35 
140  70  1.27        1.34           105.48 
145  70  0.94        1.24           114.16 
150  70  0.41        1.10           121.83 
155  70  -0.45        0.90           128.25 
160  70  -1.76        0.67           133.45 
165  70  -3.77        0.42           137.52 
170  70  -6.94        0.20           140.50 
175  70  -12.70        0.05           142.57 
180  70  -45.93        0.00           176.44 
0  75  -45.93        0.00           3.56 
5  75  -12.99        0.05           140.89 
10  75  -7.08        0.20           139.62 
15  75  -3.86        0.41           136.90 
20  75  -1.83        0.66           132.94 
25  75  -0.50        0.89           127.81 
30  75  0.37        1.09           121.41 
35  75  0.91        1.23           113.76 
40  75  1.25        1.33           105.09 
45  75  1.47        1.40           95.98 
50  75  1.58        1.44           87.49 
55  75  1.51        1.42           80.85 
60  75  1.12        1.29           77.21 
65  75  0.31        1.07           77.82 
70  75  -0.86        0.82           84.12 
75  75  -1.98        0.63           96.90 
80  75  -2.43        0.57           112.90 
85  75  -2.21        0.60           125.02 
90  75  -2.03        0.63           129.27 
95  75  -2.21        0.60           125.09 
100  75  -2.43        0.57           113.05 
105  75  -1.99        0.63           97.10 
110  75  -0.87        0.82           84.35 
115  75  0.30        1.07           78.06 
120  75  1.11        1.29           77.48 
125  75  1.50        1.41           81.15 
130  75  1.59        1.44           87.84 
135  75  1.48        1.41           96.35 
140  75  1.27        1.34           105.48 
145  75  0.94        1.24           114.16 
150  75  0.41        1.10           121.83 
155  75  -0.45        0.90           128.25 
160  75  -1.76        0.67           133.45 
165  75  -3.77        0.42           137.52 
170  75  -6.94        0.20           140.50 
175  75  -12.70        0.05           142.57 
180  75  -45.93        0.00           176.44 
0  80  -45.93        0.00           3.56 
5  80  -12.99        0.05           140.89 
10  80  -7.08        0.20           139.62 
15  80  -3.86        0.41           136.90 
20  80  -1.83        0.66           132.94 
25  80  -0.50        0.89           127.81 
30  80  0.37        1.09           121.41 
35  80  0.91        1.23           113.76 
40  80  1.25        1.33           105.09 
45  80  1.47        1.40           95.98 
50  80  1.58        1.44           87.49 
55  80  1.51        1.42           80.85 
60  80  1.12        1.29           77.21 
65  80  0.31        1.07           77.82 
70  80  -0.86        0.82           84.12 
75  80  -1.98        0.63           96.90 
80  80  -2.43        0.57           112.90 
85  80  -2.21        0.60           125.02 
90  80  -2.03        0.63           129.27 
95  80  -2.21        0.60           125.09 
100  80  -2.43        0.57           113.05 
105  80  -1.99        0.63           97.10 
110  80  -0.87        0.82           84.35 
115  80  0.30        1.07           78.06 
120  80  1.11        1.29           77.48 
125  80  1.50        1.41           81.15 
130  80  1.59        1.44           87.84 
135  80  1.48        1.41           96.35 
140  80  1.27        1.34           105.48 
145  80  0.94        1.24           114.16 
150  80  0.41        1.10           121.83 
155  80  -0.45        0.90           128.25 
160  80  -1.76        0.67           133.45 
165  80  -3.77        0.42           137.52 
170  80  -6.94        0.20           140.50 
175  80  -12.70        0.05           142.57 
180  80  -45.93        0.00           176.44 
0  85  -45.93        0.00           3.56 
5  85  -12.99        0.05           140.89 
10  85  -7.08        0.20           139.62 
15  85  -3.86        0.41           136.90 
20  85  -1.83        0.66           132.94 
25  85  -0.50        0.89           127.81 
30  85  0.37        1.09           121.41 
35  85  0.91        1.23           113.76 
40  85  1.25        1.33           105.09 
45  85  1.47        1.40           95.98 
50  85  1.58        1.44           87.49 
55  85  1.51        1.42           80.85 
60  85  1.12        1.29           77.21 
65  85  0.31        1.07           77.82 
70  85  -0.86        0.82           84.12 
75  85  -1.98        0.63           96.90 
80  85  -2.43        0.57           112.90 
85  85  -2.21        0.60           125.02 
90  85  -2.03        0.63           129.27 
95  85  -2.21        0.60           125.09 
100  85  -2.43        0.57           113.05 
105  85  -1.99        0.63           97.10 
110  85  -0.87        0.82           84.35 
115  85  0.30        1.07           78.06 
120  85  1.11        1.29           77.48 
125  85  1.50        1.41           81.15 
130  85  1.59        1.44           87.84 
135  85  1.48        1.41           96.35 
140  85  1.27        1.34           105.48 
145  85  0.94        1.24           114.16 
150  85  0.41        1.10           121.83 
155  85  -0.45        0.90           128.25 
160  85  -1.76        0.67           133.45 
165  85  -3.77        0.42           137.52 
170  85  -6.94        0.20           140.50 
175  85  -12.70        0.05           142.57 
180  85  -45.93        0.00           176.44 
0  90  -45.93        0.00           3.56 
5  90  -12.99        0.05           140.89 
10  90  -7.08        0.20           139.62 
15  90  -3.86        0.41           136.90 
20  90  -1.83        0.66           132.94 
25  90  -0.50        0.89           127.81 
30  90  0.37        1.09           121.41 
35  90  0.91        1.23           113.76 
40  90  1.25        1.33           105.09 
45  90  1.47        1.40           95.98 
50  90  1.58        1.44           87.49 
55  90  1.51        1.42           80.85 
60  90  1.12        1.29           77.21 
65  90  0.31        1.07           77.82 
70  90  -0.86        0.82           84.12 
75  90  -1.98        0.63           96.90 
80  90  -2.43        0.57           112.90 
85  90  -2.21        0.60           125.02 
90  90  -2.03        0.63           129.27 
95  90  -2.21        0.60           125.09 
100  90  -2.43        0.57           113.05 
105  90  -1.99        0.63           97.10 
110  90  -0.87        0.82           84.35 
115  90  0.30        1.07           78.06 
120  90  1.11        1.29           77.48 
125  90  1.50        1.41           81.15 
130  90  1.59        1.44           87.84 
135  90  1.48        1.41           96.35 
140  90  1.27        1.34           105.48 
145  90  0.94        1.24           114.16 
150  90  0.41        1.10           121.83 
155  90  -0.45        0.90           128.25 
160  90  -1.76        0.67           133.45 
165  90  -3.77        0.42           137.52 
170  90  -6.94        0.20           140.50 
175  90  -12.70        0.05           142.57 
180  90  -45.93        0.00           176.44 
0  95  -45.93        0.00           3.56 
5  95  -12.99        0.05           140.89 
10  95  -7.08        0.20           139.62 
15  95  -3.86        0.41           136.90 
20  95  -1.83        0.66           132.94 
25  95  -0.50        0.89           127.81 
30  95  0.37        1.09           121.41 
35  95  0.91        1.23           113.76 
40  95  1.25        1.33           105.09 
45  95  1.47        1.40           95.98 
50  95  1.58        1.44           87.49 
55  95  1.51        1.42           80.85 
60  95  1.12        1.29           77.21 
65  95  0.31        1.07           77.82 
70  95  -0.86        0.82           84.12 
75  95  -1.98        0.63           96.90 
80  95  -2.43        0.57           112.90 
85  95  -2.21        0.60           125.02 
90  95  -2.03        0.63           129.27 
95  95  -2.21        0.60           125.09 
100  95  -2.43        0.57           113.05 
105  95  -1.99        0.63           97.10 
110  95  -0.87        0.82           84.35 
115  95  0.30        1.07           78.06 
120  95  1.11        1.29           77.48 
125  95  1.50        1.41           81.15 
130  95  1.59        1.44           87.84 
135  95  1.48        1.41           96.35 
140  95  1.27        1.34           105.48 
145  95  0.94        1.24           114.16 
150  95  0.41        1.10           121.83 
155  95  -0.45        0.90           128.25 
160  95  -1.76        0.67           133.45 
165  95  -3.77        0.42           137.52 
170  95  -6.94        0.20           140.50 
175  95  -12.70        0.05           142.57 
180  95  -45.93        0.00           176.44 
0  100  -45.93        0.00           3.56 
5  100  -12.99        0.05           140.89 
10  100  -7.08        0.20           139.62 
15  100  -3.86        0.41           136.90 
20  100  -1.83        0.66           132.94 
25  100  -0.50        0.89           127.81 
30  100  0.37        1.09           121.41 
35  100  0.91        1.23           113.76 
40  100  1.25        1.33           105.09 
45  100  1.47        1.40           95.98 
50  100  1.58        1.44           87.49 
55  100  1.51        1.42           80.85 
60  100  1.12        1.29           77.21 
65  100  0.31        1.07           77.82 
70  100  -0.86        0.82           84.12 
75  100  -1.98        0.63           96.90 
80  100  -2.43        0.57           112.90 
85  100  -2.21        0.60           125.02 
90  100  -2.03        0.63           129.27 
95  100  -2.21        0.60           125.09 
100  100  -2.43        0.57           113.05 
105  100  -1.99        0.63           97.10 
110  100  -0.87        0.82           84.35 
115  100  0.30        1.07           78.06 
120  100  1.11        1.29           77.48 
125  100  1.50        1.41           81.15 
130  100  1.59        1.44           87.84 
135  100  1.48        1.41           96.35 
140  100  1.27        1.34           105.48 
145  100  0.94        1.24           114.16 
150  100  0.41        1.10           121.83 
155  100  -0.45        0.90           128.25 
160  100  -1.76        0.67           133.45 
165  100  -3.77        0.42           137.52 
170  100  -6.94        0.20           140.50 
175  100  -12.70        0.05           142.57 
180  100  -45.93        0.00           176.44 
0  105  -45.93        0.00           3.56 
5  105  -12.99        0.05           140.89 
10  105  -7.08        0.20           139.62 
15  105  -3.86        0.41           136.90 
20  105  -1.83        0.66           132.94 
25  105  -0.50        0.89           127.81 
30  105  0.37        1.09           121.41 
35  105  0.91        1.23           113.76 
40  105  1.25        1.33           105.09 
45  105  1.47        1.40           95.98 
50  105  1.58        1.44           87.49 
55  105  1.51        1.42           80.85 
60  105  1.12        1.29           77.21 
65  105  0.31        1.07           77.82 
